jini,	জিনি,	যিনি,	
hirani,	হিরণি,	হিরানি,	
doltagi,	দলত্যাগি,	দলত্যাগী,	
sombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
trans,	ট্রান্স,	ট্রান্স,	
aarcie,	আর্সি,	আরসিএ,	
laiseensim,	লাইসেংসিং,	লাইসেন্সিং,	
taala,	তালা,	তালা,	
monohorpur,	মনোহরপুর,	মনোহরপুর,	
maila,	মইল,	মাইল,	
dibate,	দিবাতে,	ডিবেট,	
ashammatite,	আসম্মাতিতে,	অসম্মতি,	
jyaishtha,	জ্যাষ্ঠ,	জ্যৈষ্ঠ,	
sho,	সো,	শো,	
shikshagata,	শিক্ষাগত,	শিক্ষাগত,	
matrikar,	মাত্রীকার,	মাতৃকার,	
forma,	ফর্মা,	ফর্মা,	
ragkey,	রাগকে,	রাগকে,	
mangoleek,	মঙ্গলিক,	মাঙ্গলিক,	
phorex,	ফরেক্স,	ফরেক্স,	
teenage,	টেনেগ,	টিনেজ,	
gotibege,	গতিবেগে,	গতিবেগে,	
qaferderkey,	কফেরদেরকে,	কাফেরদেরকে,	
samashtigata,	সমস্তিগতত,	সমষ্টিগত,	
sangosthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
sangasthagulo,	সংস্তাগুলো,	সংস্থাগুলো,	
rahee,	রাহি,	রাহি,	
sarboshaktimaan,	সর্বসক্ষিতান,	সর্বশক্তিমান,	
meetar,	মেটার,	মিত্র,	
vasturyi,	বাস্তুরি,	বস্তুরই,	
uporitole,	উপরিতলে,	উপরিতলে,	
horash,	হরাস,	হোরাস,	
chalochchitraeer,	চলচিত্রের,	চলচ্চিত্রের,	
asovyo,	অসভ্য,	অসভ্য,	
sorbopori,	সর্বোপরি,	সর্বোপরী,	
protijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
salapheta,	সালফাট,	সালফেট,	
tikto,	টিক্ত,	তিক্ত,	
anodhikar,	অনধিকার,	অনধিকার,	
valobasey,	ভালবাসে,	ভালোবাসে,	
sarbopori,	সর্বোপরি,	সর্বোপরী,	
guzober,	গুজবের,	গুজবের,	
dozo,	দজ,	ডোজো,	
ardasho,	আর্দশ,	আর্দশ,	
syfy,	সাইফি,	সাইফাই,	
dibug,	দিবুগ,	ডিবাগ,	
iura,	ইউরা,	ইউরো,	
byabaharkariderke,	ব্যবহারকারীদের,	ব্যবহারকারীদেরকে,	
phutanto,	ফুটান্ট,	ফুটন্ত,	
manu,	মনু,	মনু,	
azibon,	আজীবন,	আজীবন,	
prabhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
pushteer,	পুস্তির,	পুষ্টির,	
postke,	পোস্কে,	পোস্টকে,	
zibonnogor,	জীবনগগর,	জীবননগর,	
scall,	স্কল,	এসকল,	
chhilona,	ছিলনা,	ছিলনা,	
olympicer,	অলিম্পিসের,	অলিম্পিকের,	
somonwitobhabey,	সমান্তিতভাবে,	সমন্বিতভাবে,	
soceitykey,	সসিটিকে,	সোসাইটিকে,	
soomita,	সুমিত,	সুমিতা,	
ameerika,	আমেরিকা,	আমেরিকা,	
prachuryer,	প্রচুর্যের,	প্রাচুর্যের,	
khatgosher,	খাটগুষের,	খরগোসের,	
satarka,	সতর্ক,	সতর্ক,	
annimated,	অনিমিতেদ,	এনিমেটেড,	
ukeliptash,	উকেলিপ্টাস,	ইউক্যালিপ্টাস,	
nirvahey,	নির্বাহে,	নির্বাহে,	
chalochchitratike,	চলচ্চিত্রতিকে,	চলচ্চিত্রটিকে,	
hoteltite,	হটেলটিতে,	হোটেলটিতে,	
bifol,	বিফল,	বিফল,	
sahocorjo,	সহসর্য,	সাহচর্য,	
lambate,	লম্বতে,	লম্বাটে,	
aswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
uroor,	উরুর,	উরুর,	
haraten,	হারতেন,	হারাতেন,	
kisti,	কিস্তি,	কিস্তি,	
jothon,	যথোন,	যথন,	
kkompito,	কম্পিত,	কম্পিত,	
lesens,	লেসেন্স,	লাইসেন্স,	
deefinision,	ডিফিনিশন,	ডেফিনেশন,	
jwolbe,	জ্বলবে,	জ্বলবে,	
difinision,	ডিফিনিশন,	ডেফিনেশন,	
transfarm,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
shikkharrthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
kaathhaamaandu,	কাঠামান্দু,	কাঠমান্ডু,	
gostheeti,	গোষ্ঠিতি,	গোষ্ঠীটি,	
keo,	কিও,	কেউ,	
vushi,	ভুষি,	ভুষি,	
bbosonto,	বসন্ত,	বসন্ত,	
phartha,	ফোর্থ,	ফার্থ,	
rubidiyaam,	র্বিদিযাম,	রুবিডিয়াম,	
ganoporibahoner,	গণপরিবাহনের,	গণপরিবহনের,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
novell,	নোভেল,	নভেল,	
shaartho,	শ্বার্থ,	স্বার্থ,	
garjan,	গর্জন,	গর্জন,	
informeson,	ইনফর্মেশন,	ইনফরমেশন,	
suddeen,	সুদ্দিন,	সাডেন,	
murli,	মুর্লি,	মুরলী,	
besooro,	বেসুরো,	বেসুর,	
amorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
chhuteer,	ছুটির,	ছুটির,	
dey,	দে,	ডে,	
sardar,	সর্দার,	সরদার,	
janaalo,	জানালো,	জানালো,	
promothesh,	প্রমথেষ,	প্রমথেশ,	
jathaartho,	যথার্থ,	যথার্থ,	
paripaker,	পরিপকের,	পরিপাকের,	
madaspushto,	মদদ্ষ্পুত,	মদদপুষ্ট,	
basturyi,	বস্তুরি,	বস্তুরই,	
teamothi,	তিমোথি,	টিমোথি,	
aieesha,	আইএস,	আইএএস,	
sohingsotar,	সহিসসতার,	সহিংসতার,	
grambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
upcharzo,	উপ্চর্য,	উপাচার্য,	
eder,	এদের,	এদের,	
mookhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
azan,	আজন,	আজান,	
kadom,	কাদম,	কদম,	
lidara,	লিডার,	লিডার,	
stane,	স্তনে,	স্টোন,	
serveray,	সার্বরে,	সার্ভারে,	
lutheran,	লুতারণ,	লুথেরান,	
title,	টিটল,	টাইটেল,	
osocheton,	অসচেতন,	অসচেতন,	
neshnosh,	নিসন্স,	নেশনস,	
akshor,	অক্ষর,	একশোর,	
armshtrong,	রর্মস্ট্র,	আর্মস্ট্রং,	
sadeena,	সাডিনে,	সাডেন,	
anshograhone,	অংশগ্রহণে,	অংশগ্রহনের,	
maadhoori,	মাধরি,	মাধুরী,	
vageryi,	ভাগেরই,	ভাগেরই,	
oxforde,	অক্সফোর্ডে,	অক্সফোর্ডে,	
bildara,	বিল্ডার,	বিল্ডার,	
byomkesh,	ব্যম্কেস,	ব্যোমকেশ,	
sbajaner,	স্বজনের,	স্বজনের,	
qaferderke,	কাফারদেরকে,	কাফেরদেরকে,	
nikate,	নিকতে,	নিকটে,	
pharanyeta,	ফরান্যেত,	ফরম্যাট,	
qyathaliqa,	ক্যাথলিক,	ক্যাথলিক,	
shektara,	সেক্টর,	সেক্টর,	
mausumti,	মৌসূমটি,	মৌসুমটি,	
karuna,	করুনা,	করুণা,	
dhaleshorii,	ঢালেসরী,	ধলেশ্বরী,	
annorup,	অন্যরূপ,	অন্যরূপ,	
chupi,	চুপি,	চুপি,	
paksenaara,	পাক্েনার,	পাকসেনারা,	
poste,	পোষ্টে,	পোস্টে,	
dhhaby,	ঢাবি,	ঢাবি,	
chowdhuryo,	চৌধুর্য,	চৌধুরীও,	
lainde,	লাইন্ডে,	ল্যান্ডে,	
asabhya,	অসভ্য,	অসভ্য,	
baarakpur,	ব্যারাকপুর,	বারাকপুর,	
sathikata,	সথিকতা,	সঠিকতা,	
chenja,	চেঁজা,	চেঞ্জ,	
uddhrita,	উদ্ধৃত,	উদ্ধৃত,	
wodka,	বোদ্কা,	ভদকা,	
ganesh,	গেনস,	গণেশ,	
thakeni,	ঠাকেনি,	থাকেনি,	
mukhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
ajijer,	আজিজের,	আজিজের,	
naphisa,	নাফিস,	নাফিসা,	
ahalyar,	আহল্যার,	অহল্যার,	
steit,	স্টেইট,	স্টেইট,	
neemeetto,	নিমিত্ত,	নিমিত্ত,	
juktorastroshoho,	যুক্তরস্্থসূ,	যুক্তরাষ্ট্রসহ,	
ogradut,	অগ্রাদ,	অগ্রদূত,	
rilayensha,	রিলেয়েন্স,	রিলায়েন্স,	
akkharkey,	অক্ষারকে,	অক্ষরকে,	
achish,	অচিশ,	আছিস,	
solil,	সলিল,	সলিল,	
moshjidtike,	মশ্জিদ্তিকে,	মসজিদটিকে,	
durgandha,	দুরগন্ধ,	দুর্গন্ধ,	
jillul,	জিল্লুল,	জিল্লুল,	
beshorkarikarone,	বেসরকারিকরণ,	বেসরকারিকরণ,	
jemi,	জেমি,	জেমি,	
rubio,	রবিও,	রুবিও,	
uposthit,	উপস্থিত,	উপস্থিত,	
jamanor,	জামানোর,	জমানোর,	
orthoniti,	অর্থনীতি,	অর্থনীতির,	
nirapattamulak,	নিরাপতমূমূলক,	নিরাপত্তামূলক,	
shfingtar,	স্ফিটার,	স্ফিংটার,	
nagalyand,	নগগ্যান্ড,	নাগাল্যান্ড,	
dinara,	দিনারা,	ডিনার,	
minishtarer,	মিনিস্টরের,	মিনিস্টারের,	
aashirbaad,	আশীর্বাদ,	আশির্বাদ,	
bhumija,	ভূমিজা,	ভূমিজ,	
olimpik,	অলিম্পিক,	অলিম্পিক,	
holdim,	হলদিম,	হোল্ডিং,	
second,	সেকন্ড,	সেকেণ্ড,	
poddhotitei,	পদ্ধতিতেই,	পদ্ধতিতেই,	
plainti,	প্লানটি,	প্লেনটি,	
abasaney,	আবসানে,	অবসানে,	
cheess,	চিজ,	চেস,	
bomkesh,	বক্মেস,	ব্যোমকেশ,	
suparichita,	সুপারিচিত,	সুপরিচিত,	
nisad,	নিশাদ,	নিষাদ,	
shaleha,	সালেহ,	সালেহা,	
bondhuvabaponyo,	বন্ধুবা্যপ্্,	বন্ধুভাবাপন্ন,	
teenisa,	টেনিস,	টেনিস,	
hol,	হল,	হোল,	
bauger,	বাগের,	বাগের,	
thake,	থকক,	থাকে,	
footbalarra,	ফটটবাররা,	ফুটবলাররা,	
nikote,	নিকতে,	নিকটে,	
byabaharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
kleentoner,	ক্লিন্টনের,	ক্লিনটনের,	
thatcher,	থাঁচের,	থ্যাচার,	
parinati,	পরিনতি,	পরিণতি,	
chalochchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
senabahinio,	সেনাবাহিনী,	সেনাবাহিনীও,	
alpo,	আল্প,	অল্প,	
noiteekota,	নৈতিকতা,	নৈতিকতা,	
dreeshtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
kormokarke,	কর্মকারকে,	কর্মকারকে,	
ramantic,	রামান্তিক,	রোমান্টিক,	
eidin,	এদিন,	এইদিন,	
imarjinsi,	এমরাজ্নিস,	এমার্জেন্সি,	
mit,	মিট,	এমআইটি,	
favorite,	ফাবরিতে,	ফেভারিট,	
ghomtaa,	ঘোমটা,	ঘোমটা,	
abhidhaanik,	আভিধানিক,	অভিধানিক,	
abdoone,	অবুদনে,	আবদুন,	
skoora,	স্কোর,	স্কোর,	
jonopoth,	জনপথ,	জনপথ,	
gejeteda,	গেজেটেদ,	গেজেটেড,	
ashshociatesh,	অ্যাসোসিয়েস,	এসোসিয়েটস,	
monchostho,	মঞ্চশ্থ,	মঞ্চস্থ,	
wenis,	ভইনিস,	ভেনিস,	
cantan,	কান্টন,	ক্যান্টন,	
grambashi,	গ্রামবাসী,	গ্রামবাসী,	
growth,	গ্রথ,	গ্রোথ,	
golakriti,	গোলাকৃতি,	গোলাকৃতি,	
uindoo,	উইন্ডো,	উইন্ডো,	
zerusalemer,	জেরুসলামের,	জেরুজালেমের,	
shhcholashtik,	স্কলাসিক্টিক,	স্কলাস্টিক,	
philipiner,	ফিলিপিনের,	ফিলিপাইনের,	
surkey,	সুরকে,	সুরকে,	
kodorer,	কদরের,	কদরের,	
pisach,	পিশাচ,	পিশাচ,	
turista,	তূর্ষ্ট,	টুরিস্ট,	
sushiksar,	সুশিক্ষর,	সুশিক্ষার,	
mugdhota,	মুগধতা,	মুগ্ধতা,	
dupleks,	ডাপলেক্স,	ডুপ্লে,	
pustir,	পুস্তির,	পুষ্টির,	
protishta,	প্রতিষ্ট,	প্রতিষ্টা,	
pachchi,	পাচ্ছি,	পাচ্ছি,	
graambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
mododpusto,	মদদপ্ষুত্,	মদদপুষ্ট,	
surti,	সূর্তি,	সুরটি,	
ohalyar,	অহল্যার,	অহল্যার,	
shikshakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
ajimke,	আজিমকে,	আজিমকে,	
jonoikaa,	যোনিকা,	জনৈকা,	
dweepgoolo,	দ্বিপগুলো,	দ্বীপগুলো,	
muradke,	মুরাদকে,	মুরাদকে,	
artilleri,	অর্টিলারি,	আর্টিলারি,	
aiisa,	আইএস,	আইএএস,	
heerani,	হেরানি,	হিরানি,	
shasheja,	সাসেজ,	সসেজ,	
bayii,	বাই,	বাঈ,	
meetropolitan,	মেট্রোপিফান,	মেট্রোপলিটন,	
anucheder,	অনুচেদের,	অনুচ্ছেদের,	
sikhra,	শিখরা,	শিখরা,	
madhuree,	মাধুরি,	মাধুরী,	
browser,	ব্রসার,	ব্রাউজার,	
obikol,	অবিকল,	অবিকল,	
ooeepoka,	উইপ্যকা,	উইপোকা,	
salapheeta,	সালফাইট,	সালফেট,	
ajijoor,	আজিজুর,	আজিজুর,	
sulfate,	সালফাতে,	সালফেট,	
marri,	মেরি,	ম্যারি,	
bilati,	বিলাটি,	বিলাতী,	
netherland,	নেডারল্যান্ড,	নেদারল্যান্ড,	
halloween,	হললোইউন,	হ্যালোইন,	
utsaho,	উত্সাহ,	উৎসাহ,	
morathee,	মরাঠি,	মরাঠি,	
shikh,	শিখ,	শিখ,	
euro,	ইরো,	ইউরো,	
arekdol,	অরেকদল,	আরেকদল,	
akik,	একিক,	আকিক,	
pragress,	প্রগ্রেস,	প্রগ্রেস,	
inapharamesana,	ইনফারমেশন,	ইনফরমেশন,	
bhenama,	ভেনামা,	ভেনম,	
bissashii,	বিশ্বসী,	বিশ্বাসী,	
donat,	দোনত,	ডোনাট,	
bohubar,	বহুবার,	বহুবার,	
showti,	শৌটি,	শোটি,	
prakalpotike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
taunsheep,	টাউন্পিপ,	টাউনশিপ,	
uponisoder,	উপনিষদের,	উপনিষদের,	
sattoki,	সাত্যকি,	সাত্যকি,	
jilyanda,	জিল্যান্ড,	জিল্যান্ড,	
nirgun,	নির্গুণ,	নির্গুণ,	
embed,	এমবেদ,	এম্বেড,	
aboshorer,	আবসরের,	অবসরের,	
sikara,	সিকার,	শিকার,	
faaj,	ফাজ,	ফাজ,	
damodar,	দামোদর,	দামদর,	
augustine,	অগাস্টিনে,	অগাস্টিন,	
golakritir,	গোলকৃতির,	গোলাকৃতির,	
sarder,	সর্দের,	সরদার,	
oncholgoolote,	অঞ্চলগুতোলে,	অঞ্চলগুলোতে,	
spenser,	স্পেন্সের,	স্পেন্সার,	
militaryr,	মিলিটারির,	মিলিটারির,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
patterne,	প্টার্নে,	প্যাটার্নে,	
doulaa,	দৌলা,	দৌলা,	
dorjee,	দর্জি,	দরজি,	
codeguli,	কদাগুলি,	কোডগুলি,	
atorkitey,	অতর্কিতে,	অতর্কিতে,	
obhiyojan,	অভিযোগন,	অভিযোজন,	
hood,	হুড,	হুড,	
hiragaana,	হিরাগন,	হিরাগানা,	
gonona,	গণনা,	গননা,	
uposhthitir,	উপস্থিতির,	উপস্থিতির,	
gagee,	গগই,	গেজ,	
chirkoot,	চিরকুট,	চিরকুট,	
soundarjya,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
mukhamandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
addabaaj,	আদ্দাবাজ,	আড্ডাবাজ,	
tigre,	তিগ্রে,	টাইগার,	
shhayatana,	শায়ান,	শয়তান,	
karmokandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
transform,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
aameenar,	আমিনার,	আমিনার,	
ummul,	উম্মুল,	উম্মুল,	
ddhake,	ঢোকে,	ঢেকে,	
shelina,	সেলিন,	সেলিনা,	
akkhunno,	অক্ষুন্ন,	অক্ষুণ্ণ,	
bbosonte,	বসন্তে,	বসন্তে,	
suchonakal,	সূচনাকল,	সূচনাকাল,	
koreempoor,	করিমপুর,	করিমপুর,	
shchalastik,	স্কালাস্টিক,	স্কলাস্টিক,	
sovanetri,	সভানেত্রী,	সভানেত্রী,	
krom,	ক্রোম,	ক্রম,	
shapholler,	সফফলের,	সাফল্যের,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
bahal,	বহল,	বহাল,	
ajeeja,	আজিজ,	আজিজা,	
muphti,	মুফতী,	মুফতি,	
mukhomaundol,	মুখমান্ডল,	মুখমণ্ডল,	
dokangulote,	দোকানগুলোতে,	দোকানগুলোতে,	
kanaflikta,	কনফিল্ক,	কনফ্লিক্ট,	
brake,	ব্র্যাক,	ব্রেক,	
swatantrata,	স্বতন্ত্রতা,	স্বতন্ত্রতা,	
khelechen,	খেলেছেন,	খেলেছেন,	
ashirbad,	আশীর্বাদ,	আশির্বাদ,	
teuning,	টিউনিং,	টিউনিং,	
mautke,	মাটকে,	মতকে,	
muhammod,	মুহাম্মদ,	মুহম্মদ,	
roktokshoroney,	রক্তক্ষরণে,	রক্তক্ষরণে,	
bishshash,	বিশ্বস,	বিশ্বাস,	
hotelteete,	হটেলটিতে,	হোটেলটিতে,	
oncholke,	অঞ্চলকে,	অঞ্চলকে,	
ganochiner,	গণিছেনের,	গণচীনের,	
satarkabhabe,	সতরকভাবে,	সতর্কভাবে,	
longhan,	লঙ্ঘন,	লংঘন,	
dhanchey,	ধাঁচে,	ধাঁচে,	
thelaa,	থেলা,	ঠেলা,	
directarate,	ডিরেক্টরেট,	ডিরেক্টরেট,	
madhobikey,	মাধবীকে,	মাধবীকে,	
maase,	মাস,	মাসে,	
jounotar,	যৌনতার,	যৌনতার,	
ashamarthita,	অসমর্থিত,	অসমর্থিত,	
aachees,	আচ্ছ,	আছিস,	
chalochchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
andaman,	আন্দমান,	আন্দামান,	
azimkey,	আজিমকে,	আজিমকে,	
sikkharrtheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
flag,	ফ্ল্গ,	ফ্লাগ,	
ssteit,	স্টেট,	স্টেইট,	
saahocorrze,	সাহোকর্যে,	সাহচর্যে,	
hijrii,	হিজরি,	হিজরী,	
daakteekite,	ডাকটিকিতে,	ডাকটিকিটে,	
addhatikota,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
taivan,	টাইভান,	তাইওয়ান,	
akmato,	একমত,	একমত,	
senabahineeow,	সেনাবাহিনীও,	সেনাবাহিনীও,	
sherup,	শেরুপ,	সেরূপ,	
tistar,	টিস্তার,	তিস্তার,	
punch,	পাঁচ,	পুঞ্চ,	
embi,	এমবি,	এমবি,	
dokaangoolote,	দাকানগুলোতে,	দোকানগুলোতে,	
prakalpoguli,	প্রকল্পগুলি,	প্রকল্পগুলি,	
sommotite,	সম্মতিতে,	সম্মতিতে,	
zyaka,	জ্যাক,	জ্যাক,	
shelim,	সাইলিং,	সেলিম,	
bishwashke,	বিশ্বাসকে,	বিশ্বাসকে,	
nesnosh,	নিন্সস,	নেশনস,	
bhorkendra,	ভর্কেন্দ্র,	ভরকেন্দ্র,	
spreadseet,	স্প্রেডসেট,	স্প্রেডশীট,	
kande,	কানদে,	কাণ্ডে,	
hiushtoner,	হিউস্টানের,	হিউস্টনের,	
kraantikaale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
metroopoolitan,	মেট্রোপিউটান,	মেট্রোপলিটন,	
brindo,	ব্রিন্দ,	বৃন্দ,	
ulcer,	উল্কার,	আলসার,	
rushd,	রুশ,	রুশদ,	
manonitader,	মনোনিতদের,	মনোনীতদের,	
itostato,	ইতস্তত,	ইতস্তত,	
eute,	ইউটিউ,	ইইউতে,	
andamana,	আন্দমনা,	আন্দামান,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
baaiq,	বাইক,	বাইক,	
gabhaskaar,	গভাষ্কার,	গাভাস্কার,	
jeshh,	জেস,	জেস,	
prokalpaguli,	প্রকলাপগুলি,	প্রকল্পগুলি,	
eucalyptushh,	ইউক্যালিপটুস,	ইউক্যালিপ্টাস,	
easter,	এস্টার,	ইস্টের,	
sainyader,	সৈন্যদের,	সৈন্যদের,	
shithilota,	সিহিলতা,	শিথিলতা,	
hoilo,	হইল,	হইল,	
saajanor,	সাজানোর,	সাজানোর,	
oncholtee,	অঞ্চলতি,	অঞ্চলটি,	
rupa,	রূপা,	রুপা,	
progress,	প্রগ্রেস,	প্রগ্রেস,	
soasage,	স্বাসেগে,	সসেজ,	
suparheiro,	সুপররীরাও,	সুপারহিরো,	
samajikatar,	সমজিকতকর,	সামাজিকতার,	
prokalpati,	প্রকল্পটি,	প্রকল্পটি,	
kokein,	কোকেন,	কোকেইন,	
thimke,	থিমকে,	থিমকে,	
bhaandaar,	ভান্দার,	ভাণ্ডার,	
shektor,	সেক্টর,	সেক্টর,	
anhu,	অনু,	আনহু,	
mitroyo,	মিত্রো,	মিত্রও,	
ekok,	একক,	একক,	
cheerokumari,	চিরুরকমীর,	চিরকুমারী,	
bites,	বিটেশ,	বাইটস,	
uru,	উরু,	উরু,	
ganokontho,	গণকণ্ঠ,	গণকণ্ঠ,	
erina,	এরিন,	এরিনা,	
prothati,	প্রথাটি,	প্রথাটি,	
osshoshtikor,	অস্বষিতকর,	অস্বস্তিকর,	
ponero,	পনেরো,	পনের,	
zzojyota,	যোজ্যতা,	যোজ্যতা,	
nondolaal,	নন্দলাল,	নন্দলাল,	
hillser,	হিলসের,	হিলসের,	
gronther,	গ্রন্থের,	গ্রন্থের,	
pachhen,	পাছেন,	পাচ্ছেন,	
abadamoner,	আবদামনের,	অবদমনের,	
eenjil,	এঞ্জিল,	ইঞ্জিল,	
jekhan,	যেখান,	যেখান,	
durotaumo,	দুরতম,	দূরতম,	
konistho,	কনিষ্ঠ,	কনিষ্ঠ,	
paite,	পাইট,	পাইতে,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
teknokrat,	টেকনকর্ট,	টেকনোক্র্যাট,	
brek,	ব্র্যাক,	ব্রেক,	
surokarder,	সুরকরকের,	সুরকারদের,	
duma,	দমম,	দুমা,	
loukik,	লৌকিক,	লৌকিক,	
romantika,	রোমান্তিক,	রোমান্টিক,	
nirbachoker,	নির্বাচকের,	নির্বাচকের,	
dharavahik,	ধারাহািক,	ধারাবাহিক,	
shomraatder,	সম্তরদের,	সম্রাটদের,	
nischitrupe,	নিচ্ছিরূপে,	নিশ্চিতরূপে,	
oteeteo,	অতিতেও,	অতীতেও,	
haris,	হারিস,	হ্যারিস,	
utkhat,	উৎ্তাত,	উত্খাত,	
salsa,	সালস,	সালসা,	
proshikkhane,	প্রশিক্ষনে,	প্রশিক্ষণে,	
jockei,	যকিকে,	জকি,	
toufik,	তৌফিক,	তৌফিক,	
graambashi,	গ্রামবাসী,	গ্রামবাসী,	
boponer,	বপনের,	বপনের,	
rightsh,	রিটস,	রাইটস,	
skara,	স্কার,	স্কোর,	
ghotleo,	ঘটলেও,	ঘটলেও,	
obharbheeu,	আভভরিও,	ওভারভিউ,	
tarkarir,	তরকারির,	তরকারীর,	
sahoocorzoe,	সহসোর্যে,	সাহচর্যে,	
ghesha,	ঘেসা,	ঘেঁষা,	
swastir,	স্বস্তির,	স্বস্তির,	
modelling,	ম্যোডিল্ি,	মডেলিং,	
bhaangchoor,	ভাঙচুর,	ভাংচুর,	
shrabostee,	শ্রবব্ষিত,	শ্রাবস্তী,	
butha,	বুথা,	বুথ,	
nirabota,	নীরবতা,	নিরবতা,	
skolastic,	স্কলাস্টিক,	স্কলাস্টিক,	
omitrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
protyokkhovabey,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
dhila,	ঢিলা,	ঢিলা,	
uthey,	উঠে,	উঠে,	
khudey,	খুদে,	ক্ষুদে,	
bager,	বাগের,	বাগের,	
dailee,	ডেলি,	ডেইলি,	
taurist,	টার্সিট,	টুরিস্ট,	
skolarship,	স্কলারশিপ,	স্কলারশিপ,	
jaaygata,	জাগ্ঞতা,	জায়গাটা,	
mugdal,	মুগদল,	মুগডাল,	
garnaar,	গার্নার,	গার্নার,	
phiksha,	ফিক্স,	ফিক্স,	
plena,	প্লেন,	প্লেন,	
motamoto,	মতামত,	মতামতও,	
pramathesh,	প্রমাথেস,	প্রমথেশ,	
mukhamandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
byboshthar,	ব্যবস্থার,	ব্যাবস্থার,	
oshovyo,	অশভ্য,	অসভ্য,	
bissonath,	বিশ্বনাথ,	বিশ্বনাথ,	
vobanir,	ভবানীর,	ভবানীর,	
mondope,	মন্ডপে,	মন্ডপে,	
keraam,	কিরম,	কেরাম,	
torangunj,	তরঙঙগঞ্জ,	তোরাবগঞ্জ,	
ooindos,	উইন্দোস,	উইন্ডোস,	
olongkoron,	অলংকরণ,	অলঙ্করণ,	
difinisian,	ডিফিনিশন,	ডেফিনেশন,	
bbonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
batsmani,	বৎসম্ণী,	ব্যাটসম্যানই,	
sacheton,	সচচেতন,	সচেতন,	
somraat,	সমরতাত,	সম্রাট,	
carlas,	চার্লস,	কার্লোস,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
ganana,	গণনা,	গণনা,	
hyundai,	হুন্ডাই,	হুন্দাই,	
nadimatrik,	নাদ্বামৃত্রিক,	নদীমাতৃক,	
gandhiyo,	গান্ধিও,	গান্ধীও,	
joisttho,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
boother,	বুথের,	বুথের,	
uindos,	উইন্ডোস,	উইন্ডোস,	
neermolotaa,	নির্মলতা,	নির্মলতা,	
recondition,	রেকন্ডিশন,	রিকন্ডিশন,	
daktikite,	দাকটিকিতে,	ডাকটিকিটে,	
vittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
aaireesh,	আইরিশ,	আইরিস,	
amitrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
uporitoler,	উপরিতলের,	উপরিতলের,	
ting,	টিং,	টিং,	
fanser,	ফাঁসার,	ফাঁসের,	
ekar,	একর,	একার,	
angshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
divya,	দিবিয়া,	দিব্যা,	
shooter,	শুটের,	শ্যুটার,	
mitrota,	মিত্রতা,	মিত্রতা,	
eshkol,	এসকল,	এসকল,	
taphaat,	তাফাত,	তফাৎ,	
infarmatian,	ইনফর্মোশেন,	ইনফরমেশন,	
kaner,	কানের,	কনের,	
heze,	হেজে,	হেজ,	
graambaasi,	গ্রামবাসী,	গ্রামবাসী,	
niqela,	নিকেলা,	নিকেল,	
metrapalitan,	মেট্রোপিলটান,	মেট্রোপলিটন,	
thailand,	থিল্যান্ড,	থাইল্যান্ড,	
heriser,	হিরিসের,	হ্যারিসের,	
roktokhoron,	রক্তচর্ষণ,	রক্তক্ষরণের,	
