ahalya,	অহল্য,	অহল্যা,	
asommoti,	অসম্তি,	অসম্মতি,	
rohosyer,	রহস্যের,	রহস্যের,	
asar,	আসার,	আসর,	
somraatraa,	সম্রত্রা,	সম্রাটরা,	
idaningkale,	আইডনিক্যালে,	ইদানীংকালে,	
chopol,	চপল,	চপল,	
khelafate,	খেলাফাতে,	খেলাফতে,	
karo,	কারও,	কারো,	
chirontan,	চিরন্তন,	চিরন্তন,	
nodiitei,	নদীতেই,	নদীতেই,	
rubidiyam,	রুবিডিয়াম,	রুবিডিয়াম,	
avatar,	অভাতার,	অবতার,	
minishtara,	মিনিস্টার,	মিনিস্টার,	
showte,	শাউটে,	শোতে,	
nagare,	নগরে,	নগরে,	
madla,	মাডলা,	মাদলা,	
sollallhu,	সলল্লাল্লাহু,	সল্লাল্লাহু,	
santa,	সন্ত,	সান্তা,	
lumbinee,	লামবিনী,	লুম্বিনী,	
labanaktotar,	লবনাক্ততার,	লবণাক্ততার,	
bosten,	বস্টেন,	বসতেন,	
futanto,	ফুটান্ত,	ফুটন্ত,	
scolarship,	স্কলারশিপ,	স্কলারশিপ,	
arthurer,	অর্থুরের,	আর্থারের,	
dhan,	ধান,	ধ্যান,	
shakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
dharabhashyakar,	ধারাভাষ্যাকার,	ধারাভাষ্যকার,	
nodimatrik,	নদমিত্রামিক,	নদীমাতৃক,	
antorvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
sima,	সিম,	সীমা,	
zonsa,	জনসা,	জোন্স,	
koonti,	কোনটি,	কুন্তী,	
bisshaso,	বিশ্বাস,	বিশ্বাসও,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
grambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
seat,	সিট,	সিট,	
shaluk,	শালুক,	শালুক,	
starker,	স্টার্কের,	স্টার্কের,	
drissogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
pharn,	ফার্ন,	ফার্ন,	
format,	ফরমাট,	ফরম্যাট,	
madelim,	ম্যাডেলিং,	মডেলিং,	
khele,	খেলে,	খেলে,	
sovanetri,	সভানেত্রী,	সভানেত্রী,	
bondhutto,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
mukhomondol,	মুখমন্ডল,	মুখমণ্ডল,	
saseja,	সসেজ,	সসেজ,	
kool,	কোল,	কুল,	
horeener,	হরিনের,	হরিণের,	
utpatti,	উৎপত্তি,	উতপত্তি,	
samany,	সমানী,	সামান্য,	
liseensee,	লিসেন্সি,	লাইসেন্স,	
mohakobi,	মহাকবী,	মহাকবি,	
pallar,	পালার,	পাল্লার,	
perther,	পার্থের,	পার্থের,	
laishensha,	লাইসেন্স,	লাইসেন্স,	
prity,	প্রীতি,	প্রিটি,	
hurricane,	হারিকে,	হ্যারিকেন,	
swarthe,	স্বরর্থে,	স্বার্থে,	
chyata,	চ্যাট,	চ্যাট,	
divya,	দিব্য,	দিব্যা,	
flux,	ফ্লাক্স,	ফ্লাস্ক,	
procharonamulok,	প্রচারণামূলক,	প্রচারণামূলক,	
bashoborty,	বাসবোর্তি,	বশবর্তী,	
khorshed,	খোর্শেদ,	খোরশেদ,	
pannee,	পান্নি,	পন্নী,	
wenus,	ভেনুস,	ভেনাস,	
beatleser,	বিটলেসের,	বিটলসের,	
hol,	হোল,	হোল,	
shahocharjo,	শাহচর্য,	সাহচর্য,	
graambasee,	গ্রামবাসী,	গ্রামবাসী,	
station,	স্টেশন,	ষ্টেশন,	
karmapantha,	কর্মপন্থ,	কর্মপন্থা,	
prokolpou,	প্রকলপু,	প্রকল্পও,	
kanasharabheshhana,	কাসাররেভানা,	কনসারভেশন,	
ko,	কো,	কেও,	
laaishesh,	লাইসেস,	লাইসেন্স,	
sudden,	সাউদ্দেন,	সাডেন,	
siddhantokey,	সিদ্বান্তকে,	সিদ্ধান্তকে,	
janapath,	জনপথ,	জনপথ,	
stana,	স্টন,	স্টোন,	
bisnuu,	বিষ্ণু,	বিষ্ণু,	
hatochakito,	হটকাচিত,	হতচকিত,	
auncholo,	আঞ্চল,	অঞ্চলও,	
mausumer,	মৌমের,	মৌসুমের,	
elaakaasoho,	এলাকাশহ,	এলাকাসহ,	
lokkheryo,	লক্ষ্য,	লক্ষেরও,	
bharson,	ভার্সন,	ভারশন,	
muktilabh,	মুক্তিভাব,	মুক্তিলাভ,	
uporzon,	উপর্জন,	উপার্জন,	
jes,	জেস,	জেস,	
ruby,	রুবি,	রুবী,	
bangyer,	বঙ্গের,	ব্যাঙের,	
shekend,	সেকেন্ড,	সেকেণ্ড,	
naditike,	নদীতিকে,	নদীটিকে,	
hotodoridro,	হতদরিদ্র,	হতদরিদ্র,	
compact,	কম্পাক্ট,	কমপ্যাক্ট,	
jibjontu,	জীবন্তু,	জীবজন্তু,	
samratra,	সাম্রত্র,	সম্রাটরা,	
laaisheesh,	লাইসেস,	লাইসেন্স,	
alonkaron,	অলঙ্করণ,	অলঙ্করণ,	
boponer,	বোপনের,	বপনের,	
americar,	অমেরিকার,	আমেরিকার,	
nursery,	নার্সারী,	নার্সারি,	
jokrit,	যকৃত,	যকৃৎ,	
natshi,	নাৎসি,	নাত্সি,	
bonbhumi,	বনভূমি,	বনভূমি,	
batsman,	বৎসম,	ব্যাটসম্যান,	
soccar,	সকচর,	সকার,	
seector,	সিক্টর,	সেক্টর,	
shorif,	শরীফ,	শরিফ,	
shodhon,	স্বন,	শোধন,	
osthisandhi,	অস্থিসমধধি,	অস্থিসন্ধি,	
firti,	ফিরতি,	ফিরতি,	
shumo,	শুম,	সুমো,	
sohopathike,	সহপাঠীকে,	সহপাঠীকে,	
zzojyota,	যোজ্যতা,	যোজ্যতা,	
tiger,	তিগের,	টাইগার,	
muktume,	মুক্তমে,	মাকতুম,	
mugdhata,	মুগ্ধতা,	মুগ্ধতা,	
ashshociatesh,	অ্যাসোসিয়েটস,	এসোসিয়েটস,	
elaakasoho,	এলাকাশহ,	এলাকাসহ,	
dadader,	দাদের,	দাদাদের,	
gananatyo,	গণনাত্য,	গণনাট্য,	
muhurta,	মূহূর্ত,	মুহুর্ত,	
ganosochetonota,	গণসচীতনাা,	গণসচেতনতা,	
dharabahikotitey,	ধারাাাবিকাতে,	ধারাবাহিকটিতে,	
sikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
raiter,	রাইটের,	রাইটের,	
ogrodoot,	অগ্রদূত,	অগ্রদূত,	
parkim,	পার্কিং,	পার্কিং,	
kodom,	কোম,	কদম,	
spreadsiit,	স্প্রেডসেট,	স্প্রেডশীট,	
dharati,	ধারাটি,	ধারাটি,	
neelkamal,	নীলকমল,	নীলকমল,	
shcholarshhip,	স্কলারশিলিপ,	স্কলারশিপ,	
gej,	গেজ,	গেজ,	
itastato,	ইতস্তত,	ইতস্ততঃ,	
ganohotyar,	গণহহ্যার,	গণহত্যার,	
muchi,	মুচি,	মুচি,	
trayte,	ট্রয়েট,	ট্রেতে,	
shatoke,	শতকে,	শতকে,	
phaksha,	ফাক্স,	ফক্স,	
jwaluk,	জ্বালুক,	জ্বলুক,	
ganoporibahoner,	গণপরিাহণের,	গণপরিবহনের,	
hock,	হ্যাক,	হুক,	
dobhar,	দোভার,	ডোভার,	
gondho,	গন্ধ,	গন্ধে,	
transafarma,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
neeshanasa,	নিশাসা,	নেশনস,	
dharabahikbhabe,	ধারাাহিকভাবে,	ধারাবাহিকভাবে,	
kram,	ক্রাম,	ক্রম,	
ganesh,	গানেস,	গণেশ,	
mohajot,	মহাজত,	মহাজোট,	
abheedhaner,	অভিধানের,	অভিধানের,	
pathanirdeshana,	পথনিদর্শেশন,	পথনির্দেশনা,	
shoori,	শুরি,	সুরি,	
aasirbaad,	আশীর্বাদ,	আশির্বাদ,	
gaziipur,	গাজীপুর,	গাজীপুর,	
janosamaj,	জনসমাজ,	জনসমাজ,	
bastubad,	বাস্তুবাদ,	বস্তুবাদ,	
licenshe,	লিইনেস্সে,	লাইসেন্স,	
parther,	পার্থের,	পার্থের,	
polo,	পোল,	পোলো,	
ting,	তিং,	টিং,	
rightsh,	রাইটস,	রাইটস,	
labonaaktotaar,	লবনাক্ততার,	লবণাক্ততার,	
thar,	থোর,	থর,	
roopdaan,	রূপদান,	রুপদান,	
aukhando,	আখন্ড,	অখন্ড,	
karoo,	কারু,	কারো,	
porikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
bishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
debug,	দেবুগ,	ডিবাগ,	
bhadaqa,	ভাদক,	ভদকা,	
hatochokito,	হটকচিত,	হতচকিত,	
naitikatabodh,	নৈতিকতাব,	নৈতিকতাবোধ,	
casper,	কাসপার,	ক্যাসপার,	
juboksoho,	যুবকসহ,	যুবকসহ,	
kampita,	কম্পিত,	কম্পিত,	
chalche,	চলছে,	চলছে,	
avishangson,	অভিশাংশন,	অভিশংসন,	
gadha,	গাধ,	গাধা,	
tunar,	টুউটার,	টিউনার,	
ummool,	উম্মুল,	উম্মুল,	
kona,	কোণ,	কণা,	
ashok,	আশোক,	আশোক,	
potkaa,	পটকা,	পটকা,	
gatirodh,	গতিরোধ,	গতিরোধ,	
mukhamandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
ghursen,	ঘুর্সেন,	ঘুরেছেন,	
loukeekota,	লৌকিকতা,	লৌকিকতা,	
debate,	দেবতে,	ডিবেট,	
khanankaj,	খনানকাজ,	খননকাজ,	
aasif,	আশিফ,	আসিফ,	
jetam,	যেতাম,	যেতাম,	
bishshashi,	বিশ্বাসী,	বিশ্বাসই,	
mastarsa,	মাস্টার্স,	মাস্টার্স,	
shekende,	সেকেন্ডে,	সেকেন্ডে,	
embaed,	এমবাইড,	এম্বেড,	
emarzensi,	এমর্জিন্সি,	এমার্জেন্সি,	
ganochin,	গণচীন,	গণচীন,	
vodqa,	ভদ্কা,	ভদকা,	
mandope,	মন্ডপে,	মন্ডপে,	
kheley,	খেলে,	খেলে,	
baasa,	বাসা,	বাসা,	
manohputo,	মানপুত,	মনঃপুত,	
theland,	থেলল্যান্ড,	থাইল্যান্ড,	
nabyata,	নব্যতা,	নাব্যতা,	
staylish,	স্টাইলিস,	স্টাইলিশ,	
sektara,	সেক্টার,	সেক্টর,	
phoxkon,	ফক্ষণ,	ফক্সকন,	
stylish,	স্টাইলিস,	স্টাইলিশ,	
barnish,	বার্নিস,	বার্নিশ,	
azimpur,	আজিমপুর,	আজিমপুর,	
inphormeshon,	ইনফর্মেশন,	ইনফরমেশন,	
ula,	উলা,	উল,	
roktokshoroner,	রক্তক্ষণের,	রক্তক্ষরণের,	
sthaponakey,	স্থাপনাকে,	স্থাপনাকে,	
phirtee,	ফিরতি,	ফিরতি,	
atmabishvashi,	আত্মবিশাসী,	আত্মবিশ্বাসী,	
bibade,	বিবদে,	বিবাদে,	
ekok,	একক,	একক,	
oiteejye,	ঐতিজ্যে,	ঐতিহ্যে,	
granthatike,	গ্রন্থািতে,	গ্রন্থটিকে,	
dorgaaho,	দরগা,	দরগাহ,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
vishhnu,	বিষ্ণু,	বিষ্ণু,	
parpel,	পার্পেল,	পার্পেল,	
riphleksa,	রাইফেল্স,	রিফ্লেক্স,	
kadom,	কাম,	কদম,	
kodguli,	কাগুলি,	কোডগুলি,	
mosjidke,	মস্জিদকে,	মসজিদকে,	
ekhaate,	এখাতে,	একহাতে,	
oncholtee,	অঞ্চলটি,	অঞ্চলটি,	
fal,	ফাল,	ফল,	
keyboarder,	কেবর্ডের,	কীবোর্ডের,	
goori,	গুরি,	গোরি,	
lesensim,	লেসেন্সিং,	লাইসেন্সিং,	
samanyoi,	সমান্যই,	সামান্যই,	
onodhikar,	অনধধিকার,	অনধিকার,	
madhobir,	মাধবীর,	মাধবীর,	
vittiei,	ভিটিই,	ভিত্তিই,	
gaadhaa,	গাধা,	গাধা,	
akkharke,	আক্ষরকে,	অক্ষরকে,	
obdee,	অব্দি,	অব্দি,	
lendal,	লেন্ডল,	লেন্ডল,	
chalochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
candy,	ক্যান্ডি,	ক্যান্ডি,	
abdune,	আব্দুনে,	আবদুন,	
nimitte,	নিমিত্যে,	নিমিত্তে,	
arbeet,	আর্বিত,	অরবিট,	
navel,	নেভেল,	নভেল,	
durgatsob,	দুর্গত্বব,	দুর্গোৎসব,	
gonosakkhorota,	গণসক্ষরতা,	গণসাক্ষরতা,	
auxfordey,	আস্সফোর্ডে,	অক্সফোর্ডে,	
fanda,	ফাঁদা,	ফান্ড,	
chattke,	চটকে,	ছাতকে,	
soshorire,	সশরীরে,	সশরীরে,	
suparichito,	সুপািচিত,	সুপরিচিত,	
rutina,	রুটিন,	রুটিন,	
nathibhuktir,	নথিভুক্তির,	নথিভুক্তির,	
metrapalitan,	মেত্রাপলীতন,	মেট্রোপলিটন,	
seramiqs,	সেরামিক্স,	সিরামিকস,	
mousumeo,	মৌমেও,	মৌসুমেও,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
pooding,	পুডিং,	পুডিং,	
ciima,	সিম,	সীমা,	
dajhyo,	দাজ্য,	দাহ্য,	
hool,	হোল,	হুল,	
manjurul,	মঞ্জুরুল,	মনজুরুল,	
mesenzar,	মেসেঞ্জার,	মেসেঞ্জার,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
gunjey,	গুঞ্জে,	গুঁজে,	
shikhbe,	শিখবে,	শিখবে,	
sikh,	শিখ,	শিখ,	
gavashkar,	গভষ্কর,	গাভাস্কার,	
maszid,	মাসীদ,	মসজিদ,	
modeley,	মোডেলে,	মডেলে,	
chhooteer,	ছুটির,	ছুটির,	
chashe,	চাষে,	চেস,	
sarjur,	সার্জুর,	সরযূর,	
shikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
bruklin,	ব্রুকলিন,	ব্রুকলিন,	
plato,	প্লা,	প্লেটো,	
patjata,	পাত্যতত,	পাটজাত,	
ramzaner,	রাজানের,	রমযানের,	
beetlaser,	বিটলসের,	বিটলসের,	
samoshtigato,	সমস্তিগত,	সমষ্টিগত,	
korecho,	করেছ,	করেছো,	
aarik,	আরিক,	আরিক,	
teter,	টিয়েটার,	টেটের,	
akhandata,	আখন্দতা,	অখণ্ডতা,	
kando,	কান্ড,	কাণ্ড,	
delivar,	দেলিভার,	ডেলিভার,	
jibonto,	জীবন্ত,	জীবন্ত,	
churger,	চুর্গের,	চার্জের,	
uthane,	উঠানে,	উঠানে,	
smaraker,	স্মারকের,	স্মারকের,	
syutara,	স্যুটার,	শ্যুটার,	
qoda,	কোড,	কোডা,	
neerbahi,	নির্বাহী,	নির্বাহি,	
gandhiir,	গান্ধীর,	গান্ধীর,	
trupa,	ট্রুপ,	ট্রুপ,	
mangolik,	মঙ্গলিক,	মাঙ্গলিক,	
manober,	মানবের,	মানবের,	
esasiyetasa,	এসেসিয়াট,	এসোসিয়েটস,	
jameske,	জামেস্কে,	জেমসকে,	
ghatir,	ঘাটির,	ঘাটির,	
jini,	জিনি,	যিনি,	
grambaasio,	গ্রাম্বাসীয়,	গ্রামবাসীও,	
kakhanyoba,	কখন্যবা,	কখনওবা,	
apocheshta,	অপচেষ্টা,	অপচেষ্টা,	
nagariker,	নগরীকের,	নাগরিকের,	
korle,	করলে,	করলে,	
bhaskor,	ভাসকোর,	ভাস্কর,	
nagorikderke,	নাগরিকদেরকে,	নাগরিকদেরকে,	
horus,	হরুস,	হোরাস,	
shomostigoto,	সমস্তিগত,	সমষ্টিগত,	
eucalyptus,	ইউক্যালিপ্টাস,	ইউক্যালিপ্টাস,	
jonmat,	জন্মাত,	জন্মাত,	
scoree,	স্কোরি,	স্কোরে,	
tookrotey,	তুকররে,	টুকরোতে,	
shaswato,	শা্যত,	শাশ্বত,	
deputee,	দেপুটি,	ডেপুটি,	
nodigulo,	নদীগুলো,	নদীগুলো,	
bufer,	বাওফার,	বাফার,	
dayana,	ডায়ানো,	ডায়না,	
mosleh,	মোসলে,	মোসলেহ,	
prabhu,	প্রভূ,	প্রভু,	
ramdhonu,	রামধু,	রামধনু,	
windows,	উইন্ডোস,	উইন্ডোস,	
monzeele,	মঞ্জিলে,	মঞ্জিলে,	
bohorompurer,	বহরপুমের,	বহরমপুরের,	
aap,	আপ,	আপ,	
sangasthaner,	সংস্থানের,	সংস্থানের,	
sharifpur,	শরিপপুর,	শরিফপুর,	
karu,	কারু,	কারু,	
kaansaat,	কাঁসাট,	কানসাট,	
deool,	ডিওল,	দেউল,	
window,	উইন্ডো,	উইন্ডো,	
chhidropothe,	ছিদ্রপথে,	ছিদ্রপথে,	
shita,	সীত,	সিট,	
bhabnake,	ভাবনাকে,	ভাবনাকে,	
pretti,	প্রেত্বি,	প্রিটি,	
proshtutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
ekaar,	একার,	একার,	
di,	দি,	দিই,	
krok,	ক্রোক,	ক্রোক,	
balaruma,	বালারাম,	বলরুম,	
radhanagar,	রাধনাগর,	রাধানগর,	
farna,	ফার্ন,	ফার্ন,	
thai,	ঠাই,	থাই,	
noveel,	নোভেল,	নভেল,	
phirth,	ফির্থ,	ফার্থ,	
saalsa,	সালস,	সালসা,	
iub,	ইউব,	আইইউবি,	
ganona,	গণনা,	গননা,	
baiqa,	বাইক,	বাইক,	
pratisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
bujhechhilo,	বুঝেছিল,	বুঝেছিল,	
abortey,	আবর্তে,	আবর্তে,	
laisense,	লাইসেন্সে,	লাইসেন্স,	
durgotsave,	দুর্তগতভাবে,	দুর্গোৎসবে,	
romantik,	রোমান্তিক,	রোমান্টিক,	
dael,	দেল,	ডেইল,	
jathon,	যথন,	যথন,	
laaishheshh,	লাইসেস,	লাইসেন্স,	
shajanor,	সাজানর,	সাজানোর,	
templete,	টেম্পলেট,	টেম্পলেট,	
songasthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
graambaashi,	গ্রামবাসী,	গ্রামবাসী,	
alubokhara,	অলুবকরা,	আলুবোখারা,	
soasage,	সোগজে,	সসেজ,	
vabook,	ভাবুক,	ভাবুক,	
tusho,	তুষও,	তুসো,	
heenna,	হিন্না,	হেনা,	
grambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
sofi,	সফি,	সোফি,	
maadhoori,	মাধুরি,	মাধুরী,	
sealvi,	সিলভি,	সিলভি,	
larshon,	লার্সন,	লারসন,	
aabahon,	আবাহন,	আবাহন,	
bhoolapuka,	ভুলাপুকা,	ভোলাপুক,	
longhan,	লঙ্ঘন,	লংঘন,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
jockei,	জকেই,	জকি,	
aloteo,	আলোতে,	আলোতেও,	
qrita,	কৃত,	ক্রীট,	
shiqar,	শিকার,	শিকার,	
engineers,	এন্গিনার্স,	ইঞ্জিনিয়ার্স,	
perri,	পেরি,	পেরি,	
drishtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
longhoner,	লঙ্ঘনের,	লংঘনের,	
marri,	মারি,	ম্যারি,	
park,	পার্ক,	পার্ক,	
akritakarjo,	আকৃত্বকর্য,	অকৃতকার্য,	
sooresh,	সুরেষ,	সুরেশ,	
nirgomon,	নির্জম,	নির্গমন,	
gonesher,	গণেষের,	গণেশের,	
ukeliptas,	উকেলিপ্টাস,	ইউক্যালিপ্টাস,	
bardhitansh,	বার্ধিতন্স,	বর্ধিতাংশ,	
durga,	দুর্গ,	দুর্গ,	
durvagyo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
dee,	ডি,	ডে,	
byomkes,	ব্যামকেস,	ব্যোমকেশ,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
carlos,	কার্লস,	কার্লোস,	
dera,	দেরা,	ডেরা,	
mailkhanek,	মাইলখানেক,	মাইলখানেক,	
meloonborroner,	মেলবন্রণের,	মেলবোর্নের,	
bheenama,	ভিনামা,	ভেনম,	
gonona,	গণনা,	গননা,	
ajeeja,	অজিজা,	আজিজা,	
tarbine,	তারবীনে,	টারবাইন,	
tukrote,	তুকররে,	টুকরোতে,	
zoubonkal,	যৌবনকাল,	যৌবনকাল,	
aakabaar,	আঁকাবার,	আকাবার,	
notunotto,	নতুনত্ব,	নতুনত্ব,	
qara,	কোর,	কর,	
prajanankal,	প্রজননক্লল,	প্রজননকাল,	
nirbahey,	নির্বহে,	নির্বাহে,	
choudhooreer,	চৌধুরির,	চৌধুরীর,	
vogiroth,	ভগগরথ,	ভগীরথ,	
nirvachaker,	নির্বাচকের,	নির্বাচকের,	
alpo,	অল্প,	অল্প,	
faase,	ফাসে,	ফাঁসে,	
joistho,	জৈষ্ঠ,	জ্যৈষ্ঠ,	
qaferderkey,	কাফেরদেরকে,	কাফেরদেরকে,	
manush,	মানুষ,	মানুষ,	
abotar,	অবতার,	অবতার,	
phormat,	ফরমাট,	ফরম্যাট,	
drishyake,	দৃশ্যকে,	দৃশ্যকে,	
hizriite,	হিজরিটে,	হিজরীতে,	
murad,	মুরাদ,	মুরাদ,	
ashociatesh,	অসযাকিসিয়েস,	এসোসিয়েটস,	
kormyi,	করমী,	কর্মই,	
nagarikera,	নাগরিকের,	নাগরিকেরা,	
spreadsheet,	স্প্রেসেট,	স্প্রেডশীট,	
biswashwo,	বিশ্বাস্য,	বিশ্বাসও,	
parabortee,	পরবর্তী,	পরর্বতী,	
beildaar,	বেললার,	বিল্ডার,	
jaygata,	জাইগত,	জায়গাটা,	
abhidhaneec,	অভিধানিক,	অভিধানিক,	
matt,	মাত,	ম্যাট,	
aqabar,	আকাবার,	আকাবার,	
shooknaa,	শুকনা,	শুকনা,	
awatar,	অওতার,	অবতার,	
torokareer,	তরকারীর,	তরকারীর,	
zerusalem,	জেরুশালেম,	জেরুজালেম,	
pratyokkhobhabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
bhaabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
parijaner,	পরিজনের,	পরিজনের,	
sidharther,	সিবাধের,	সিদ্ধার্থের,	
sangasthati,	সংস্থটি,	সংস্থাটি,	
toroonraa,	তরুনরা,	তরুণরা,	
parqasa,	পার্কস,	পার্কস,	
overviu,	অভয়ার্ভি,	ওভারভিউ,	
chopal,	চোপাল,	চপল,	
myat,	ম্যাট,	ম্যাট,	
swapod,	স্বপদ,	শ্বাপদ,	
udbhabon,	উদ্ভাবন,	উদ্ভাবন,	
tanight,	তানিঘট,	টুনাইট,	
reshidensha,	রেসিডেন্স,	রেসিডেন্স,	
paste,	পাস্টে,	পেষ্ট,	
nogore,	নগরে,	নগরে,	
porishkaran,	পরিষ্কারণ,	পরিষ্করণ,	
nirdeshika,	নির্দেশিকা,	নির্দেশিকা,	
sangkalaner,	সংকললের,	সংকলনের,	
anodhikar,	অনধধিকর,	অনধিকার,	
dip,	ডিপ,	দীপ,	
sotorkota,	সতর্কতা,	সতর্কতা,	
stanahenja,	স্টনাহেঞ্জ,	স্টোনহেঞ্জ,	
rohasyati,	রহস্যাটি,	রহস্যটি,	
uipoka,	উইপক,	উইপোকা,	
monohputo,	মনঃপপুত,	মনঃপুত,	
bachai,	বাঁচাই,	বাছাই,	
kings,	কিংস,	কিংস,	
voter,	ভোটের,	ভোটার,	
sone,	সোনে,	সনে,	
taala,	তালা,	তালা,	
taurat,	তৌরাট,	তওরাত,	
doobhara,	দুভার,	ডোভার,	
jacqsan,	জক্সন,	জ্যাকসন,	
baharampurer,	বহরামপুরের,	বহরমপুরের,	
musalmanke,	মুসল্্াঙ্কে,	মুসলমানকে,	
besinay,	বেশিনে,	বেসিনে,	
ileeing,	ইলেইন্,	ইলিং,	
opohoron,	অপহরণ,	অপহরন,	
prokalpao,	প্রকাপপু,	প্রকল্পও,	
mononiitoder,	মননীতদের,	মনোনীতদের,	
jaanalo,	জানালো,	জানালো,	
chalochchitraeeo,	চলচিত্রে,	চলচ্চিত্রেও,	
nironjon,	নিরঞ্জন,	নিরঞ্জন,	
samavesh,	সমভেষ,	সমাবেশ,	
fishing,	ফিইিং,	ফিসিং,	
manushtike,	মানুষ্টিকে,	মানুষটিকে,	
chef,	চেফ,	শেফ,	
tatey,	তাটে,	তাতে,	
bimata,	বিমত,	বিমাতা,	
ray,	রে,	রায়,	
oitijjhey,	ঐতিঝে,	ঐতিহ্যে,	
saholobhyotar,	সহলভাতার,	সহজলভ্যতার,	
avishangsan,	অভিশাংশন,	অভিশংসন,	
chaudhoorir,	চৌধুরির,	চৌধুরীর,	
economics,	ইকোনমিক্স,	ইকোনমিকস,	
lajikar,	লাজিকার,	লজিকের,	
chalochchitraeer,	চলচিত্রীর,	চলচ্চিত্রের,	
meghnadbodh,	মেঘনাধব,	মেঘনাদবধ,	
blogarra,	ব্লগগার,	ব্লগাররা,	
karmakandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
artilary,	আর্টিলারি,	আর্টিলারি,	
prodip,	প্রোডিপ,	প্রদীপ,	
cyphy,	সিফি,	সাইফাই,	
basaalt,	বাসল্ট,	ব্যাসল্ট,	
bedanter,	বেদন্তের,	বেদান্তের,	
bhaibonder,	বাইবন্দের,	ভাইবোনদের,	
prothati,	প্রথাটি,	প্রথাটি,	
zockey,	জকে,	জকি,	
chalake,	চালকে,	চালকে,	
chalachchitratike,	চলচিত্রাটিকে,	চলচ্চিত্রটিকে,	
jibnagar,	জিবনাগার,	জীবননগর,	
orthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
paitey,	পাইে,	পাইতে,	
onker,	অঁকের,	ওঙ্কার,	
kiirti,	কীর্তি,	কীর্তি,	
afjal,	আফজাল,	আফজল,	
pleena,	প্লেন,	প্লেন,	
utsahi,	উৎসাহী,	উৎসাহী,	
swartho,	স্বার্থ্য,	স্বার্থ,	
mastars,	মাস্টার্স,	মাস্টার্স,	
bisnoo,	বিষ্ণু,	বিষ্ণু,	
ajuhat,	অজুহাত,	অজুহাত,	
bhittiteo,	ভিটিতে,	ভিত্তিতেও,	
modhumoti,	মধুমতি,	মধুমতী,	
sanyal,	সায়নিয়াল,	সান্যাল,	
ruteen,	রুটিন,	রুটিন,	
anchaltike,	আঞ্চল্তিকে,	অঞ্চলটিকে,	
bhardwaj,	ভার্ডাজ,	ভরদ্বাজ,	
prosadhoner,	প্রশাধনের,	প্রসাধনের,	
addhattikota,	আধ্যত্বিকতা,	আধ্যাত্মিকতা,	
geza,	গেজ,	গেজ,	
muhamada,	মুহমাদ,	মুহাম্মদ,	
nothibhookto,	নথিভুক্ত,	নথিভুক্ত,	
ovidhaner,	অভিধানের,	অভিধানের,	
mase,	মাসে,	মাসে,	
sukna,	শুকনা,	শুকনা,	
olpokichudin,	অল্পকিছুদিন,	অল্পকিছুদিন,	
behramporer,	বেহরামপুরের,	বহরমপুরের,	
vooter,	ভোটের,	ভোটার,	
jhijhi,	ঝিঝি,	ঝিঝি,	
tantira,	তন্টিরা,	তাঁতিরা,	
ancholtee,	আঞ্চলটি,	অঞ্চলটি,	
pushti,	পুষ্টি,	পুষ্টি,	
bafar,	বাফার,	বাফার,	
mousumer,	মৌমের,	মৌসুমের,	
balroom,	বালরম,	বলরুম,	
sumeeta,	সুমিত,	সুমিতা,	
drishyagulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
bohudeen,	বহুদিন,	বহুদিন,	
bishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
browser,	ব্রসের,	ব্রাউজার,	
chhuti,	ছুটি,	ছুটি,	
neurology,	নিউরোলজি,	নিউরোলজি,	
