juktarashtrasaha,	যুক্তরাস্ট্রসহ,	যুক্তরাষ্ট্রসহ,	
spancer,	স্প্যান্সের,	স্পেন্সার,	
obeekol,	অবিকল,	অবিকল,	
aabahan,	আবাহন,	আবাহন,	
kanai,	কানাই,	কানাই,	
mookhbaundho,	মুখবন্ধ,	মুখবন্ধ,	
kyathlikder,	কাঠলিকদের,	ক্যাথলিকদের,	
codeti,	কোদেটি,	কোডটি,	
itastato,	ইতস্তত,	ইতস্ততঃ,	
durgatsabe,	দুর্ঘাতভাবে,	দুর্গোৎসবে,	
sherup,	শেরুপ,	সেরূপ,	
murader,	মুরাদের,	মুরাদের,	
idaning,	এডনিং,	ইদানিং,	
kanaflikta,	কনাল্লিক্ট,	কনফ্লিক্ট,	
garjon,	গর্জন,	গর্জন,	
ssosha,	সসা,	শশা,	
karadondo,	কারাদন্ড,	কারাদণ্ড,	
shiropar,	শিরোপার,	শিরোপার,	
oopohoron,	উপহহরণ,	অপহরন,	
neemitte,	নিমিত্যে,	নিমিত্তে,	
shabnam,	সাবনাম,	শবনম,	
snipper,	সিন্পার,	স্নাইপার,	
shcholarshhip,	স্কলারশিপ,	স্কলারশিপ,	
porobortii,	পরবর্তী,	পরর্বতী,	
dephinision,	ডেফিনিশন,	ডেফিনেশন,	
taimash,	তাইমাস,	টাইমস্,	
jwalbe,	জ্বলবে,	জ্বলবে,	
baitsh,	বাইটস,	বাইটস,	
phaltu,	ফলত,	ফালতু,	
kemoney,	কেমনে,	কেমনে,	
sumo,	সামো,	সুমো,	
antarvuktimulak,	অন্তর্বর্ত্তকলক,	অন্তর্ভুক্তিমূলক,	
chhutir,	ছুটির,	ছুটির,	
durtomo,	দূর্তম,	দূরতম,	
wedanta,	বেদন্ত,	বেদান্ত,	
armshtrong,	আর্মস্ট্রাং,	আর্মস্ট্রং,	
diphinishion,	ডিফিনিশন,	ডেফিনেশন,	
azizer,	আজিজের,	আজিজের,	
alsaara,	আলসার,	আলসার,	
graambaashi,	গ্রামাবাসী,	গ্রামবাসী,	
ruby,	রাবি,	রুবী,	
hosney,	হোসে,	হোসনে,	
prosadhani,	প্রসাধানী,	প্রসাধনী,	
tuner,	টানের,	টিউনার,	
jibnagore,	জীবনগরে,	জীবননগর,	
mishal,	মিশাল,	মিশাল,	
eukalyptus,	ইউক্লালিপাস,	ইউক্যালিপ্টাস,	
chhanake,	ছনকে,	ছানাকে,	
shadena,	সাদেন,	সাডেন,	
jeshh,	জেস,	জেস,	
cyanide,	ক্যানিডে,	সায়ানাইড,	
otiiteo,	অতীতেও,	অতীতেও,	
byabaharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
maryir,	মারির,	ম্যারির,	
maase,	মাসে,	মাসে,	
moonim,	মুনিম,	মুনিম,	
rubala,	রুবাল,	রুবল,	
thanvi,	থানভী,	থানভী,	
mojdoor,	মজ্দুর,	মজদুর,	
padee,	পেদ,	পাড়ে,	
bishad,	বিশদ,	বিষদ,	
ateeteo,	অতিতেও,	অতীতেও,	
neck,	নেক,	নেক,	
kormoke,	কর্মকে,	কর্মকে,	
kokhonoba,	কখনোবা,	কখনওবা,	
skara,	স্কার,	স্কোর,	
vogno,	ভগ্ন,	ভগ্ন,	
licencer,	লিকেঞ্সের,	লাইসেন্সের,	
kuhelika,	কুলিিকা,	কুহেলিকা,	
mukhmondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
laaisens,	লাইন্স,	লাইসেন্স,	
sekarane,	সেকারনে,	সেকারণে,	
prodeeper,	প্রদ্রাপের,	প্রদীপের,	
ibhaner,	ইভনের,	ইভানের,	
ducktickete,	ডাক্তিকেতে,	ডাকটিকিটে,	
istane,	ইস্টানে,	স্টোন,	
reno,	রেনো,	রেনো,	
lala,	লালা,	লালা,	
aboshore,	অবসরে,	অবসরে,	
oshamonjosshoporno,	অসমানসস্পর্ণ,	অসামঞ্জস্যপূর্ণ,	
fix,	ফিক্স,	ফিক্স,	
ohollar,	অহল্যার,	অহল্যার,	
manushey,	মানুষে,	মানুষে,	
hedge,	হেজ,	হেজ,	
eporzonto,	এপরজন্ত,	এপর্যন্ত,	
qode,	কোড,	কোড,	
baruklin,	বারুক্লিন,	ব্রুকলিন,	
protijogitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
kormosongsthan,	কর্মসংস্থান,	কর্মসংস্থান,	
sarder,	সর্দার,	সরদার,	
karmake,	কর্মকে,	কর্মকে,	
nojoder,	নজদের,	নজদের,	
rezidens,	রেজিডেন্স,	রেসিডেন্স,	
fulkapi,	ফুলকাপি,	ফুলকপি,	
sammatitey,	সম্মতিতে,	সম্মতিতে,	
shtone,	স্টন,	স্টোন,	
shiropa,	শিরোপা,	শিরোপা,	
shalook,	শালুক,	শালুক,	
soceitykey,	সসৈতিকে,	সোসাইটিকে,	
sansthatir,	সংস্থাটির,	সংস্থাটির,	
ronangane,	রণাঙ্গনে,	রণাঙ্গনে,	
abheedhaanic,	অভিধানিক,	অভিধানিক,	
varpur,	ভারপুর,	ভরপুর,	
crescent,	ক্রেসেন্ট,	ক্রিসেন্ট,	
dhauto,	ধ্বত,	ধৌত,	
abahan,	আবাহন,	আবাহন,	
gobeshona,	গবেষণা,	গবেষনা,	
chalachchitreo,	চলচচিত্রে,	চলচ্চিত্রেও,	
parry,	প্যারি,	পেরি,	
vaticaner,	ভাটিকানের,	ভ্যাটিকানের,	
emarzensi,	এমার্জেন্সি,	এমার্জেন্সি,	
joubanbatee,	যৌবনবাতি,	যৌবনবতী,	
sachetanatamulak,	সচ্বতানামূলক,	সচেতনতামূলক,	
fatakesto,	ফটাকেষ্ট,	ফাটাকেষ্ট,	
jyestthotar,	জেষ্ঠতার,	জ্যেষ্ঠতার,	
senabahinike,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
sane,	সানে,	সনে,	
qoda,	কোড,	কোডা,	
bee,	বি,	বি,	
qaroo,	কারু,	কারো,	
digrio,	ডিগ্রিও,	ডিগ্রিও,	
anektai,	অনেকটাই,	অনেকটাই,	
anchalti,	আঞ্চলটি,	অঞ্চলটি,	
clause,	ক্লাউশ,	ক্লজ,	
sachetan,	সাচেতন,	সচেতন,	
parther,	পার্থের,	পার্থের,	
paner,	পানের,	পনের,	
haridware,	হারিড্বার,	হরিদ্বারে,	
jolook,	জলকুক,	জ্বলুক,	
zeebonto,	জীবন্ত,	জীবন্ত,	
turisht,	টুরিস্ট,	টুরিস্ট,	
dhnoka,	ধোনকা,	ধোঁকা,	
shorifer,	শরীফের,	শরিফের,	
hobu,	হবু,	হবু,	
shorifpur,	শরীফপুর,	শরিফপুর,	
drissogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
skalarasipa,	স্কোলারেশিপ,	স্কলারশিপ,	
chhooteer,	ছুটির,	ছুটির,	
shekend,	সেকেন্ড,	সেকেণ্ড,	
bota,	বোতা,	বটা,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
atok,	আতক,	আটক,	
varson,	ভার্সন,	ভারশন,	
tofaat,	টফফাত,	তফাৎ,	
pholo,	ফল,	পোলো,	
cholchhe,	চলচে,	চলছে,	
liseens,	লিজেন্স,	লাইসেন্স,	
neptuner,	নেপটানের,	নেপচুনের,	
somonnitobhabe,	সমননীতভাবে,	সমন্বিতভাবে,	
avatar,	অভাটার,	অবতার,	
potthon,	পথন,	পঠন,	
mathews,	ম্যাথিউস,	ম্যাথিউস,	
cheento,	চিন্ত,	চিনতো,	
brek,	ব্র্যাক,	ব্রেক,	
netherlander,	নেদারল্যান্ডের,	নেদারল্যান্ডের,	
manushder,	মানুষদের,	মানুষদের,	
nirontar,	নিরন্তর,	নিরন্তর,	
noitikatabodh,	নৈতিতাবাদব,	নৈতিকতাবোধ,	
khargoser,	খারগশের,	খরগোসের,	
swalpa,	স্বল্প,	স্বল্প,	
monu,	মণু,	মনু,	
dada,	ডাদ,	দাদা,	
shilpojat,	শিল্পজাত,	শিল্পজাত,	
turista,	তুরিস্ট,	টুরিস্ট,	
katbe,	কাটবে,	কাটবে,	
transcom,	ট্রাংসকম,	ট্রান্সকম,	
suiti,	সুইটি,	সুইটি,	
oswasteekor,	অস্বাস্তিকার,	অস্বস্তিকর,	
golakriti,	গোলাকৃতি,	গোলাকৃতি,	
hart,	হার্ট,	হার্ট,	
dola,	ডলা,	দলা,	
syutara,	স্যুটার,	শ্যুটার,	
semai,	সিমাই,	সেমাই,	
tookroke,	টুকরকে,	টুকরোকে,	
asthishondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
sarsa,	সর্শ,	সোর্স,	
arthurer,	অর্থুরের,	আর্থারের,	
chhatto,	ছা্ট,	ছোট্ট,	
tigre,	টিগ্রে,	টাইগার,	
porizon,	পরিজন,	পরিজন,	
akpashe,	একপাশে,	একপাশে,	
bikretara,	বিক্রেটার,	বিক্রেতারা,	
sangasthagulo,	সংগগহস্থুল,	সংস্থাগুলো,	
kansat,	কাংসস,	কানসাট,	
bike,	বিকে,	বাইক,	
rupantor,	রূপান্তর,	রুপান্তর,	
texaser,	টেক্সের,	টেক্সাসের,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
cooda,	কোড,	কোডা,	
cheentai,	চিন্তাই,	ছিনতাই,	
nilabho,	নীলাভ,	নীলাভ,	
shamijir,	সমিজির,	স্বামীজীর,	
narsaari,	নার্সারী,	নার্সারি,	
ottacharito,	অত্তছারিত,	অত্যাচারিত,	
khelafatey,	খেলাফাতে,	খেলাফতে,	
sahojlabhbhotar,	সহজভ্লভাার,	সহজলভ্যতার,	
messenjer,	মেসেঞ্জের,	মেসেঞ্জার,	
eidaning,	এডনিন,	ইদানীং,	
rubi,	রুবি,	রুবি,	
bhaandaare,	ভান্ডারে,	ভাণ্ডারে,	
janatey,	জানাতে,	জানাতে,	
parking,	পার্কিং,	পার্কিং,	
udvabone,	উদ্ভাবনে,	উদ্ভাবনে,	
ved,	ভেদ,	বেদ,	
uporitol,	উপরিতল,	উপরিতল,	
archimedeser,	আর্কিমিডাসের,	আর্কিমিডিসের,	
shrishri,	শ্রীশ্,	শ্রীশ্রী,	
hukar,	হুকার,	হুকার,	
saleha,	সালেহ,	সালেহা,	
qor,	কোর,	কর,	
hughke,	হুঘকে,	হিউজকে,	
noitikbhabey,	নৈটিকভাবে,	নৈতিকভাবে,	
sakara,	সককার,	সকার,	
jubokey,	যুবকে,	যুবকে,	
heemi,	হিমি,	হিমি,	
jonosanjog,	জনসংযোগ,	জনসংযোগ,	
charukola,	চারুকালো,	চারুকলা,	
sanaktokaron,	সনাক্তকরণ,	সনাক্তকরণ,	
nodnadeer,	নদ্যদের,	নদনদীর,	
vobotarini,	ভবতারীনী,	ভবতারিণী,	
horiddar,	হরিদ্দার,	হরিদ্বার,	
pathkramer,	পাঠক্রমের,	পাঠক্রমের,	
prakalpoti,	প্রকলপতি,	প্রকল্পটি,	
aazaan,	আজান,	আজান,	
taoonsheep,	তাউনশীপ,	টাউনশিপ,	
hiushtoner,	হিউস্তনের,	হিউস্টনের,	
prottokkhovabe,	প্রত্যাক্ষভাবে,	প্রত্যক্ষভাবে,	
shhipa,	শিপ,	শিপ,	
khali,	খালি,	খালি,	
obotar,	অবতার,	অবতার,	
geeja,	গেজ,	গেজ,	
vobani,	ভবানী,	ভবানী,	
tikka,	টীকা,	টিক্কা,	
hotelti,	হোটেলটি,	হোটেলটি,	
siddhanto,	সিদ্বান্ত,	সিদ্ধান্তও,	
toubar,	তাবার,	তওবার,	
mosleh,	মোসলেহ,	মোসলেহ,	
soource,	সোর্স,	সোর্স,	
basaalt,	বসলাল্ট,	ব্যাসল্ট,	
jones,	জনসস,	জোন্স,	
rejidence,	রেজিডেন্স,	রেসিডেন্স,	
samanyo,	সামান্য,	সামান্য,	
aashor,	আশোর,	আসর,	
ashshociatesh,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
opohoronn,	অপহরণ,	অপহরন,	
dhormi,	ধর্মি,	ধর্মী,	
shikhar,	শিখর,	শিকার,	
shaatjon,	সাতজন,	সাতজন,	
pragreesa,	প্রগ্রেস,	প্রগ্রেস,	
recondition,	রেকন্ডিকেশন,	রিকন্ডিশন,	
lettar,	লেটার,	লেটার,	
sahapatheekey,	সহপাঠিকে,	সহপাঠীকে,	
akten,	আঁকতেন,	অকটেন,	
joistha,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
raia,	রয়,	রায়,	
vagadada,	ভাগাদাদা,	বাগদাদ,	
amudey,	আমুদে,	আমুদে,	
sheekarke,	শিকারকে,	শিকারকে,	
machher,	মাছের,	মাছের,	
dhan,	ধান,	ধ্যান,	
meloonborroner,	মেলনবন্রনের,	মেলবোর্নের,	
nationsh,	নেটিয়ন্স,	নেশনস,	
arthoneeti,	অর্থনীতি,	অর্থনীতির,	
oviyojan,	অভিযোজন,	অভিযোজন,	
piroojalee,	পিরোজালি,	পিরুজালী,	
ekbakye,	একবকে,	একবাক্যে,	
atmabishvashi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
serup,	শেরুপ,	সেরুপ,	
soomee,	সুমি,	সুমি,	
fatakasto,	ফতকাস্ট,	ফাটাকেষ্ট,	
biplobi,	বিপ্লবী,	বিপ্লবী,	
bhumir,	ভূমির,	ভূমির,	
laaiseens,	লাইন্স,	লাইসেন্স,	
mosharroph,	মোশাররফ,	মশাররফ,	
pratisthasaho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
voter,	ভোটের,	ভোটার,	
cholochchitro,	চলচচিত্র,	চলচ্চিত্র,	
bishnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
neurooloogy,	নিউরোলুজি,	নিউরোলজি,	
vdp,	এডিপি,	ভিডিপি,	
bonsho,	বংশ,	বংশ,	
gyate,	জ্ঞাতে,	গ্যেটে,	
dokanei,	দোকানেই,	দোকানেই,	
juktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
elakatike,	এলাকাতিকে,	এলাকাটিকে,	
nations,	নেটিয়ন্স,	নেশনস,	
ghumachchila,	ঘুমাছিল,	ঘুমাচ্ছিল,	
aksathei,	একসাথেই,	একসাথেই,	
timathy,	তিমাথি,	টিমোথি,	
ceramicer,	কেযামেমিকার,	সিরামিকের,	
shorif,	শরীফ,	শরিফ,	
kaley,	কালে,	কালে,	
prachin,	প্রাচীন,	প্রাচীন,	
fox,	ফর্স,	ফক্স,	
awatar,	অওতার,	অবতার,	
poster,	পোস্টার,	পোস্টের,	
tali,	তালি,	তালি,	
lobbyte,	লববিতে,	লবিতে,	
conservetion,	কনোস্ভারেশন,	কনসারভেশন,	
saramiks,	সারামিক্স,	সিরামিকস,	
abhidhanic,	অভিধানিক,	অভিধানিক,	
samajikotar,	সামাজিকতার,	সামাজিকতার,	
coshon,	কোষণ,	চোষণ,	
routiner,	রাউটিনের,	রুটিনের,	
hafsa,	হাফস,	হাফসা,	
prabhuder,	প্রভূদের,	প্রভুদের,	
vault,	ভাল্ট,	ভল্ট,	
samoshti,	সমস্তি,	সমষ্টি,	
seekkhaou,	শিক্ষাও,	শিক্ষাও,	
torooner,	তরুণের,	তরুণের,	
orgho,	অর্ঘ,	অর্ঘ্য,	
amarica,	আমরিকা,	আমেরিকা,	
shangsthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
beildaar,	বিলদার,	বিল্ডার,	
bhenom,	ভেনম,	ভেনম,	
jibanto,	জীবন্ত,	জীবন্ত,	
aalkatra,	আলকাত্র,	আলকাতরা,	
juktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
paira,	পাইরা,	পাইরা,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
samudratatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
abheedhanik,	আভিধানিক,	অভিধানিক,	
chetona,	চেতনা,	চেতনা,	
bisheshyer,	বিশেষ্যের,	বিশেষ্যের,	
salmaaner,	সালমানের,	সালমানের,	
shithilotar,	সিথিলতার,	শিথিলতার,	
mufti,	মুফতী,	মুফতি,	
moshzidtir,	মস্যিদ্তির,	মসজিদটির,	
chaudhurider,	চৌধুরিদের,	চৌধুরীদের,	
claus,	ক্লাউ,	ক্লজ,	
kompekt,	কম্পেক্ট,	কমপ্যাক্ট,	
herisoner,	হিরিশনের,	হ্যারিসনের,	
skart,	স্কার্ট,	স্কার্ট,	
edaningkale,	এডনিন্কালে,	ইদানীংকালে,	
larson,	লার্শন,	লারসন,	
karmakandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
graambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
brookoleen,	ব্রুকোলেন,	ব্রুকলিন,	
freedom,	ফ্রিডম,	ফ্রীডম,	
evar,	ইভার,	এভার,	
dwipke,	দ্বিপকে,	দ্বীপকে,	
peto,	পেত,	পেত,	
chhatke,	ছাতকে,	ছাতকে,	
daaun,	ডাউন,	ডাউন,	
sompadonkaree,	সম্পাদনকারী,	সম্পাদনকারী,	
bossontoke,	বসসন্তকে,	বসন্তকে,	
prozononkal,	প্রজননকাল,	প্রজননকাল,	
tonga,	তঙ্গ,	টোঙ্গা,	
sharif,	শরীফ,	শরিফ,	
dhanchey,	ঢাঁচে,	ধাঁচে,	
sarbhare,	সার্ভারে,	সার্ভারে,	
shangkulan,	সংকুলন,	সংকুলান,	
shikara,	শিকার,	শিকার,	
utpatti,	উৎপত্তি,	উতপত্তি,	
taronee,	তরণী,	তরণী,	
fuzz,	ফাজ,	ফাজ,	
phareqsa,	ফরেক্স,	ফরেক্স,	
pravritike,	প্রভূতিতিকে,	প্রভৃতিকে,	
bonyopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
plain,	প্লেন,	প্লেন,	
kamti,	কমতি,	কমতি,	
songbadmadhyomer,	সংবাদ্ধমোধের,	সংবাদমাধ্যমের,	
gemser,	জেমসের,	জেমসের,	
udvabani,	উদ্ভাবনী,	উদ্ভাবনী,	
qulim,	কুলিম,	কুলিং,	
durgo,	দুর্গ,	দুর্গ,	
pillai,	পিল্লেই,	পিল্লাই,	
chhotto,	ছোট্টো,	ছোট্ট,	
byakhyatita,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
oholya,	অহল্য,	অহল্যা,	
beshirbhaageyi,	বেশিরভাগেই,	বেশিরভাগেই,	
armeenian,	আর্মেনিয়ান,	আর্মেনিয়ান,	
muktoome,	মুকতুম,	মাকতুম,	
chhaai,	ছাই,	ছাই,	
bheenasa,	ভেনাস,	ভেনাস,	
pragresha,	প্রগ্রেস,	প্রগ্রেস,	
akik,	আকিক,	আকিক,	
pactar,	প্যাকটার,	পাঁচটার,	
chhatogalper,	ছোটোগলপপের,	ছোটগল্পের,	
ballabh,	বল্লভ,	বল্লভ,	
allah,	আল্লাহ,	আল্লাহ্,	
pravur,	প্রভূর,	প্রভুর,	
arashie,	আরাসি,	আরসিএ,	
jatotaa,	যততা,	যতোটা,	
shoreefpur,	শরীফপুর,	শরিফপুর,	
vromonkaley,	ভ্রমণাকলে,	ভ্রমণকালে,	
alimpiqa,	আলিম্পিক,	অলিম্পিক,	
aqabar,	একাবার,	আকাবার,	
america,	আ্যামেরিকা,	আমেরিকা,	
sibraj,	শিবরাজ,	শিবরাজ,	
zack,	যাক,	জ্যাক,	
deezni,	ডিজনি,	ডিজনী,	
templete,	টেম্প্লেট,	টেম্পলেট,	
sqolastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
totokson,	ততকক্ষণ,	ততক্ষন,	
fimel,	ফিমেল,	ফিমেল,	
letter,	লেটার,	লেটার,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
poricchonnota,	পরিচ্ছাননাতা,	পরিচ্ছন্নতা,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
rachonakal,	রচনাকাল,	রচনাকাল,	
ojowno,	অজনও,	অযৌন,	
sofi,	সফি,	সোফি,	
ameriqa,	আমেরিকা,	আমেরিকা,	
narsari,	নার্সারী,	নার্সারি,	
oholyar,	অহল্যার,	অহল্যার,	
choudhureeo,	চৌধুরিই,	চৌধুরীও,	
salmaner,	সালমানের,	সালমানের,	
chotto,	চত্ব,	ছোট্ট,	
jahra,	জাহরা,	যাহরা,	
nomo,	নম,	নমো,	
hirani,	হিরানি,	হিরানি,	
shikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
carpet,	কার্পেট,	কার্পেট,	
jwarer,	যারের,	জ্বরের,	
ghoorsen,	ঘুরেনন,	ঘুরেছেন,	
armenian,	আর্মেনিয়ান,	আর্মেনিয়ান,	
kokein,	কোকেন,	কোকেইন,	
hafez,	হাফেজ,	হাফেয,	
jesh,	জেস,	জেস,	
dreestiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
shrichaitanyadeb,	শ্রীচৈতনাযাদেব,	শ্রীচৈতন্যদেব,	
rapto,	রাপ্ত,	রপ্ত,	
sayaneda,	সায়েনেড,	সায়ানাইড,	
judhahato,	যুদ্ধহত,	যুদ্ধাহত,	
prosadhaner,	প্রসাধানের,	প্রসাধনের,	
gaaddafee,	গাদ্দাফি,	গাদ্দাফী,	
venush,	বিনাউস,	ভেনাস,	
lompot,	ল্যাম্পো,	লম্পট,	
thakte,	থাকতে,	থাকতে,	
hugeke,	হুগেকে,	হিউজকে,	
kobootorer,	কবুতরের,	কবুতরের,	
bhange,	ভঙ্গে,	ভাঙ্গে,	
uul,	উল,	উল,	
panjikar,	পাঞ্জিকার,	পঞ্জিকার,	
koyartara,	কোয়ার্টার,	কোয়ার্টার,	
shansthati,	সংস্থাটি,	সংস্থাটি,	
gazipur,	গাজীপুর,	গাজীপুর,	
orthoneeti,	অর্থনীতি,	অর্থনীতির,	
rajtontro,	রাজতন্ত্র,	রাজতন্ত্র,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
bishshaash,	বিশ্বাস,	বিশ্বাস,	
corporation,	কর্পোরেশন,	করপোরেশন,	
shommoteete,	সম্মতিতে,	সম্মতিতে,	
porbotmala,	পর্বতমালা,	পর্বতমালা,	
haphsa,	হাফস,	হাফসা,	
pujita,	পুজিত,	পূজিতা,	
prachurjer,	প্রচচ্রের,	প্রাচুর্যের,	
bayii,	বাই,	বাঈ,	
jothon,	যথন,	যথন,	
rahi,	রাহি,	রাহী,	
sikhechi,	শিখেছি,	শিখেছি,	
khagen,	খাগেন,	খগেন,	
mandanda,	মানদন্দ,	মানদণ্ড,	
jesthaa,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
taunship,	তাউংশিপ,	টাউনশিপ,	
lombate,	লম্বতে,	লম্বাটে,	
addhatikotar,	আদ্যতিকতার,	আধ্যাত্মিকতার,	
netsi,	নেতসি,	নাত্সি,	
marketin,	মার্কেটিন,	মার্কেটিং,	
nadnodir,	নাদ্নদীর,	নদনদীর,	
megher,	মেঘের,	মেঘের,	
aloteo,	আলতেও,	আলোতেও,	
prothakey,	প্রথাকে,	প্রথাকে,	
ooeepoka,	উইপোকা,	উইপোকা,	
iksaprishana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
sahajlabhbhatar,	সহজভ্লভাবার,	সহজলভ্যতার,	
spreeadsheet,	স্প্রেডশিট,	স্প্রেডশীট,	
torunderke,	তরুর্দেরকে,	তরুণদেরকে,	
diznee,	ডিজনি,	ডিজনী,	
chaalaabi,	চালাবি,	চালাবে,	
saahosikotar,	সাহসিকতার,	সাহসিকতার,	
shefa,	সেফ,	শেফ,	
mawdeel,	ম্যাডেল,	মডেল,	
kyantana,	ক্যান্টন,	ক্যান্টন,	
chhuteer,	ছুটির,	ছুটির,	
yaach,	যাচ,	ইয়াক,	
parksh,	পার্কস,	পার্কস,	
haitasha,	হাইটাস,	হাইটস,	
taler,	তালের,	তালের,	
anchaltikey,	আঞ্চলটিকে,	অঞ্চলটিকে,	
baikalya,	বৈকল্য,	বৈকল্য,	
shaapholler,	সাফলের,	সাফল্যের,	
peshto,	পেস্টো,	পেষ্ট,	
khanankaj,	খননকাজ,	খননকাজ,	
somabeshti,	সমবেষ্টি,	সমাবেশটি,	
edhdaning,	এধনিন,	ইদানিং,	
brindo,	বৃন্দ,	বৃন্দ,	
anchalke,	আঞ্চলকে,	অঞ্চলকে,	
pleeta,	প্লট,	প্লেট,	
dee,	দি,	ডে,	
nironjon,	নিরঞ্জন,	নিরঞ্জন,	
chhatroraai,	ছাত্ররাই,	ছাত্ররাই,	
quartar,	কোর্টার,	কোয়ার্টার,	
shahabah,	শাহববহ,	সাহাবাহ,	
aiieubi,	আইআইবি,	আইইউবি,	
muhommoder,	মুহম্মদের,	মুহম্মদের,	
swarther,	স্বার্থের,	স্বার্থের,	
mashtersh,	ম্যাস্টার্স,	মাস্টার্স,	
averej,	অ্যাভারেজ,	এভারেজ,	
pharn,	ফর্ন,	ফার্ন,	
cholochchitreer,	চলচচিত্রীর,	চলচ্চিত্রের,	
porishrom,	পরিশ্রম,	পরিশ্রম,	
licensing,	লিকেন্সিং,	লাইসেন্সিং,	
phastara,	ফোস্টার,	ফস্টার,	
gaddafii,	গদ্দফী,	গাদ্দাফী,	
plainti,	প্লাইনটি,	প্লেনটি,	
batsmanei,	বাসস্পানেই,	ব্যাটসম্যানই,	
woter,	ওতের,	ভোটার,	
adbhansed,	অ্যাডভানস,	অ্যাডভান্সড,	
parjataker,	পর্যাতকের,	পর্যটকের,	
zzonite,	যোনিতে,	যোনীতে,	
alaoler,	আলোলের,	আলাওলের,	
sifi,	সিফি,	সাইফাই,	
manober,	মানবের,	মানবের,	
saseja,	সাসেজা,	সসেজ,	
songhar,	সংঘর,	সংহার,	
gagee,	গেজে,	গেজ,	
morodeho,	মরোদেহ,	মরদেহ,	
hoole,	হুলে,	হোল,	
ateetkale,	আতীতকালে,	অতীতকালে,	
nilkuthir,	নীলকুঠির,	নীলকুঠির,	
grotha,	গ্রথ,	গ্রোথ,	
basate,	বাসাতে,	বাসাতে,	
karmajog,	কর্মযোগ,	কর্মযোগ,	
karima,	করিমা,	করিম,	
shikkhakder,	শিক্ষাদের,	শিক্ষকদের,	
moushumti,	মুসুম্তি,	মৌসুমটি,	
scare,	স্ক্যার,	স্কোর,	
baaiq,	বাইক,	বাইক,	
carlo,	কার্লো,	কার্লো,	
metere,	ম্যাটেরে,	মিটারে,	
laatimer,	লাতিমের,	লাটিমের,	
tiunar,	টাইনার,	টিউনার,	
labanaktotar,	লবনাক্ততার,	লবণাক্ততার,	
sanbadmadhyamgulote,	সংবাদসমগ্যুলোতে,	সংবাদমাধ্যমগুলোতে,	
vasturyi,	বস্তুরই,	বস্তুরই,	
kanasarabheeshana,	কনসারেশন,	কনসারভেশন,	
cheess,	চেজ,	চেস,	
oddure,	অদ্যুরে,	অদুরে,	
hook,	হুক,	হুক,	
tenisha,	টেনিশ,	টেনিস,	
chirantan,	চিরন্তন,	চিরন্তন,	
durgotsob,	দুর্গটস,	দুর্গোৎসব,	
parshwer,	পারস্বের,	পার্শ্বের,	
torun,	তরুণ,	তরুন,	
sarano,	সারানো,	সরানো,	
fishing,	ফিশিং,	ফিসিং,	
bondiira,	বন্দীরা,	বন্দীরা,	
ayantarqatiqa,	অ্যান্টর্টিক,	অ্যান্টার্কটিকা,	
hol,	হল,	হোল,	
chattke,	চাতকে,	ছাতকে,	
gez,	জেজ,	গেজ,	
obhishangson,	অভিষাসন,	অভিশংসন,	
vaabnake,	ভাবনাকে,	ভাবনাকে,	
emarjensi,	এমার্জেন্সি,	এমার্জেন্সি,	
baarbaadoj,	বারবাদাজ,	বার্বাডোজ,	
reejur,	রিজুর,	রিজুর,	
inshtant,	ইন্সট্যান্ট,	ইনস্ট্যান্ট,	
pooroheetra,	পুরোহিত্রা,	পুরোহিতরা,	
prokolpou,	প্রকলপপ,	প্রকল্পও,	
