choudhureeo,	চৌধুরিও,	চৌধুরীও,	
amanisa,	অমানিসা,	অমানিশা,	
shithilotar,	সীথিলতার,	শিথিলতার,	
cn,	এনএনন,	সিএন,	
daaktikit,	ডাক্তিকি,	ডাকটিকিট,	
shalook,	সালুক,	শালুক,	
hotelti,	হটটলটি,	হোটেলটি,	
netarao,	নেতারুও,	নেতারাও,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
dara,	দারা,	দারা,	
bahati,	বাহাটি,	বাহাতি,	
chalaabi,	চালাবি,	চালাবে,	
jerusalem,	জেরুসললল,	জেরুসালেম,	
madhukooree,	মাুুুরি,	মাধুকরী,	
ovishongshon,	অভিশংসন,	অভিশংসন,	
sqolastic,	স্কলল্স্সিক,	স্কলাস্টিক,	
kalam,	কলল,	কালাম,	
harta,	হাতত,	হার্ট,	
noditike,	নদীতীকে,	নদীটিকে,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
fanskari,	ফান্কারি,	ফাঁসকারী,	
cho,	চো,	ছোঁ,	
ameerika,	অমেরিকা,	আমেরিকা,	
besharkarikarone,	বেসরকারিকরণে,	বেসরকারিকরণ,	
euro,	ইউরো,	ইউরো,	
karpeter,	কর্পটাররর,	কার্পেটের,	
keyuyi,	কেউই,	কেউই,	
proteesthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
dipgulo,	দিপগুলো,	দ্বীপগুলো,	
seebiai,	সেবিই,	সিবিআই,	
teenti,	তিনটি,	তিনটি,	
annimated,	আনিমেটেদে,	এনিমেটেড,	
natshi,	নাৎসি,	নাত্সি,	
abhidhanic,	অভিধানিক,	অভিধানিক,	
jonosomaj,	জনসমজজ,	জনসমাজ,	
shikkhagato,	শিক্ষাত,	শিক্ষাগত,	
bytes,	বিটেস,	বাইটস,	
antorvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
teman,	তামন,	তেমন,	
dovaar,	দাওার,	ডোভার,	
bolechiley,	বলেছিলে,	বলেছিলে,	
hotochokito,	হতচাচ্ত,	হতচকিত,	
ramdhanu,	রা্ধুনু,	রামধনু,	
notey,	নোটে,	নোটে,	
prostototo,	প্রস্ততত,	প্রস্ত্তত,	
shashoto,	শাসতো,	শাশ্বত,	
duple,	দপপল,	ডুপ্লে,	
economics,	ইকোনমিক্স,	ইকোনমিকস,	
second,	সেকন্্ড,	সেকেণ্ড,	
ovarviu,	অভার্ভিউ,	ওভারভিউ,	
abheedhaaneek,	অভিধানিক,	অভিধানিক,	
gabeshakgon,	গবেষকগগণ,	গবেষকগণ,	
crecenter,	ক্রিনেস্টের,	ক্রিসেন্টের,	
upostheetir,	উপস্থিতির,	উপস্থিতির,	
jony,	জোনি,	জনি,	
jillool,	জিল্ল,	জিল্লুল,	
ajuhat,	আজুহৎত,	অজুহাত,	
vogiroth,	ভগীরথ,	ভগীরথ,	
seet,	সীট,	সিট,	
mozdur,	মজদুর,	মজদুর,	
arakdal,	আরকদলল,	আরেকদল,	
coolin,	কোলিন,	কুলিং,	
daakticketer,	ডা্তিকটটের,	ডাকটিকিটের,	
akritakarjo,	আকৃতিরককর্,	অকৃতকার্য,	
raya,	রায়া,	রায়,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
heepatitis,	হেপোইটিস,	হেপাটাইটিস,	
siddhantey,	সিদ্ধান্তে,	সিদ্ধান্তে,	
pactar,	প্যচটাা,	পাঁচটার,	
nikat,	নিকট,	নিকট,	
jathartho,	যথারথ,	যথার্থ,	
dharabahikvabey,	ধারাভাহিভাবে,	ধারাবাহিকটি,	
maroofer,	মারুফের,	মারুফের,	
erina,	এররি,	এরিনা,	
byanger,	ব্যেঙেের,	ব্যাঙের,	
alaoul,	আলাউ,	আলাওল,	
itastato,	ইতস্ততত,	ইতস্তত,	
doonut,	দুনুত,	ডোনাট,	
shreeshree,	শ্রীশ্র,	শ্রীশ্রী,	
onupater,	অনুপতের,	অনুপাতের,	
leetteer,	লেটার,	লেটার,	
dolguloo,	দলগুলো,	দলগুলোও,	
abasaney,	আবাসনে,	অবসানে,	
nirapattamulak,	নিরাপততামমূলক,	নিরাপত্তামূলক,	
nirbaho,	নির্বা,	নির্বাহ,	
chalochchitrake,	চলচিত্রকেে,	চলচ্চিত্রকে,	
tookroti,	তুকরোতি,	টুকরোটি,	
bizito,	বিজিত,	বিজিত,	
prothati,	প্রথাটি,	প্রথাটি,	
teknokrat,	টেকনোক্রা,	টেকনোক্র্যাট,	
arekdal,	আরেকদল,	আরেকদল,	
monjhoshtho,	মন্যস্থ,	মঞ্চস্থ,	
parjataker,	পররযাতকের,	পর্যটকের,	
norfolk,	নরওক,	নরফোক,	
mawdel,	মুউদ,	মডেল,	
toki,	টককি,	তকি,	
toufiq,	তৌফিক,	তৌফিক,	
koreempur,	করিমপুর,	করিমপুর,	
udbhaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
vastubad,	বাস্তুবাদ,	বস্তুবাদ,	
bajhyo,	ব্যায্য,	বাহ্য,	
avisongson,	অভিসংসন,	অভিশংসন,	
simaa,	সিমা,	সীমা,	
oswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
bosano,	বসানো,	বসানো,	
resort,	রেসর্টট,	রিসোর্ট,	
laishensha,	লেইেেস,	লাইসেন্স,	
mandondo,	মানদনন্ড,	মানদণ্ড,	
oshamanno,	অসমমান্য,	অসামান্য,	
shrabastee,	শ্রবস্সি,	শ্রাবস্তী,	
answereer,	আনসারির,	আনসারীর,	
udvabon,	উদ্ভববন,	উদ্ভাবন,	
rajtantrakey,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
nodnadeer,	নদন্দের,	নদনদীর,	
chabir,	ছবির,	চাবির,	
masjidsaha,	মাসদিদাহ,	মসজিদসহ,	
muhit,	মুহিত,	মুহিত,	
karmazog,	কর্মযোগ,	কর্মযোগ,	
aastikotaa,	আস্তিকতা,	আস্তিকতা,	
janosonjog,	জনসমযোগ,	জনসংযোগ,	
beildaar,	বিলদার,	বিল্ডার,	
cutie,	কুউটি,	কিউটি,	
abahan,	আবহনন,	আবাহন,	
chintaikaree,	চিনতাইকারী,	ছিনতাইকারী,	
uthey,	উঠে,	উঠে,	
auncholo,	অঞ্চল,	অঞ্চলও,	
naniir,	নানির,	নানীর,	
doojoo,	দুজু,	ডোজো,	
ojuhat,	অজুহাত,	অজুহাত,	
dibug,	দিবুগ,	ডিবাগ,	
crete,	ক্রেযে,	ক্রীট,	
shiqara,	সিকারার,	শিকার,	
dwip,	দ্বীপ,	দীপ,	
abhidhaneek,	অভিধানিক,	অভিধানিক,	
canton,	ক্যান্টন,	ক্যান্টন,	
bonnopraan,	বন্নপ্রাণ,	বন্যপ্রাণ,	
iuro,	ইইরো,	ইউরো,	
obharabhiu,	অভারভূলি,	ওভারভিউ,	
sanaktokaran,	সনাক্তরণ,	সনাক্তকরণ,	
baibosthaar,	ব্যবস্থার,	ব্যবস্থার,	
nabhela,	নাভেল,	নভেল,	
madaul,	মদদউ,	মাদল,	
engineerin,	ইঞ্জানিনী,	ইঞ্জিনিয়ারিং,	
onekeri,	অনেকারি,	অনেকেরই,	
rubio,	রুবিও,	রুবিও,	
gabeshonar,	গবেষণার,	গবেষনার,	
ghumato,	ঘুমতো,	ঘুমাতো,	
batsmanyi,	বাসটমনই,	ব্যাটসম্যানই,	
manohar,	মানহর,	মনোহর,	
chakti,	চক্তি,	চাকতি,	
shasankarta,	শাসনকর্ত,	শাসনকর্তা,	
baaik,	বৈইক,	বাইক,	
shtone,	স্তনে,	স্টোন,	
jolook,	জললক,	জ্বলুক,	
boshoborti,	বসবর্তী,	বশবর্তী,	
pituni,	পিতুনী,	পিটুনি,	
roobi,	রবি,	রুবি,	
kormoi,	করমমই,	কর্মই,	
prabhur,	প্রভূর,	প্রভুর,	
swastir,	স্বস্তির,	স্বস্তির,	
seniar,	সেনিয়া,	সিনিয়র,	
hoola,	হোল,	হোল,	
abosore,	অবসরে,	অবসরে,	
prakalpoti,	প্রকল্পটি,	প্রকল্পটি,	
shodhon,	সোধন,	শোধন,	
amar,	আমার,	আমর,	
romancha,	রোমাঞ্চ,	রোমাঞ্চ,	
shikha,	শিখা,	শিখ,	
nogonno,	নগন্ন,	নগণ্য,	
shita,	সীত,	সিট,	
nyaper,	ন্যাপের,	ন্যাপের,	
harir,	হরির,	হরির,	
kaferder,	কাফরদদের,	কাফেরদের,	
prachando,	প্রাণ্্ড,	প্রচণ্ড,	
umedpoor,	উমেদপুর,	উমেদপুর,	
daankaan,	ডানকান,	ডানকান,	
bhabaponno,	ভববাপন্ন,	ভাবাপন্ন,	
postay,	পোস্টে,	পোস্টে,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
lakkhero,	লক্ষেরও,	লক্ষেরও,	
obhigomon,	অভিগমন,	অভিগমন,	
grameroi,	গ্রেমেরোই,	গ্রামেরই,	
sotorko,	সতরক্ক,	সতর্ক,	
byaboharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
bayshorkarikarone,	বেসরকারিকরণে,	বেসরকারিকরণ,	
nilav,	নীলা,	নীলাভ,	
parsher,	পারসের,	পার্শ্বের,	
karmoke,	করমকে,	কর্মকে,	
gaddafee,	গদদদাফীী,	গাদ্দাফী,	
site,	সিটে,	সিটে,	
maudelti,	মডেলটি,	মডেলটি,	
bhashik,	ভাষিক,	ভাষিক,	
krom,	ক্রোম,	ক্রম,	
sohojlovyotar,	সহজ্লভ্যাার,	সহজলভ্যতার,	
ankita,	অংকিত,	অঙ্কিতা,	
thaakeni,	ঠাকানি,	থাকেনি,	
nishchitrupe,	নিশ্িি্রুমেপে,	নিশ্চিতরূপে,	
kormosongsthaner,	কর্মসংস্থননের,	কর্মসংস্থানের,	
korkat,	করকাত,	কর্কট,	
hooldim,	হুলদিম,	হোল্ডিং,	
hatodoridra,	হতদরীদ্র,	হতদরিদ্র,	
oiteejyo,	ঐতিজ্য,	ঐতিহ্য,	
gaddaphii,	গদদদাীী,	গাদ্দাফী,	
oholyar,	অহ্লার,	অহল্যার,	
spreadsheet,	স্প্রেডশিট,	স্প্রেডশীট,	
modelti,	মডেলটি,	মডেলটি,	
mitra,	মিট্র,	মিত্র,	
soinyosaho,	সৈন্যসা,	সৈন্যসহ,	
mathieu,	মেথিও,	ম্যাথিউ,	
hotochokeeto,	হতচোচ্তি,	হতচকিত,	
shikara,	শিকার,	শিকার,	
shkolashtic,	স্কোল্স্টিক,	স্কলাস্টিক,	
aazeez,	আজিজ,	আজিজ,	
associatis,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
zillul,	জিল্ল,	জিল্লুল,	
janatey,	জানাতে,	জানাতে,	
kinsha,	কিংসা,	কিংস,	
jerushalem,	জেরুসলেম,	জেরুসালেম,	
shilvar,	সিলভার,	সিলভার,	
makong,	মকক,	মেকং,	
samoshtike,	সমস্তিকে,	সমষ্টিকে,	
sthapanagulor,	স্থাননানুুলোর,	স্থাপনাগুলোর,	
protijogitamulok,	প্রতিযোগিতামূলো,	প্রতিযোগীতামূলক,	
michilti,	মিচিলটি,	মিছিলটি,	
durotomm,	দুরোতম,	দূরতম,	
sarboshaktimaan,	সর্বস্কামিন,	সর্বশক্তিমান,	
ancholsomuho,	অঞ্চলসমমূ,	অঞ্চলসমূহ,	
shainyara,	সৈনেয়া,	সৈন্যরা,	
saaeda,	সাইড,	সাইদা,	
naazii,	নাজি,	নাত্সি,	
manushgulor,	মানুসগগলোর,	মানুষগুলোর,	
mojlis,	মজলিস,	মজলিশ,	
eenameel,	ইননমীল,	এনামেল,	
day,	দে,	ডে,	
oncoltike,	অনকলিিক,	অঞ্চলটিকে,	
uponisod,	উপনিশদ,	উপনিষদ,	
themeke,	থেমমকে,	থিমকে,	
shakkhatkarer,	সাক্ষাতকারের,	সাক্ষাৎকারের,	
chalche,	চলছে,	চলছে,	
vishad,	বিষা,	বিষদ,	
gaandaas,	গান্ডা,	জ্ঞানদাস,	
aaireshe,	আইরিশে,	আইরেসে,	
park,	পার্ক,	পার্ক,	
zins,	জিনসস,	জিন্স,	
barbaadoj,	বারবাদজ,	বার্বাডোজ,	
tookrote,	তুকরোতে,	টুকরোতে,	
bisheshyer,	বিশেষেরের,	বিশেষ্যের,	
bujhechhilo,	বুঝেছিলো,	বুঝেছিল,	
hiragana,	হিরোগনন,	হিরাগানা,	
hattey,	হাতেে,	হাঁটতে,	
ixprission,	এক্সপ্রেশন,	এক্সপ্রেশন,	
harja,	হাজ্জ,	হার্জ,	
bhezano,	ভেজানো,	ভেজানো,	
kram,	ক্রমম,	ক্রম,	
lambate,	লম্বেে,	লম্বাটে,	
mukherjee,	মুখার্জি,	মুখার্জী,	
pachbar,	পাঁচাা,	পাঁচবার,	
sikkhao,	শিক্ষাও,	শিক্ষাও,	
governerer,	গভর্নেরে,	গভর্ণরের,	
durgotsabe,	দুর্গটভাবে,	দুর্গোৎসবে,	
emergency,	এমার্েন্সি,	এমার্জেন্সি,	
twoei,	ত্বই,	ত্বকেই,	
vedke,	বেদক,	বেদকে,	
hunine,	হুনিনে,	হুনাইন,	
holdim,	হোলদি,	হোল্ডিং,	
udvabani,	উদ্ভানী,	উদ্ভাবনী,	
bondhutto,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
doltagi,	দলতাজি,	দলত্যাগী,	
conservetion,	কনসারভেশন,	কনসারভেশন,	
makhmaley,	মাখমালে,	মখমলে,	
masazida,	মাাজিদা,	মসজিদ,	
oboshore,	অবশরবর,	অবসরে,	
raktaksharaner,	রক্তক্ষণণর,	রক্তক্ষরণের,	
ishton,	ইস্টে,	স্টোন,	
daebug,	দেবুগু,	ডিবাগ,	
laaishensh,	লাইেনস,	লাইসেন্স,	
brekethru,	বৃকেক্র,	ব্রেকথ্রু,	
hertz,	হের্ট,	হার্জ,	
sangosthagulo,	সংস্থাগুুো,	সংস্থাগুলো,	
phising,	ফিসিং,	ফিসিং,	
chhooti,	ছুটি,	ছুটি,	
mohammad,	মোহাম্মদ,	মুহাম্মদ,	
chalai,	চালাই,	চালাবে,	
aaminar,	আমিনার,	আমিনার,	
carpete,	কররপপটে,	কার্পেটে,	
rakkhanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
pitthey,	পিঠে,	পীঠে,	
naubotom,	নববূ,	নবতম,	
okritakarja,	অক্তিরাককক,	অকৃতকার্য,	
bahjya,	বাহ্য,	বাহ্য,	
swostir,	স্বস্তির,	স্বস্তির,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
madeelim,	মেডালীং,	মডেলিং,	
mitrata,	মিত্রতা,	মিত্রতা,	
muhurtati,	মুহূর্তি,	মুহুর্তটি,	
michhilti,	মিচ্ছটি,	মিছিলটি,	
superheroo,	সুপেরুরু,	সুপারহিরো,	
panjikar,	পাজজিকার,	পঞ্জিকার,	
patigonit,	পািিগণিত,	পাটিগণিত,	
kiutie,	কিউটি,	কিউটি,	
jacqson,	জ্কশন,	জ্যাকসন,	
keuyi,	কেউইই,	কেউই,	
bachhayi,	বাঁ্চইই,	বাছাই,	
basalt,	বসলল,	ব্যাসল্ট,	
ogobhir,	অগভীর,	অগভীর,	
heze,	হেজে,	হেজ,	
deeputi,	দিপুতি,	ডেপুটি,	
songrahok,	সংগাহক,	সংগ্রাহক,	
prakalpogulor,	প্রকললপুলোর,	প্রকল্পগুলোর,	
dhanche,	ধাঁচ,	ধাঁচে,	
pradeep,	প্রাদীপ,	প্রদীপ,	
nirantar,	নিরনন্তর,	নিরন্তর,	
bibechya,	বিবেছ্য,	বিবেচ্য,	
grambaasheeo,	গ্রামবাসীও,	গ্রামবাসীও,	
abheedhaneec,	অভিধানিক,	অভিধানিক,	
keui,	কেউই,	কেউই,	
somaazeri,	সমাজারী,	সমাজেরই,	
kuhelika,	কুহেলিকা,	কুহেলিকা,	
ancholtite,	অঞযচঞ্টিত,	অঞ্চলটিতে,	
pujito,	পূজিত,	পুজিত,	
thechar,	ঠেচার,	থ্যাচার,	
besirbhagei,	বেশীরভাগেই,	বেশিরভাগেই,	
jaatti,	জাতট,	জাতটি,	
sikkharthirao,	শিক্ষার্থীর,	শিক্ষার্থীরাও,	
enashiyenta,	এনসিটেন্ট,	এনসিয়েন্ট,	
pachak,	পাঁচক,	পাচক,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
samudratatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
poscate,	পশ্কাতে,	পশ্চাতে,	
avishangsan,	অভিশংসা,	অভিশংসন,	
manjurul,	মঞনজুরুল,	মনজুরুল,	
jesthotar,	জেষ্ঠ্যর,	জ্যেষ্ঠতার,	
ogrodoot,	অগ্রুূত,	অগ্রদূত,	
duuma,	ডুউম,	দুমা,	
kooyartara,	কোয়ার্টার,	কোয়ার্টার,	
suraaropito,	সুরাপিত,	সুরারোপিত,	
jetei,	যেতেই,	যেতেই,	
thor,	থর,	থর,	
uindo,	উইনডডো,	উইন্ডো,	
russad,	রুশাদ,	রুশদ,	
loukeekota,	লৌকিকতা,	লৌকিকতা,	
cholochchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
satjan,	সতজজন,	সাতজন,	
eporjonta,	এপর্যনন্ত,	এপর্যন্ত,	
tali,	তালি,	তালি,	
meetropolitan,	মিত্রপলিতান,	মেট্রোপলিটন,	
samanwitavabe,	সমাননীতভাবে,	সমন্বিতভাবে,	
nutunotto,	নুতুনত্ব,	নতুনত্ব,	
beca,	বেকা,	বেচা,	
daily,	ডেইলি,	ডেইলি,	
basturyi,	ব্যস্তুরি,	বস্তুরই,	
bhittiti,	ভিত্টিট,	ভিত্তিটি,	
rashider,	রাশিদের,	রশিদের,	
carloos,	কার্লস,	কার্লোস,	
sektara,	সেক্টরর,	সেক্টর,	
sachetanatamulok,	সাক্চানাতামূলক,	সচেতনতামূলক,	
franco,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
moshjidtike,	মস্জিতদিক,	মসজিদটিকে,	
information,	ইনফরমমেশন,	ইনফরমেশন,	
ghoor,	ঘুর,	ঘুর,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
promothesh,	প্রমথেশ,	প্রমথেশ,	
pletoo,	প্লেটু,	প্লেটো,	
brindaabane,	বৃন্দাাবে,	বৃন্দাবনে,	
phimel,	ফিমেল,	ফিমেল,	
volte,	ভলতে,	ভল্ট,	
pravur,	প্রভূর,	প্রভুর,	
mokhmoley,	মখমোলে,	মখমলে,	
natunatwa,	নতুনত্ব,	নতুনত্ব,	
senabahineekey,	সেনাবাহিনী,	সেনাবাহিনীকে,	
eder,	এডের,	এদের,	
nodigulir,	নদীগুলির,	নদীগুলির,	
saralya,	সরল্য,	সারল্য,	
ramzaner,	রমজানের,	রমযানের,	
suhasini,	সুহসসীনী,	সুহাসিনী,	
teter,	তেটের,	টেটের,	
dhrubaker,	ধূরবাকের,	ধ্রুবকের,	
marmaader,	মারমাের,	মারমাদের,	
noren,	নরেনন,	নরেন,	
bocchon,	বচচ্চন,	বচ্চন,	
postar,	পোস্টার,	পোস্টের,	
geza,	গেজা,	গেজ,	
taala,	তালা,	তালা,	
gajipur,	গাীপুর,	গাজিপুর,	
inamil,	ইনামীল,	এনামেল,	
dosa,	দোা,	দোসা,	
tenis,	টেনিস,	টেনিস,	
drishyogulotey,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
mumtaz,	মুতাাজ,	মুমতাজ,	
byatari,	ব্যাটারী,	ব্যাটারী,	
ahalya,	আহ্্ব,	অহল্যা,	
ronangone,	রনাঙ্গনে,	রণাঙ্গনে,	
horidbar,	হরিদার,	হরিদ্বার,	
iukyaliptasa,	ইউ্্যালিপটা,	ইউক্যালিপ্টাস,	
chikitsar,	চিকিৎসার,	চিকিত্সার,	
osamonjoshyopurno,	অসাযাস্য্প্র্ণ,	অসামঞ্জস্যপূর্ণ,	
zoojyota,	যুজ্যতা,	যোজ্যতা,	
debodebir,	দেবদদবীর,	দেবদেবীর,	
mesenjarer,	মেষেজারেরের,	মেসেঞ্জারের,	
shobnom,	শব্ন,	শবনম,	
cal,	চাল,	চাল,	
byaboharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
attobishwasi,	অত্তবিশ্বাসী,	আত্মবিশ্বাসী,	
ralf,	রাফ,	রালফ,	
ruby,	রুবি,	রুবি,	
monchostho,	মঞ্চযস্থ্,	মঞ্চস্থ,	
arkimidish,	আর্মিডিইস,	আর্কিমিডিস,	
murrayir,	মূরারির,	ম্যারির,	
sahabike,	সাাবিকে,	সাহাবীকে,	
nadigulo,	নাদগুলো,	নদীগুলো,	
bhaisaha,	ভাইসা,	ভাইসহ,	
sukhma,	সুখমা,	সুক্ষ্ম,	
sajanor,	সাজানোর,	সাজানোর,	
everage,	এভারেেজ,	এভারেজ,	
joubanboti,	যৌবনবতী,	যৌবনবতী,	
samudrotatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
dharmee,	ধর্মী,	ধর্মী,	
jacqsan,	জেকশন,	জ্যাকসন,	
jaqi,	জাকি,	জকি,	
matriroop,	মততরুপ,	মাতৃরূপ,	
soya,	সোয়া,	সোয়া,	
ansareer,	আনসারির,	আনসারীর,	
voter,	ভয়াটার,	ভোটার,	
sangosthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
odoore,	অদুরে,	অদুরে,	
saramiks,	সারামিক্স,	সিরামিকস,	
jatinke,	জাতিংকে,	যতীনকে,	
gabeshona,	গবেষণা,	গবেষনা,	
siddhanto,	সিদ্বান্ত,	সিদ্ধান্তও,	
bongshi,	বংশি,	বংশী,	
hepatitish,	হেপাাইইটিস,	হেপাটাইটিস,	
shansthatikey,	সংস্থাতিকে,	সংস্থাটিকে,	
gatibege,	গততিিিভে,	গতিবেগে,	
sahabikey,	সাহাবিকে,	সাহাবীকে,	
seekkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
dipke,	দীপকে,	দ্বীপকে,	
masterer,	মেস্টারের,	মাস্টারের,	
karmasampadon,	কর্মসাপদনপ,	কর্মসম্পাদন,	
shilpojaat,	শিল্পজাত,	শিল্পজাত,	
chhooteer,	ছুটির,	ছুটির,	
muktoome,	মুকততমে,	মাকতুম,	
pouchute,	পৌঁছুতে,	পৌঁছুতে,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
gate,	গে,	গ্যেটে,	
pratista,	প্রতিষ্ট,	প্রতিষ্টা,	
logicer,	লোগিকের,	লজিকের,	
heelser,	হিলসের,	হিলসের,	
prasadhani,	প্রসাধানী,	প্রসাধনী,	
santoshpur,	সননতস্্পুর,	সন্তোষপুর,	
durgandho,	দুর্গন্ধ,	দুর্গন্ধ,	
eemarjeensi,	এমার্জনি,	এমার্জেন্সি,	
pakistanira,	পাকিস্তানীরা,	পাকিস্তানীরা,	
ateetkale,	অতীতকালে,	অতীতকালে,	
toroonra,	ত্রুণারা,	তরুণরা,	
chherechhe,	ছেরেছে,	ছেড়েছে,	
baireo,	বেরেও,	বাইরেও,	
peshto,	পেষ্ট,	পেষ্ট,	
gaddaafee,	গাদ্াাী,	গাদ্দাফী,	
bisnuu,	বিষ্ণু,	বিষ্ণু,	
nagorikkey,	নাগরিকেে,	নাগরিককে,	
platoo,	প্লাটু,	প্লেটো,	
barbadoj,	বারবাদজ,	বার্বাডোজ,	
dap,	ডাপ,	ড্যাপ,	
shatjoner,	সাযজনের,	সাতজনের,	
boikollyo,	বৈকল্য,	বৈকল্য,	
stoonehenge,	স্টুনেেেেগে,	স্টোনহেঞ্জ,	
timoothi,	তিমুথি,	টিমোথি,	
manahputo,	মানাপপুত,	মনঃপুত,	
uparjon,	উপপর্জন,	উপার্জন,	
bamni,	বামনন,	বামনী,	
moshzid,	মসজজিদ,	মসজিদ,	
pratiyogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
bossonte,	বসসন্তে,	বসন্তে,	
bhange,	ভাঙেে,	ভাঙ্গে,	
bhenasha,	ভেনস,	ভেনাস,	
noiteekota,	নৈতিকতয,	নৈতিকতা,	
canflikt,	কংফ্লিক্ট,	কনফ্লিক্ট,	
ponjeekar,	পঞ্জিকার,	পঞ্জিকার,	
zoneser,	জননসের,	জোন্সের,	
atitkale,	অতীতকালে,	অতীতকালে,	
janapoth,	জনপথ,	জনপথ,	
aunty,	অ্যান্টি,	আন্টি,	
shansthatir,	সংস্থাটির,	সংস্থাটির,	
faridi,	ফরিদি,	ফরিদী,	
udbodhonee,	উদ্বোধনী,	উদ্বোধনী,	
zeland,	জেলাযান্ড,	জিল্যান্ড,	
abasane,	আবাসনে,	অবসানে,	
thakte,	থাকতে,	থাকতে,	
jokrit,	যকৃত,	যকৃৎ,	
vaisaha,	বৈসসহ,	ভাইসহ,	
ohong,	ওহং,	অহং,	
onkar,	অংকার,	ওঙ্কার,	
bhushi,	ভূষস,	ভুষি,	
yucalyptus,	ইউক্লালিপ্টাস,	ইউক্যালিপ্টাস,	
vugoley,	ভুগলে,	ভূগোলে,	
beshirbhageyi,	বেশিরভাগেই,	বেশিরভাগেই,	
leader,	লিডের,	লিডার,	
bhramankale,	ভ্রামণাকলে,	ভ্রমণকালে,	
kriita,	কৃত,	ক্রীট,	
phood,	ফুড,	ফুড,	
melborroner,	মেলবর্ণের,	মেলবোর্নের,	
sthaponakey,	স্থাপনাকে,	স্থাপনাকে,	
biswashi,	বিশ্বাসী,	বিশ্বাসী,	
naitikbhabey,	নৈতিকভাবে,	নৈতিকভাবে,	
neurolojy,	নিররোলজি,	নিউরোলজি,	
taioyana,	টাইয়ান,	তাইওয়ান,	
mesenzar,	মেসেজার,	মেসেঞ্জার,	
orgho,	অর্ঘ,	অর্ঘ্য,	
somaptir,	সমাপ্তির,	সমাপ্তির,	
nagarik,	নাগরিক,	নাগরিক,	
hepatitis,	হেপাটইটিস,	হেপাটাইটিস,	
mahakabi,	মহাকাবি,	মহাকবি,	
jarul,	জরুল,	জারুল,	
hossne,	হসসেে,	হোসনে,	
jockei,	যকেইই,	জকি,	
aholar,	আহলার,	অহল্যার,	
seqtara,	সেক্টর,	সেক্টর,	
eshkol,	এসকলল,	এসকল,	
harriser,	হারিসের,	হ্যারিসের,	
shektor,	সেক্টর,	সেক্টর,	
otyacharita,	অত্যাচিরিত,	অত্যাচারিত,	
koilas,	কইলাস,	কৈলাস,	
kk,	কক,	কেকে,	
rifleksa,	রিলল্ল্স,	রিফ্লেক্স,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
cholocchitro,	চলচচি্র্,	চলচ্চিত্র,	
chargar,	চারগগার,	চার্জার,	
sadena,	স্দেনা,	সাডেন,	
heights,	হেইটস,	হাইটস,	
ajeemke,	আজিমে,	আজিমকে,	
planey,	প্লেনে,	প্লেনে,	
pratishthanikbhabe,	প্রতিষ্ঠিনাকভাবে,	প্রাতিষ্ঠানিকভাবে,	
majhari,	মাহরি,	মাঝারী,	
residensa,	রেসিডেন্স,	রেসিডেন্স,	
amarendra,	অমরেন্দ্র,	অমরেন্দ্র,	
awatara,	অভতরর,	অবতার,	
nortokike,	নর্তকি,	নর্তকীকে,	
landey,	ল্ন্ডে,	ল্যান্ডে,	
bishaashke,	বিশাসককেে,	বিশ্বাসকে,	
sparsher,	স্পা্সের,	স্পর্শের,	
tottoraat,	তত্তরাট,	তওরাত,	
nirapattamulok,	নিরাপতত্মমূলক,	নিরাপত্তামূলক,	
veda,	ভেদা,	বেদ,	
letterey,	লেটারে,	লেটারে,	
udbhabon,	উদ্ভববন,	উদ্ভাবন,	
pratisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
taoonship,	তাউন্পপ,	টাউনশিপ,	
tochhnoch,	তচঁছোচ,	তছনছ,	
fareksa,	ফরেক্স,	ফরেক্স,	
jworer,	জ্বরের,	জ্বরের,	
