areek,	আরেক,	আরিক,	
rato,	রাতো,	রত,	
biprodas,	বিপ্রোাস,	বিপ্রদাস,	
qingdom,	কিংডম,	কিংডম,	
janasangjog,	জনসঙ্গা,	জনসংযোগ,	
horeedware,	হরিদদ্ররে,	হরিদ্বারে,	
siite,	শীটে,	শীতে,	
oncoltike,	অঞ্চলটিকে,	অঞ্চলটিকে,	
manjurul,	মাঞ্জুরুল,	মনজুরুল,	
songosthati,	সংস্থাটি,	সংস্থাটি,	
lambate,	লম্বাতে,	লম্বাটে,	
aashirbaad,	আশীর্বাদ,	আশির্বাদ,	
chamoski,	চামস্কি,	চমস্কি,	
bhortuki,	ভর্তুকি,	ভর্তুকি,	
jeteo,	জেতেও,	যেতেও,	
harir,	হ্যারির,	হরির,	
shalsa,	সালসা,	সালসা,	
choudhooreeder,	চৌধুরীদের,	চৌধুরীদের,	
byabostho,	ব্যবস্থা,	ব্যাবস্থা,	
reshidensha,	রেসিডেন্স,	রেসিডেন্স,	
qanaphliqta,	কনফল্কিট,	কনফ্লিক্ট,	
enginearing,	ইঞ্জিনিরিং,	ইঞ্জিনিয়ারিং,	
brookolin,	ব্রোকোলিন,	ব্রুকলিন,	
bhangchoor,	ভাঙচুর,	ভাংচুর,	
sainyader,	সৈন্যদের,	সৈন্যদের,	
poshchate,	পশ্চাতে,	পশ্চাতে,	
karaa,	কারা,	কারো,	
chaloke,	চালকে,	চালকে,	
daktikit,	ডাক্তিকিত,	ডাকটিকিট,	
taalgaachh,	তালগাঁচ,	তালগাছ,	
shikhbe,	শিখবে,	শিখবে,	
bordhitangsho,	বর্ধতাংশ,	বর্ধিতাংশ,	
taoonsheep,	টাউন্সিপ,	টাউনশিপ,	
ghatol,	ঘটতল,	ঘটল,	
natsi,	নাৎসি,	নাত্সি,	
romjaner,	রমজানের,	রমযানের,	
kormokarke,	কর্মকারকে,	কর্মকারকে,	
vishnu,	বিষ্ণু,	বিষ্ণু,	
amudey,	আমুদে,	আমুদে,	
kool,	কোল,	কুল,	
udbhaban,	উদ্ভাবন,	উদ্ভাবন,	
ronangane,	রণাঙ্গেন,	রণাঙ্গনে,	
bondikey,	বন্দিকে,	বন্দীকে,	
proshtutkarok,	প্রস্তুতকাক,	প্রস্তুতকারক,	
hatochokito,	হততচিত,	হতচকিত,	
choudhureeo,	চৌধুরেও,	চৌধুরীও,	
baharamporer,	বহহরমপুরের,	বহরমপুরের,	
direktareta,	ডিরেক্টরের,	ডিরেক্টরেট,	
hishaber,	হিসাবের,	হিসাবের,	
jacksonke,	যাকসনকে,	জ্যাকসনকে,	
salphat,	সালফাট,	সালফেট,	
codey,	কোডে,	কোডে,	
sangbadmadhyome,	সংবাদমাদ্যমে,	সংবাদমাধ্যমে,	
wagadada,	ভাগদা,	বাগদাদ,	
dooborira,	দুবরিরা,	ডুবুরিরা,	
taufik,	তৌফিক,	তৌফিক,	
muhammadi,	মুহাম্মাদী,	মুহাম্মদী,	
karam,	কারাম,	কেরাম,	
aarcie,	আর্সি,	আরসিএ,	
taresa,	তারেস,	টেরেসা,	
sniper,	স্নিপার,	স্নাইপার,	
phiqsim,	ফিক্সিং,	ফিক্সিং,	
harbar,	হার্বার,	হারবার,	
homske,	হমস্কে,	হোমসকে,	
abotar,	অবতার,	অবতার,	
sikkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
korlei,	করলেই,	করলেই,	
tomader,	তমাদের,	তোমাদের,	
phixing,	ফিক্সিং,	ফিক্সিং,	
itastata,	ইতস্তত,	ইতস্তত,	
abasan,	অবসন,	অবসান,	
dokaan,	ডোকান,	দোকান,	
durotomm,	দুরোটম,	দূরতম,	
parishrom,	পরিস্রোম,	পরিশ্রম,	
plate,	প্লেট,	প্লেটে,	
nathibhukta,	নথিভুক্ত,	নথিভুক্ত,	
tinti,	তিনটি,	তিনটি,	
tikka,	টীককা,	টিক্কা,	
adhyattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
dayitwa,	দৈত্য,	দায়িত্ব,	
stena,	স্টেন,	স্টেন,	
mmadhuri,	মধুরু,	মাধুরী,	
helloin,	হেলোইন,	হ্যালোইন,	
heebhi,	হেভি,	হেভি,	
dharmantar,	ধর্মান্তর,	ধর্মান্তর,	
bedanta,	বেদন্ত,	বেদান্ত,	
moshzidti,	মস্চিত্ি,	মসজিদটি,	
through,	ট্রাগ,	থ্রু,	
byakhyatito,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
gasthigulo,	গ্রস্থিগুলো,	গোষ্ঠীগুলো,	
muhammad,	মুহাম্মাদ,	মুহম্মদ,	
peri,	পেযারি,	পেরি,	
hachchilo,	হাচ্ছিল,	হচ্ছিলো,	
soorarop,	সুরারপ,	সুরারোপ,	
brittakarey,	বৃত্তককারে,	বৃত্তাকারে,	
franco,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
rah,	রহ,	রঃ,	
kottor,	কত্ত্বর,	কট্টর,	
futbolarder,	ফুটবলরদের,	ফুটবলারদের,	
siqar,	সিকীর,	শিকার,	
embi,	এমএিবি,	এমবি,	
vedke,	ভেদকে,	বেদকে,	
sektara,	সেক্টর,	সেক্টর,	
ekooghore,	একঘোরে,	একঘরে,	
gemi,	জেমি,	জেমি,	
foolkopi,	ফুলকপি,	ফুলকপি,	
manohputa,	মনোপপুত,	মনঃপুত,	
velcome,	ওেলকে,	ওয়েলকাম,	
samanwitavabe,	সমান্তভাবে,	সমন্বিতভাবে,	
graambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
moshleh,	মসলেহ,	মোসলেহ,	
jati,	জাতি,	যাতি,	
jackey,	যাকে,	জকি,	
definision,	ডেফিনিশন,	ডেফিনেশন,	
shringgo,	শ্রীঙ্গ,	শৃঙ্গ,	
blacq,	ব্লক,	ব্ল্যাক,	
nagaland,	নগলান্ড,	নাগাল্যান্ড,	
damone,	ডমনে,	দমনে,	
moldova,	মল্ডভো,	মলদোভা,	
inapharameeshana,	ইনফরেমশন,	ইনফরমেশন,	
konaan,	কোনন,	কোনান,	
karkatkranti,	কারকাতনার্তী,	কর্কটক্রান্তি,	
pakistanira,	পাকিস্তানিরা,	পাকিস্তানীরা,	
nowel,	নোভেল,	নভেল,	
saarbhaare,	সারভারে,	সার্ভারে,	
maila,	মেল,	মাইল,	
nathivookto,	নথিভুক্ত,	নথিভুক্ত,	
mookhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
yuroo,	ইউরু,	ইউরো,	
thaanobhi,	থানভী,	থানভী,	
chalachchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
par,	পার,	পাব,	
deebug,	দেবুগ,	ডিবাগ,	
suhasini,	সুহাসিনী,	সুহাসিনী,	
gandhiio,	গান্ধিও,	গান্ধীও,	
gabeshanagar,	গবেষণাগার,	গবেষনাগার,	
bishshasho,	বিশ্বাস,	বিশ্বাসও,	
notey,	নটে,	নোটে,	
thatchar,	ঠাচচার,	থ্যাচার,	
aborto,	আবর্ত,	আবর্ত,	
bhalobasake,	ভালবাসকে,	ভালোবাসাকে,	
trupa,	ট্রুপ,	ট্রুপ,	
telakoocha,	তেলাকুচা,	তেলাকুচা,	
keyu,	কিই,	কেউ,	
superhera,	সুপারেরা,	সুপারহিরো,	
ancholtee,	অঞ্চলটি,	অঞ্চলটি,	
keyboard,	কিবোর্ড,	কীবোর্ড,	
qings,	কিংস,	কিংস,	
mandondo,	মানদন্ড,	মানদণ্ড,	
meghnabodh,	মেঘ্নবুধ,	মেঘনাদবধ,	
informeson,	ইনফর্মেশন,	ইনফরমেশন,	
ponnee,	পন্যে,	পন্নী,	
choudhoorider,	চৌধুরীদের,	চৌধুরীদের,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
sohopathike,	সহপাঠীকে,	সহপাঠীকে,	
foridi,	ফরীদি,	ফরিদী,	
shotokey,	শতকে,	শতকে,	
pratul,	প্রোটুল,	প্রতুল,	
swalpa,	স্বল্প,	স্বল্প,	
choudhureeke,	চৌধুরিকে,	চৌধুরীকে,	
mosjidkey,	মস্জিদকে,	মসজিদকে,	
pyore,	প্যারে,	পিওর,	
haitasa,	হইটস,	হাইটস,	
brindo,	বৃর্দ্,	বৃন্দ,	
sadeena,	সদদিনা,	সাডেন,	
meghe,	মেঘে,	মেঘে,	
soomitrar,	সুমিত্রার,	সুমিত্রার,	
basate,	বসতে,	বাসাতে,	
asthishondhi,	অস্থিষণ্ধি,	অস্থিসন্ধি,	
loukikotaa,	লৌকিকতা,	লৌকিকতা,	
koyari,	কোয়ারি,	কোয়েরি,	
domonmulok,	দমনমূলক,	দমনমূলক,	
rushd,	রুশদ,	রুশদ,	
dubate,	দুবাতে,	ডুবাতে,	
srabosty,	শ্রবস্তি,	শ্রাবস্তী,	
tunaita,	টুনাইট,	টুনাইট,	
shaarther,	স্বার্থের,	স্বার্থের,	
darzi,	দর্জি,	দরজি,	
parsher,	পার্শের,	পার্শ্বের,	
monmoth,	মন্মথ,	মন্মথ,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
bachchan,	বাচ্ছন,	বচ্চন,	
manmath,	মানমাঠ,	মন্মথ,	
abhidhaaneec,	অভিধানিক,	অভিধানিক,	
kormokandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
shikar,	শিকীর,	শিকার,	
shudhui,	শুধুই,	শুধুই,	
shamooker,	শামুকুর,	শামুকের,	
pat,	পাত,	পেত,	
samley,	সামলে,	সামলে,	
shansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
mb,	এমএিবি,	এমবি,	
jubokey,	যুবকে,	যুবকে,	
totokshon,	ততক্ষণ,	ততক্ষন,	
superheroo,	সুপারেরও,	সুপারহিরো,	
eidin,	এদিন,	এইদিন,	
foloshruti,	ফলস্রুতি,	ফলশ্রুতি,	
himi,	হিমি,	হিমি,	
meshenjar,	মেশেঞ্জার,	মেসেঞ্জার,	
starker,	স্টার্কের,	স্টার্কের,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
chalochchitratike,	চলচ্চিত্রীকে,	চলচ্চিত্রটিকে,	
karmokerer,	কারমকেরের,	কর্মকারের,	
mehnotti,	মেহনটি,	মেহনতি,	
bijepi,	বিজেপি,	বিজেপি,	
phiksha,	ফিক্স,	ফিক্স,	
gronthoti,	গ্রন্থটি,	গ্রন্থটি,	
fase,	ফাঁসে,	ফাঁসে,	
gronthei,	গ্রন্থেই,	গ্রন্থেই,	
dhaanche,	ধাঁচে,	ধাঁচে,	
phern,	ফার্ন,	ফার্ন,	
puroheetke,	পুরহীতকে,	পুরোহিতকে,	
anisha,	অনিশা,	আনিস,	
inamil,	ইনামিল,	এনামেল,	
merjito,	মের্জিত,	মার্জিত,	
udvabone,	উদ্ভাবনে,	উদ্ভাবনে,	
roktokkoron,	রক্তকরণ,	রক্তক্ষরণের,	
janoganonar,	জনগণনার,	জনগণনার,	
uttar,	উত্তর,	উওর,	
dalee,	ডেলি,	ডালে,	
park,	পার্ক,	পার্ক,	
gonohottake,	গণহত্যকে,	গণহত্যাকে,	
samajeekotar,	সামাজিকতার,	সামাজিকতার,	
latimer,	লেটিমের,	লাটিমের,	
shpreadshheet,	স্প্রেশেস্টি,	স্প্রেডশীট,	
jeerusaleem,	জিরোসালিম,	জেরুসালেম,	
sanaktakaroner,	সনাক্তকণের,	সনাক্তকরণের,	
naren,	নারেন,	নরেন,	
ponera,	পনেরা,	পনের,	
madhoori,	মধুরু,	মাধুরী,	
fokskon,	ফক্ষণ,	ফক্সকন,	
antarvuktimulak,	অন্তর্ভূতিমূলক,	অন্তর্ভুক্তিমূলক,	
durgatsober,	দুর্ঘততেবের,	দুর্গোৎসবে,	
hundai,	হান্ডাই,	হুন্দাই,	
oshamanno,	অসমান্ন,	অসামান্য,	
chhooteete,	ছুটিতে,	ছুটিতে,	
blaker,	ব্লকের,	ব্ল্যাকের,	
unhu,	উন্ভু,	উঁহু,	
euqalyptus,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
krus,	ক্রাশ,	ক্রুশ,	
bollov,	বলল,	বল্লভ,	
poper,	পপার,	পোপের,	
jerujalemer,	জেরুজালেমের,	জেরুজালেমের,	
choity,	চৈতি,	চৈতি,	
shalook,	শালুক,	শালুক,	
jwor,	জোর,	জ্বর,	
uporitol,	উপরিতল,	উপরিতল,	
satarkobhabe,	সত্রকভাবে,	সতর্কভাবে,	
seater,	সেটের,	সিটের,	
mautke,	মাউকে,	মতকে,	
moshzidshoho,	মস্বিজ্বোহ,	মসজিদসহ,	
tukrote,	তুক্ররে,	টুকরোতে,	
salsa,	সালস,	সালসা,	
foks,	ফোক্স,	ফক্স,	
jibnagore,	জীবনাগরে,	জীবননগর,	
anchalgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
gejeted,	গেজেটে,	গেজেটেড,	
mukhobandho,	মুখবন্ধ,	মুখবন্ধ,	
aswastikar,	অস্বস্তিকার,	অস্বস্তিকর,	
mahasabha,	মহাসাভা,	মহাসভা,	
ohang,	ওহাং,	অহং,	
aholar,	আহলার,	অহল্যার,	
petrol,	পেত্রোল,	পেট্রোল,	
bunat,	বুনাট,	বুনট,	
alaa,	আলা,	আলা,	
chitronatyakar,	চিত্রনাটকযার,	চিত্রনাট্যকার,	
nischitarupey,	নিশ্চিতারূপে,	নিশ্চিতরূপে,	
uponishoder,	উপনিষদের,	উপনিষদের,	
taantira,	তান্টিরা,	তাঁতিরা,	
janasangyog,	জনসঙ্গঞ্গ,	জনসংযোগ,	
ghurte,	ঘুরতে,	ঘুরতে,	
charbon,	চার্বন,	চর্বন,	
streegon,	স্ত্রীগণ,	স্ত্রীগণ,	
konfleekt,	কনফেল্ট,	কনফ্লিক্ট,	
adbhanced,	অ্যাডভাঞ্চেড,	অ্যাডভান্সড,	
jyaqa,	জ্যাক,	জ্যাক,	
jatiinke,	জাতিনকে,	যতীনকে,	
soomee,	সুমি,	সুমি,	
roja,	রোজা,	রোযা,	
ghumachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
neshnos,	নেশননস,	নেশনস,	
akshoti,	একশতি,	একশোটি,	
banijyikvittey,	বাণিজ্যিক্তে,	বাণিজ্যিকভিত্তিতে,	
ovarview,	ওভারভিভ,	ওভারভিউ,	
military,	মিলিটারী,	মিলিটারি,	
macho,	মাচচ,	মাছও,	
dormitoree,	ডরমেটরি,	ডরমিটরি,	
serveray,	সার্ভেরে,	সার্ভারে,	
noitikbhabe,	নৈতিকভাবে,	নৈতিকভাবে,	
proshikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
masharraf,	মাশাররফ,	মশাররফ,	
tauki,	তৌকী,	তকি,	
grontho,	গ্রন্থ,	গ্রন্থ,	
second,	সেকন্ড,	সেকেণ্ড,	
zones,	জনস,	জোন্স,	
ashocheton,	অসচেচন,	অসচেতন,	
priimoo,	প্রিমো,	প্রিমো,	
associetes,	অ্যাসোসিসেটস,	এসোসিয়েটস,	
sothik,	সাথিক,	সঠিক,	
shkirt,	স্কার্ট,	স্কার্ট,	
chire,	চিরে,	চিরে,	
byan,	ব্যান,	ব্যাং,	
upobasi,	উপবাসী,	উপবাসী,	
claus,	ক্লাওস,	ক্লজ,	
eshiyatika,	এসিয়াটিক,	এশিয়াটিক,	
baarder,	বার্ডার,	বার্ডের,	
satarkokari,	সত্রককারী,	সতর্ককারী,	
uchchotara,	উচ্চতার,	উচ্চতর,	
mishal,	মিশাল,	মিশাল,	
biplabeer,	বিপ্লবির,	বিপ্লবীর,	
alaoul,	আলাউল,	আলাওল,	
elakaatir,	এলাকাটির,	এলাকাটির,	
ezenda,	এজেন্ডা,	এজেন্ডা,	
gazeetteed,	গেজেটে,	গেজেটেড,	
baikalyo,	বৈকলা,	বৈকল্য,	
soolke,	শুলকে,	শুল্কে,	
dighal,	দিবহল,	দীঘল,	
bossoben,	বসবেন,	বসবেন,	
lyaata,	ল্যাট,	ল্যাটা,	
nuhash,	নুঃস,	নুহাশ,	
karadondo,	কারাদন্ড,	কারাদণ্ড,	
bisnukey,	বিষ্ণুকে,	বিষ্ণুকে,	
madhumati,	মধুমতি,	মধুমতী,	
shikarer,	শিকরের,	শিকারের,	
neerbahi,	নির্বাহী,	নির্বাহি,	
ancholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
ishpredshheet,	স্পের্েশেস্টি,	স্প্রেডশীট,	
teter,	তিতের,	টেটের,	
khuni,	খুনি,	খুনি,	
brander,	ব্র্যান্ডের,	ব্রান্ডের,	
sohojlovyotar,	সহজভ্যতার,	সহজলভ্যতার,	
kyathlik,	ক্যাথলিক,	ক্যাথলিক,	
masjidtir,	মস্চিত্ির,	মসজিদটির,	
milekhaanek,	মিলেখানকে,	মাইলখানেক,	
madrasar,	মাদরাসার,	মাদ্রাসার,	
modelke,	মোদেলকে,	মডেলকে,	
shilpojaat,	শিল্পজাত,	শিল্পজাত,	
agamaner,	আগামানের,	আগমনের,	
siter,	সীটের,	সিটের,	
eenameel,	ইনামেল,	এনামেল,	
dale,	ডেল,	ডালে,	
edii,	এডি,	আইডিই,	
asbab,	আসবাব,	আসবাব,	
punch,	পাঁচ,	পুঞ্চ,	
dokangoolote,	দোকাঙ্গুলোতে,	দোকানগুলোতে,	
bhushi,	ভুশি,	ভুষি,	
mayily,	মেইলি,	মাইলি,	
mukhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
jaksa,	যক্সা,	যক্ষ,	
filipiner,	ফিলিপিনের,	ফিলিপাইনের,	
ammor,	আ্যামোর,	আমর,	
milton,	মিল্টন,	মিলটন,	
utsaha,	উত্সাহ,	উৎসাহ,	
conseervation,	কন্সারিভেশন,	কনসারভেশন,	
futanta,	ফুটন্ট,	ফুটন্ত,	
metropoliton,	মেট্রোপিলেশন,	মেট্রোপলিটন,	
motamoto,	মোতামো,	মতামতও,	
baikalya,	বৈকলা,	বৈকল্য,	
abheedhaaneeck,	অভিধানিক,	অভিধানিক,	
bishwashi,	বিশ্বাসী,	বিশ্বাসী,	
dhabi,	ধাবি,	ঢাবি,	
dristihin,	দৃষ্টিহীন,	দৃষ্টিহীন,	
bissashe,	বিশ্বাসে,	বিশ্বাসে,	
ganoporibahaner,	গণপরিবহনের,	গণপরিবহনের,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
swarnali,	স্বার্নালী,	স্বর্ণালী,	
jworer,	জোরের,	জ্বরের,	
chirkoot,	চিরকুট,	চিরকুট,	
ghatla,	ঘটতলা,	ঘটল,	
eenjeel,	এঞ্জেল,	ইঞ্জিল,	
corporation,	কর্পোরেশন,	করপোরেশন,	
mandanda,	মানদন্ড,	মানদণ্ড,	
shukraanoo,	শুক্রাণু,	শুক্রানু,	
prostutkarok,	প্রস্তুতকাক,	প্রস্তুতকারক,	
nodigulir,	নদিগুলির,	নদীগুলির,	
nir,	নির,	নির,	
gagee,	গাগী,	গেজ,	
iling,	ইলিং,	ইলিং,	
dei,	দেই,	দিই,	
janosonjog,	জনসমযোগ,	জনসংযোগ,	
everestey,	ইভারেস্টে,	এভারেস্টে,	
manabmoner,	মানবমনের,	মানবমনের,	
kulo,	কুলও,	কুলো,	
xpresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
parinati,	পরিনাটি,	পরিণতি,	
timoothy,	টিমোথি,	টিমোথি,	
khalid,	খালিদ,	খালিদ,	
azibonoer,	অজিবনের,	আজীবনের,	
floodliter,	ফ্লাডলিটার,	ফ্লাডলাইটের,	
zuktorastroshoho,	যুক্তরাসরস্ধজ,	যুক্তরাষ্ট্রসহ,	
oitijjhe,	ঐতিজ্যে,	ঐতিহ্যে,	
nicqel,	নিক্লে,	নিকেল,	
venise,	ভেনিসে,	ভেনিসে,	
protimake,	প্রতিমাকে,	প্রতিমাকে,	
pramathesh,	প্রমাঠস,	প্রমথেশ,	
raitasa,	রেটস,	রাইটস,	
jaank,	জাঁক,	জাঁক,	
sharther,	শার্থের,	স্বার্থের,	
ghoomato,	ঘুমাতো,	ঘুমাতো,	
poshte,	পোষ্টে,	পোষ্টে,	
shapad,	শাপদ,	শ্বাপদ,	
jaanalo,	জানালো,	জানালো,	
ujobekeestan,	উজবেকিসতান,	উজবেকিস্তান,	
grameryi,	গ্রামেরি,	গ্রামেরই,	
moushumeo,	মৌসমেও,	মৌসুমেও,	
shasonkarta,	শাসনকর্তা,	শাসনকর্তা,	
agoora,	অগুরা,	আগোরা,	
sheat,	শেট,	সিট,	
utsahamulok,	উৎসাহমূলক,	উৎসাহমূলক,	
uindoo,	উইন্ডু,	উইন্ডো,	
falak,	ফলক,	ফলক,	
bolechi,	বলেছি,	বলেছি,	
pachak,	পাচক,	পাচক,	
kirk,	কীর্ক,	কার্ক,	
prokalpagulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
joqy,	জকি,	জকি,	
shastro,	শাস্ত্র,	শাস্ত্র,	
gardeen,	গার্ডিন,	গার্ডেন,	
naraphoqa,	নারফাকা,	নরফোক,	
itastatoh,	ইতস্তাত,	ইতস্ততঃ,	
atorkite,	অটর্কিতে,	অতর্কিতে,	
siramikasa,	সিরামিকাস,	সিরামিকস,	
deejijer,	ডিজিজের,	ডিজিজের,	
arasie,	আরশি,	আরসিএ,	
kasper,	কা্পের,	ক্যাসপার,	
chabir,	ছবির,	চাবির,	
anano,	অনন,	আনানো,	
spreadsheet,	স্প্রেশনস,	স্প্রেডশীট,	
flag,	ফ্ল্যাগ,	ফ্লাগ,	
opargota,	অপরগত,	অপারগতা,	
satan,	সতন,	শয়তান,	
omorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
avereste,	অভারেষ্টে,	এভারেস্টে,	
maahe,	মাহে,	মাহে,	
beeswas,	বিশ্বাস,	বিশ্বাস,	
institutione,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
perry,	পেযারি,	পেরি,	
patjato,	পাতজত,	পাটজাত,	
serverti,	সার্ভারটি,	সার্ভারটি,	
euro,	ইউরো,	ইউরো,	
krok,	ক্রক,	ক্রোক,	
chon,	চোন,	ছোঁ,	
laala,	লালা,	লালা,	
sane,	স্যান,	সনে,	
qyapasula,	ক্যাপসুল,	ক্যাপসুল,	
abhidhanic,	অভিধানিক,	অভিধানিক,	
aalaaoler,	আলাউলের,	আলাওলের,	
chedropathe,	ছেদ্রপথে,	ছিদ্রপথে,	
gaje,	গেজ,	গেজ,	
saahocorrze,	সহহকর্যে,	সাহচর্যে,	
noitikatabodh,	নৈতিকাবাদ,	নৈতিকতাবোধ,	
palbangsher,	পালবাংশের,	পালবংশের,	
rijur,	ঋিজুর,	রিজুর,	
dharabahik,	ধারাবাহিক,	ধারাবাহিক,	
tookror,	টুকরুর,	টুকরোর,	
jonosonjog,	জনসমযোগ,	জনসংযোগ,	
meshenger,	মেশেঞ্জার,	মেসেঞ্জার,	
siropadharii,	শিরপাধারী,	শিরোপাধারী,	
shkolashtik,	স্কললাস্তিক,	স্কলাস্টিক,	
shaamiijiir,	স্বামীজীর,	স্বামীজীর,	
hud,	হাদ,	হুড,	
sahajlabhbhatar,	সহজল্ভবার,	সহজলভ্যতার,	
gejetade,	গেজেটাদে,	গেজেটেড,	
azadir,	আযাদির,	আজাদীর,	
chhani,	ছানি,	ছানি,	
hili,	হিলি,	হিলি,	
khambaa,	খামবা,	খাম্বা,	
duckticket,	ডাক্িটেক,	ডাকটিকিট,	
venishh,	ভেনিস,	ভেনিস,	
elaakaate,	এলাকাতে,	এলাকাতে,	
vabuk,	ভাবুক,	ভাবুক,	
drishyoke,	দৃশ্যকে,	দৃশ্যকে,	
neshanasa,	নেশনস,	নেশনস,	
chaakti,	চাকটি,	চাকতি,	
toufiq,	টাউফিক,	তৌফিক,	
compact,	কম্পাক্ট,	কমপ্যাক্ট,	
sossar,	শস্যার,	সকার,	
qulim,	কুলিং,	কুলিং,	
sahosikotaar,	সহশিক্যতার,	সাহসিকতার,	
mukhbondho,	মুখবন্ধ,	মুখবন্ধ,	
aairis,	আইরিশ,	আইরিস,	
messenjer,	মেশেঞ্জের,	মেসেঞ্জার,	
manober,	মানবের,	মানবের,	
dolgulo,	দলগুলো,	দলগুলোও,	
ganonatto,	গণণাত্ম,	গণনাট্য,	
basiney,	বেসিনে,	বেসিনে,	
bhejano,	ভেজানো,	ভেজানো,	
kanflikt,	কাযাফ্লিক্ট,	কনফ্লিক্ট,	
sahosikotar,	সহশিক্যরতার,	সাহসিকতার,	
abhidhanik,	অভিধানিক,	অভিধানিক,	
deeliveer,	দেলিভির,	ডেলিভার,	
cholesi,	চলেসি,	চলেছি,	
roopa,	রূপা,	রুপা,	
shangstha,	সংস্থ,	সংস্থা,	
hillser,	হিলসের,	হিলসের,	
aaireesh,	আইরেশ,	আইরিস,	
jeellul,	জিল্লুল,	জিল্লুল,	
artilleri,	অর্টিলেরি,	আর্টিলারি,	
juktorashtreo,	যুক্তরাস্ট্রেও,	যুক্তরাষ্ট্রেও,	
romancha,	রোমাঞ্চ,	রোমাঞ্চ,	
dephinition,	ডেফিনিশন,	ডেফিনেশন,	
nathibhookta,	নথিভুক্ত,	নথিভুক্ত,	
smaroker,	স্মরেকের,	স্মারকের,	
aparogata,	অপরাগত,	অপারগতা,	
bodhir,	বোধির,	বধির,	
sampadon,	সম্পাদন,	সম্পাদন,	
shikshakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
sambhabanaow,	সম্ভাবনাও,	সম্ভবনাও,	
nothivookteer,	নথিভুক্তির,	নথিভুক্তির,	
azadeer,	আযাদির,	আজাদীর,	
oporeeshodhito,	অপরিষোধিত,	অপরিশোধিত,	
munsi,	মুনসি,	মুন্সী,	
ponchaashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
elaakaatir,	এলাকাতির,	এলাকাটির,	
ishpredshhiit,	স্পের্দেশ্টি,	স্প্রেডশীট,	
bachchaner,	বাচচানের,	বচ্চনের,	
chhathke,	ছাঠকে,	ছাতকে,	
iuro,	ইউরো,	ইউরো,	
armenan,	আরমেনেন,	আর্মেনিয়ান,	
bamna,	বামনা,	বামনা,	
mitrer,	মিতররের,	মিত্রের,	
karater,	কারাতের,	কারাতের,	
shakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
coner,	কোনের,	কনের,	
qarpeta,	কর্পেট,	কার্পেট,	
inastyanta,	ইনস্টাযান্ট,	ইনস্ট্যান্ট,	
window,	উইন্ডো,	উইন্ডো,	
shatokei,	শতকেই,	শতকেই,	
ispreedshit,	স্পের্োসেস্টি,	স্প্রেডশীট,	
thimke,	ঠিমকে,	থিমকে,	
elakaa,	এলাকা,	এলাকা,	
atmabishvashi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
franko,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
istonia,	স্স্টননি,	এস্তোনিয়া,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
soshej,	সশেজ,	সসেজ,	
stonehenje,	স্টনেেঞ্জে,	স্টোনহেঞ্জ,	
sofir,	শফির,	সোফির,	
juboke,	যুবকে,	যুবকে,	
siniyara,	সিনিয়র,	সিনিয়র,	
stationey,	স্টেশনে,	ষ্টেশনে,	
dhonni,	ধনবি,	ধন্যি,	
bane,	বানে,	বনে,	
parqs,	পার্কস,	পার্কস,	
venkotesh,	ভেনকতেস,	ভেঙ্কটেশ,	
setikey,	সেটিকে,	সেটিকে,	
paner,	পানের,	পনের,	
marufer,	মারফের,	মারুফের,	
texaser,	টেকাসের,	টেক্সাসের,	
balroom,	ব্যাল্রম,	বলরুম,	
antarctikar,	অন্টর্কটিকার,	অ্যান্টার্কটিকার,	
estooniya,	এস্টোনিয়া,	এস্তোনিয়া,	
dorgah,	দরগা,	দরগাহ,	
assoociates,	অ্যাসোসিসেটস,	এসোসিয়েটস,	
