gosthii,	গোষ্ঠী,	গোষ্ঠীই,	
naobihar,	নৌবিহার,	নৌবিহার,	
jillool,	জিল্লুল,	জিল্লুল,	
konaan,	কোনান,	কোনান,	
obhaarbhiu,	ওভারভী,	ওভারভিউ,	
thare,	থারে,	থরে,	
taunashipa,	তাউশীপা,	টাউনশিপ,	
madeling,	ম্যাডেলিং,	মডেলিং,	
mozdur,	মজদুর,	মজদুর,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
shudden,	সুদ্ডেন,	সাডেন,	
nodnadir,	নদ্নাদীর,	নদনদীর,	
bamonder,	বামন্দের,	বামনদের,	
dibbay,	দিব্যে,	দিব্যা,	
dumaa,	দুমা,	দুমা,	
soholovyotar,	সহল্যভাতার,	সহজলভ্যতার,	
rajatta,	রাজত্ব,	রাজত্ব,	
mokhmoley,	মোখমলে,	মখমলে,	
heza,	হেজ,	হেজ,	
sukhma,	সুখমা,	সুক্ষ্ম,	
vobtarini,	ভব্তািনী,	ভবতারিণী,	
matorom,	মাতরম,	মাতরম,	
aidii,	এডিডি,	আইডিই,	
jibnagar,	জীবনগার,	জীবননগর,	
teenisa,	টেনিস,	টেনিস,	
motabolambira,	মোতাবলম্বীরা,	মতাবলম্বীরা,	
artilari,	আর্টিলারি,	আর্টিলারি,	
zilyanda,	জিল্যান্ড,	জিল্যান্ড,	
everage,	এভারেজ,	এভারেজ,	
boonot,	বুনত,	বুনট,	
jaistho,	জেষ্ঠ্য,	জ্যৈষ্ঠ,	
modelling,	মডেলিং,	মডেলিং,	
rabe,	রবে,	রবে,	
stain,	স্টেইন,	স্টেন,	
phalah,	ফোলা,	ফালাহ,	
indro,	ইন্দ্র,	ইন্দ্র,	
aiiub,	আইউব,	আইইউবি,	
teunar,	টিউনার,	টিউনার,	
abdune,	আবদুনে,	আবদুন,	
nirupito,	নিরূপিত,	নিরূপিত,	
porichhonnota,	পরিচ্ছনতা,	পরিচ্ছন্নতা,	
pabo,	পাবো,	পাব,	
aziz,	অজিজ,	আজিজ,	
bohorompurer,	বহরম্পরের,	বহরমপুরের,	
hoomes,	হুমেস,	হোমস,	
hajjirhat,	হাজিহহাট,	হাজিরহাট,	
cholche,	চলচে,	চলছে,	
beshorkarikarone,	বেসরকারিকরণে,	বেসরকারিকরণ,	
croak,	ক্রক,	ক্রোক,	
plasse,	প্লেস,	প্লাসে,	
moshjidtike,	মশিজদিতে,	মসজিদটিকে,	
mukhomandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
somoodrotote,	সমুদ্রতে,	সমুদ্রতটে,	
ashirbad,	অশীর্বাদ,	আশির্বাদ,	
aukhando,	অখন্ড,	অখন্ড,	
jakser,	জক্সের,	যক্ষের,	
michilti,	মিচিল্টি,	মিছিলটি,	
rakhtokkharone,	রক্তক্ষণে,	রক্তক্ষরণে,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
pillai,	পিল্লাই,	পিল্লাই,	
proo,	প্রও,	প্রো,	
niropekkho,	নিরপেক্ষ,	নিরপেক্ষ,	
bang,	বাং,	ব্যাং,	
aholar,	আহলার,	অহল্যার,	
banshite,	বাঁশিতে,	বাঁশিতে,	
karecho,	করেছো,	করেছো,	
favorite,	ফভভরিতে,	ফেভারিট,	
anupater,	অনুপাতের,	অনুপাতের,	
raits,	রেটস,	রাইটস,	
spredshiit,	স্প্রেডসিত,	স্প্রেডশীট,	
jonosonjog,	জনসঙ্যগ,	জনসংযোগ,	
gratha,	গ্রাথ,	গ্রোথ,	
bisshasyi,	বিশ্বাসী,	বিশ্বাসই,	
eidin,	এইডিন,	এইদিন,	
conseervation,	কনসারভেশন,	কনসারভেশন,	
nodnodir,	নদন্দীর,	নদনদীর,	
deenesh,	ডেইনস,	দীনেশ,	
chalachchitro,	চলচিত্র,	চলচ্চিত্র,	
atma,	আত্মা,	আত্ম,	
bhabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
uthey,	উঠে,	উঠে,	
ganana,	গানানা,	গণনা,	
sahocorrze,	সহকর্যে,	সাহচর্যে,	
turqmen,	তুর্কমেন,	তুর্কমেন,	
ganaparibahaner,	গণপরিবহনের,	গণপরিবহনের,	
ovishangson,	অভিষংসন,	অভিশংসন,	
siramiqasa,	সিরামিকস,	সিরামিকস,	
mailer,	মাইলের,	মেইলের,	
eidaning,	আইডানিং,	ইদানীং,	
shtone,	স্টনে,	স্টোন,	
sitting,	সিটিং,	সিটিং,	
nobom,	নবম,	নবম,	
lyaataa,	ল্যাটা,	ল্যাটা,	
amerikar,	আমেরিকার,	আমেরিকার,	
engineers,	ইং্জিরিং,	ইঞ্জিনিয়ার্স,	
sho,	সি,	শো,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
kaathhmaandute,	কাঠমান্ডুতে,	কাঠমান্ডুতে,	
shource,	সোর্স,	সোর্স,	
chirontan,	চিরন্তান,	চিরন্তন,	
soras,	সরস,	সরস,	
chanoo,	চানু,	চানু,	
lumbinee,	লুমবিনি,	লুম্বিনী,	
masjidtir,	মাজজিতির,	মসজিদটির,	
ritesh,	রিটেশ,	রিতেশ,	
baibosthaar,	ব্যবস্থার,	ব্যবস্থার,	
nodiigulir,	নদীগুলির,	নদীগুলির,	
premo,	প্রেম,	প্রিমো,	
karmasansthan,	কর্মসংস্থান,	কর্মসংস্থান,	
chhootir,	ছুটির,	ছুটির,	
soceitykey,	সোকিতকে,	সোসাইটিকে,	
nesons,	নেসনস,	নেশনস,	
darada,	দারাদা,	দারদা,	
hizriite,	হিজরিতে,	হিজরীতে,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
chalta,	চলত,	চালতা,	
ruteen,	রুটিন,	রুটিন,	
naubotom,	নবতম,	নবতম,	
abhidhaneek,	অভিধানিক,	অভিধানিক,	
shalsa,	সালসা,	সালসা,	
taalgaachh,	তালাগাছ,	তালগাছ,	
ddheke,	ঢেঁকে,	ঢেকে,	
aro,	আরো,	আরও,	
mokam,	মোকাম,	মোকাম,	
soochonakal,	সূচনাকাল,	সূচনাকাল,	
skalastik,	স্কালস্তিক,	স্কলাস্টিক,	
suparichito,	সুপারিচিত,	সুপরিচিত,	
horippur,	হরিপপুর,	হরিপুর,	
besirbhaagi,	বেশীরভাগী,	বেশিরভাগই,	
noitikbhabey,	নৈতিকভাবে,	নৈতিকভাবে,	
pratisthanikvabey,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
asthishondhi,	অস্থিষন্ধি,	অস্থিসন্ধি,	
chhutee,	ছুটি,	ছুটি,	
beshirbhagi,	বেশীরভাগী,	বেশিরভাগই,	
adhyatmikata,	অধ্যামিতকাত,	আধ্যাত্মিকতা,	
tokei,	তোকেই,	ত্বকেই,	
harbare,	হারবারে,	হারবারে,	
kabutarer,	কবুতারের,	কবুতরের,	
sudden,	সুদ্দেন,	সাডেন,	
categoryer,	ক্যাটের্যার,	ক্যাটাগরির,	
gondho,	গন্ধ,	গন্ধ,	
dibaag,	দিবাগ,	ডিবাগ,	
omanisha,	অমনিস,	অমানিশা,	
tukrote,	তুকররতে,	টুকরোতে,	
asocietes,	অসোসিটেট,	এসোসিয়েটস,	
bagichaar,	বাজিচার,	বাগিচার,	
khudey,	খুদে,	ক্ষুদে,	
machera,	মাচেরা,	মাছেরা,	
gaziipur,	গাজীপুর,	গাজীপুর,	
prastut,	প্রস্তুত,	প্রস্ত্তত,	
hoeel,	হইল,	হইল,	
cocaine,	কোকেন,	কোকেইন,	
istane,	ইস্তানে,	স্টোন,	
mmadhobbir,	মাধবীর,	মাধবীর,	
cholochchitro,	চলচিত্র,	চলচ্চিত্র,	
orthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
sikarer,	শিকারের,	শিকারের,	
shoya,	শোয়া,	সোয়া,	
antarktika,	অন্তর্কটিক,	অ্যান্টার্কটিকা,	
cheesa,	চেস,	চেস,	
shangsthagulo,	সংস্ঠাগুলো,	সংস্থাগুলো,	
lajika,	লাজিকা,	লজিক,	
nikate,	নিকটে,	নিকটে,	
abul,	অবুল,	আবুল,	
arena,	আরেনা,	এরিনা,	
toroonraa,	তরুণারা,	তরুণরা,	
janapath,	জনপথ,	জনপথ,	
siropadharii,	শিরোপাধারী,	শিরোপাধারী,	
jerushalem,	জেরুসলেম,	জেরুসালেম,	
sahajlabhbhotar,	সহজালভাতার,	সহজলভ্যতার,	
ewil,	ইউল,	ইভিল,	
artharer,	অর্থারের,	আর্থারের,	
modeeling,	মডিলিং,	মডেলিং,	
mayily,	মেলি,	মাইলি,	
ekeerokom,	একিরকম,	একইরকম,	
phirth,	ফির্থ,	ফার্থ,	
gazipore,	গাজীপুর,	গাজীপুর,	
oncholtite,	অঞ্চলটিতে,	অঞ্চলটিতে,	
sepha,	সেফ,	শেফ,	
boudher,	বৌধের,	বৌদ্ধের,	
aashirbaad,	আশীর্বাদ,	আশির্বাদ,	
porijoner,	পরিজনের,	পরিজনের,	
oshovyo,	অসভ্য,	অসভ্য,	
udbodhonee,	উদ্বোধনী,	উদ্বোধনী,	
abodamaner,	অবদামানের,	অবদমনের,	
manushsoho,	মনুস্ধহ,	মানুষসহ,	
mitrao,	মিত্রও,	মিত্রও,	
joubonbotee,	যৌবনবতী,	যৌবনবতী,	
kokeyin,	কোকেন,	কোকেইন,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
cheerontan,	চিরন্তান,	চিরন্তন,	
bocchon,	বচ্ছন,	বচ্চন,	
satthik,	সাঠিক,	সঠিক,	
oncholgulir,	অঞ্চগগুলির,	অঞ্চলগুলির,	
vabaponno,	ভবাপন্ন,	ভাবাপন্ন,	
dhnoka,	ধনকা,	ধোঁকা,	
ramzaner,	রামজানের,	রমযানের,	
barbadoz,	বারবাদোজ,	বার্বাডোজ,	
gatihin,	গতিহীন,	গতিহীন,	
shalapheta,	সালফেট,	সালফেট,	
grambashee,	গ্রামবাসী,	গ্রামবাসী,	
cherechhe,	চেরেছে,	ছেড়েছে,	
euqalyptus,	ইউক্লিপট,	ইউক্যালিপ্টাস,	
adarsho,	আদর্শ,	আর্দশ,	
naubihar,	নৌবিহার,	নৌবিহার,	
gobeshokgan,	গবেষকগ্ন,	গবেষকগণ,	
akreetokarjo,	আক্তীকর্য,	অকৃতকার্য,	
forma,	ফরমা,	ফর্মা,	
udbhaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
khargosher,	খার্গসের,	খরগোসের,	
fatakeshto,	ফটকেট্ট,	ফাটাকেষ্ট,	
suporichito,	সুপরিচিত,	সুপরিচিত,	
torangunj,	তরঙ্গঞ্জ,	তোরাবগঞ্জ,	
utsahamulok,	উত্সামূলক,	উৎসাহমূলক,	
bhaibonder,	ভৈবন্দের,	ভাইবোনদের,	
shikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
jolatonko,	জলাতন্ক,	জলাতঙ্ক,	
spancer,	স্প্যান্সের,	স্পেন্সার,	
shotodha,	শতধা,	শতধা,	
potcheetrer,	পটচিত্রের,	পটচিত্রের,	
paikgachha,	পৈচ্ছাচ্,	পাইকগাছা,	
saaralya,	সারল্যা,	সারল্য,	
skalarashipa,	স্কোলাপিপ,	স্কলারশিপ,	
parbottyo,	পার্বত্ত্ব,	পার্বত্য,	
utkhat,	উৎক্ষাত,	উত্খাত,	
boopon,	বুপন,	বপন,	
america,	অমেরিকা,	আমেরিকা,	
samanno,	সামান্ন,	সামান্য,	
graambasee,	গ্রামবাসী,	গ্রামবাসী,	
argho,	অর্ঘ,	অর্ঘ্য,	
saccar,	সাক্চার,	সকার,	
irana,	আইরান,	ইরান,	
biswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
dackop,	ডাকপ,	দাকোপ,	
emiretus,	এমেরিটাস,	এমিরেটাস,	
siddhantagulo,	সিদ্ধান্গগুলো,	সিদ্ধান্তগুলো,	
mitro,	মিট্রো,	মিত্রও,	
yuq,	ইউক,	ইয়াক,	
bairer,	বৈরের,	বাইরের,	
palestiner,	পেলেস্টিনের,	প্যালেস্টাইনের,	
rohosyer,	রহহ্যের,	রহস্যের,	
eemeergeency,	এমেরেেন্সি,	এমার্জেন্সি,	
kompekt,	কম্পেক্ট,	কমপ্যাক্ট,	
hotochokito,	হটচককিত,	হতচকিত,	
uddhriti,	উদ্ধিতি,	উদ্ধৃতি,	
shfingtar,	স্ফিন্টার,	স্ফিংটার,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
maadhoobir,	মাধবীর,	মাধবীর,	
apargota,	অপর্গতা,	অপারগতা,	
kanda,	কাঁ্ডা,	কাণ্ড,	
ispredsit,	সস্প্রেডিস,	স্প্রেডশীট,	
trend,	ট্রেন্ড,	ট্রেন্ড,	
rifleksa,	রাইফল্ক,	রিফ্লেক্স,	
qulim,	কুলিং,	কুলিং,	
dakshinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
dancan,	ডানচান,	ডানকান,	
moushumer,	মৌসমের,	মৌসুমের,	
naraphoqa,	নরফক,	নরফোক,	
transhform,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
gronthoti,	গ্রন্থটি,	গ্রন্থটি,	
jater,	জাতের,	জাতের,	
yaq,	যা,	ইয়াক,	
patjat,	পাজজাত,	পাটজাত,	
diaraesa,	ডায়েরস,	ডিআরএস,	
daeel,	ডিল,	ডেইল,	
digrir,	দিগ্রীর,	ডিগ্রির,	
herisoner,	হেরিশনের,	হ্যারিসনের,	
kark,	কার্ক,	কার্ক,	
ballrum,	বালারাম,	বলরুম,	
danakana,	ডানাকান,	ডানকান,	
ekshor,	একশর,	একশোর,	
adhunikkale,	আধুনিককালে,	আধুনিককালে,	
aanish,	আনিস,	আনিস,	
asietic,	অসিটিক,	এশিয়াটিক,	
oiteejyo,	ঐতিজ্য,	ঐতিহ্য,	
giitikobita,	গীতিকবিত্তা,	গীতিকবিতা,	
meeting,	মিটিং,	মিটিং,	
juktorashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
prosadhaner,	প্রসাধনের,	প্রসাধনের,	
voterer,	ভোটরের,	ভোটারের,	
chhatto,	ছাত্ত,	ছোট্ট,	
darji,	দর্জি,	দরজি,	
eqsapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
kiandi,	কিয়ন্ডি,	ক্যান্ডি,	
beda,	বেড,	বেদ,	
sawam,	স্মা,	সাওম,	
atiteo,	আতিতেও,	অতীতেও,	
maarmader,	মারমাদের,	মারমাদের,	
palbongser,	পালবংশের,	পালবংশের,	
hondurus,	হন্ডুরস,	হন্ডুরাস,	
thaken,	থাকেন,	থাকেন,	
bbosonto,	বসন্ত,	বসন্ত,	
asiatic,	অসিটিক,	এশিয়াটিক,	
ujbekistaner,	উজবেক্তিস্তার,	উজবেকিস্তানের,	
jamkaalo,	জামকালো,	জমকালো,	
bhittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
uipoka,	উইপোকা,	উইপোকা,	
bede,	বেদে,	বেদে,	
bonnypran,	বন্পিপ্রন,	বন্যপ্রাণ,	
asantosh,	অশান্তস,	অসন্তোষ,	
hitokor,	হিতকর,	হিতকর,	
bhalobaas,	ভালবাস,	ভালোবাসা,	
tahalei,	তাহলেই,	তাহলেই,	
daaktikite,	ডাক্তিকেতে,	ডাকটিকিটে,	
janachhe,	জনাচ্ছে,	জানাচ্ছে,	
nevatey,	নেভাতে,	নেভাতে,	
karmokandeo,	কর্মকান্ডেও,	কর্মকাণ্ডেও,	
musalmanera,	মুসলমমনার,	মুসলমানেরা,	
shailee,	সাইলি,	শৈলী,	
skalastika,	স্কোল্টিক,	স্কলাস্টিক,	
baaik,	বাইক,	বাইক,	
metropoliton,	মেট্রোপোলিন,	মেট্রোপলিটন,	
bossontoke,	বসন্তকে,	বসন্তকে,	
sambhabanaow,	সম্ভানও,	সম্ভবনাও,	
muzibur,	মুজিবুর,	মুজিবুর,	
kormer,	কর্মের,	কর্মের,	
slok,	স্লক,	শ্লোক,	
shangsthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
graambaasi,	গ্রামবাসী,	গ্রামবাসী,	
shasonkorta,	শাসনকর্তা,	শাসনকর্তা,	
chirokumari,	চিরকুমারি,	চিরকুমারী,	
onodhikaar,	অনধিকার,	অনধিকার,	
oichchhik,	ঐচ্ছিক,	ঐচ্ছিক,	
chidropothe,	চিদ্রপথে,	ছিদ্রপথে,	
chapol,	চাপাল,	চপল,	
bongshokey,	বংশকে,	বংশকে,	
iuqyaliptasa,	ইউক্লাপিস্ট,	ইউক্যালিপ্টাস,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
naphisa,	নফিস,	নাফিসা,	
nutoner,	নতোনের,	নূতনের,	
michir,	মিচির,	মিচির,	
naraphooka,	নরফফুক,	নরফোক,	
aazaadeer,	আজাদীর,	আজাদীর,	
brindaabane,	বৃন্দাবনে,	বৃন্দাবনে,	
eeraner,	ইরানের,	ইরানের,	
samanya,	সামান্য,	সামান্য,	
shpreadshhiit,	স্প্রেডশিট,	স্প্রেডশীট,	
debodebi,	দেবদেবী,	দেবদেবী,	
sangosthati,	সংস্থাটি,	সংস্থাটি,	
bechaa,	বেচা,	বেচা,	
janaalo,	জানালো,	জানালো,	
chalochchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
hoondayi,	হোণ্ডাই,	হুন্দাই,	
avijojan,	অভিযোজন,	অভিযোজন,	
heepataitisa,	হিপোটেটিস,	হেপাটাইটিস,	
bihar,	বিহার,	বিহার,	
tafaat,	টফাট,	তফাৎ,	
isahak,	ইসহক,	ইসাহাক,	
moorali,	মুরালি,	মুরলী,	
kortonaa,	কর্তনা,	করতনা,	
qarlosa,	কার্লস,	কার্লোস,	
tthela,	থেলা,	ঠেলা,	
emarjenshi,	এমার্জেনি,	এমার্জেন্সি,	
proteesthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
concert,	কনসার্ট,	কানসাট,	
dharabiktir,	ধারাবিক্তির,	ধারাবাহিকটির,	
rajtontrokey,	রাজটন্ত্রকে,	রাজতন্ত্রকে,	
laeshesh,	লাইস,	লাইসেন্স,	
nursery,	নার্সারী,	নার্সারি,	
culing,	কুলিং,	কুলিং,	
halloween,	হালউন,	হ্যালোইন,	
mousumeo,	মৌসূমেও,	মৌসুমেও,	
oparogota,	অপারগতা,	অপারগতা,	
shiropar,	শিরোপার,	শিরোপার,	
injeel,	ইঞ্জেল,	ইঞ্জিল,	
tegara,	টেগার,	টাইগার,	
masey,	মাসে,	মাসে,	
pronoti,	প্রণাটি,	প্রণতি,	
shomsti,	সমস্টি,	সমষ্টি,	
taioyana,	টাইয়ান,	তাইওয়ান,	
siddhantake,	সিদ্ধান্তকে,	সিদ্ধান্তকে,	
weenis,	উইনিস,	ভেনিস,	
jyeshtha,	জেষ্ঠা,	জ্যেষ্ঠা,	
mootar,	মোটর,	মুতার,	
akib,	একিব,	আকিব,	
shrichaitanyadeb,	শ্রীচৈতন্যবেদ,	শ্রীচৈতন্যদেব,	
patterne,	প্যাটার্ন,	প্যাটার্নে,	
rata,	রাট,	রত,	
porikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
hool,	হুল,	হুল,	
eparjonta,	এপারজন্ত,	এপর্যন্ত,	
sulfatee,	সালফাতি,	সালফেট,	
deefinishion,	ডেফিনিশন,	ডেফিনেশন,	
moddhyekar,	মধ্যকার,	মধ্যেকার,	
basturyi,	বস্তুরই,	বস্তুরই,	
byabaharkareederke,	ব্যবহারকারীদের,	ব্যবহারকারীদেরকে,	
gyandas,	গ্ঞান্ডস,	জ্ঞানদাস,	
madhobi,	মাধবী,	মাধবীর,	
shelina,	সেলিন,	সেলিনা,	
sanatoni,	সানাটনী,	সনাতনী,	
abhishangson,	অভিষংসন,	অভিশংসন,	
romantiqa,	রোমান্টিক,	রোমান্টিক,	
abheedhanic,	অভিধানিক,	অভিধানিক,	
dweegulotey,	দ্বিগুলোতে,	দ্বীপগুলোতে,	
taantira,	তানটিরা,	তাঁতিরা,	
shilpojato,	শিল্পজত,	শিল্পজাত,	
chon,	চ্ন,	ছোঁ,	
toufiq,	তৌফিক,	তৌফিক,	
modelgulo,	মোদেলগুলো,	মডেলগুলো,	
chedropathe,	চেদ্রপথে,	ছিদ্রপথে,	
biplabeer,	বিপ্লবীর,	বিপ্লবীর,	
sqirt,	স্কার্ট,	স্কার্ট,	
turista,	তুরিষ্ট,	টুরিস্ট,	
dokaneyi,	ডোকানেই,	দোকানেই,	
saazano,	সাজানো,	সাজানো,	
vodka,	ভোডকা,	ভদকা,	
shommotite,	সম্মতিতে,	সম্মতিতে,	
vaskor,	ভাস্কর,	ভাস্কর,	
cheshsh,	চেস,	চেস,	
amorendra,	অমরেন্দ্র,	অমরেন্দ্র,	
bishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
imarjinsi,	এমার্জিনি,	এমার্জেন্সি,	
apohoron,	অপহরণ,	অপহরন,	
shaddhii,	সাধ্ধী,	সাধ্বী,	
nirorthak,	নিরর্থক,	নিরর্থক,	
shrishri,	শৃশ্রি,	শ্রীশ্রী,	
gananatyo,	গণানত্য,	গণনাট্য,	
perri,	পেরি,	পেরি,	
mukhbaundho,	মুখবন্ধ,	মুখবন্ধ,	
baraak,	বারাক,	বারাক,	
komatei,	কমাতেই,	কমাতেই,	
augustine,	অজুস্টিন,	অগাস্টিন,	
siddharther,	সিদ্বার্থের,	সিদ্ধার্থের,	
samudrotatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
purbancoler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
mandope,	মণ্ডপে,	মন্ডপে,	
abahan,	আবাহন,	আবাহন,	
brail,	ব্রেল,	ব্রেইল,	
bhuushito,	ভূশিত,	ভূষিত,	
themey,	থেমে,	থিমে,	
puncho,	পাঁচো,	পুঞ্চ,	
vagni,	ভাগ্নী,	ভগ্নী,	
gosthyi,	গোষ্ঠী,	গোষ্ঠীই,	
allubokhara,	অলুলবখারা,	আলুবোখারা,	
gorer,	গরের,	গোরের,	
pratool,	প্রতুল,	প্রতুল,	
societykey,	সোকিতকে,	সোসাইটিকে,	
tooku,	টুকু,	টুকু,	
ieub,	ইউএব,	আইইউবি,	
celinar,	সিলিনার,	সেলিনার,	
surarop,	সুরারপ,	সুরারোপ,	
silvar,	সিলভার,	সিলভার,	
sqalarashipa,	স্কোলাপিপ,	স্কলারশিপ,	
santa,	সাঁতা,	সান্তা,	
teemothi,	তিমথি,	টিমোথি,	
ganohatyar,	গণহত্যার,	গণহত্যার,	
prabhuder,	প্রভুদের,	প্রভুদের,	
bhageri,	ভাগীরি,	ভাগেরই,	
upobaasher,	উপবাসের,	উপবাসের,	
nagalyand,	নাগলযযান্ড,	নাগাল্যান্ড,	
bahaati,	বাহাটি,	বাহাতি,	
harysher,	হারিসের,	হ্যারিসের,	
saarbhaare,	সারভারে,	সার্ভারে,	
miitar,	মিতার,	মিত্র,	
jwarer,	জ্বারের,	জ্বরের,	
jak,	যাক,	জাঁক,	
padee,	পদি,	পাড়ে,	
bonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
turkmen,	তুর্কমেন,	তুর্কমেন,	
boner,	বনের,	বনের,	
jaadrel,	জাদ্রেল,	জাঁদরেল,	
karlosa,	কার্লস,	কার্লোস,	
ghoor,	ঘুর,	ঘুর,	
swartha,	স্বর্থ,	স্বার্থ,	
aashanka,	আসাঙ্কা,	আশংকা,	
prithbir,	পৃথ্বীর,	পৃথবীর,	
byepass,	ব্যাপস,	বাইপাস,	
kaande,	কাঁদে,	কাণ্ডে,	
flux,	ফ্লাক্স,	ফ্লাস্ক,	
hunayin,	হুনাইন,	হুনাইন,	
goodamjato,	গুমা্জত,	গুদামজাত,	
domone,	দমনে,	দমনে,	
niropekshtar,	নিরপেক্ষত্র,	নিরপেক্ষতার,	
bachai,	বাঁচাই,	বাছাই,	
grootha,	গ্রুথ,	গ্রোথ,	
venicer,	ভেনিকের,	ভেনিসের,	
biswashe,	বিশ্বসসে,	বিশ্বাসে,	
zerusalema,	জেরুসলেম,	জেরুসালেম,	
pooding,	পুডিং,	পুডিং,	
juktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
piora,	পিয়র,	পিওর,	
hoteeltite,	হটিল্টিতে,	হোটেলটিতে,	
botgach,	বটজাছ,	বটগাছ,	
choudhooreer,	চৌধুরীর,	চৌধুরীর,	
karmakarke,	কর্মকরকে,	কর্মকারকে,	
yaak,	যাক,	ইয়াক,	
homeske,	হোমেসকে,	হোমসকে,	
priitii,	পৃতিতি,	প্রিটি,	
bhor,	ভর,	ভর,	
ibhila,	এভিল,	ইভিল,	
morathee,	মোরাঠি,	মরাঠি,	
mehnoti,	মেহনতি,	মেহনতি,	
canal,	ক্যানাল,	ক্যানেল,	
nirbachoker,	নির্বাচকের,	নির্বাচকের,	
sangkalaney,	সংকালনে,	সংকলনে,	
phiksha,	ফিক্স,	ফিক্স,	
faser,	ফেসের,	ফাঁসের,	
kona,	কোনা,	কণা,	
olangkoron,	অলঙ্করণ,	অলঙ্করণ,	
eshtonia,	এস্টোনিয়া,	এস্তোনিয়া,	
shringo,	শৃঙ্গ,	শৃঙ্গ,	
cyanide,	ক্যানিডে,	সায়ানাইড,	
orbiit,	অর্বিত,	অরবিট,	
edipass,	এডিপেস,	ইডিপাস,	
mosleh,	মসলেহ,	মোসলেহ,	
maila,	মাইল,	মাইল,	
madhumati,	মধুমাটি,	মধুমতী,	
durgandha,	দুর্ংান্ধ,	দুর্গন্ধ,	
biphal,	বিফল,	বিফল,	
barbaadoj,	বারবাজোজ,	বার্বাডোজ,	
sangrahok,	সংগ্রহণক,	সংগ্রাহক,	
antarvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
valobasen,	ভালোবাসেন,	ভালোবাসেন,	
shaapholler,	সাফলের,	সাফল্যের,	
pudim,	পুদিং,	পুডিং,	
heedgee,	হেজ,	হেজ,	
oppohoron,	অপহরণ,	অপহরন,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
aamoode,	আমুদে,	আমুদে,	
trans,	ট্রান্স,	ট্রান্স,	
kandey,	কাঁদে,	কাণ্ডে,	
conphlict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
location,	লোকেশন,	লোকেশন,	
khur,	খুর,	ক্ষুর,	
debdebier,	দেবদেবীর,	দেবদেবীর,	
asamanyo,	অসমান্য,	অসামান্য,	
pratiyogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
chiraharit,	চিরারিত,	চিরহরিৎ,	
bhaibonera,	ভাইবনারা,	ভাইবোনেরা,	
bhogini,	ভোগিনী,	ভগিনী,	
votar,	ভোটার,	ভোটার,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
osamanno,	অসমান্ন,	অসামান্য,	
yankee,	ইনকে,	ইয়াংকি,	
kraim,	ক্র্যাম,	ক্রাইম,	
sikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
ghetu,	ঘেটু,	ঘেটু,	
ingrezeeteo,	ইংরেজিতেও,	ইংরেজিতেও,	
dhormi,	ধর্মি,	ধর্মী,	
vivek,	ভিভেক,	বিবেক,	
rakkhanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
paade,	পাদে,	পাড়ে,	
shikarke,	শিকারকে,	শিকারকে,	
prabhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
durgatsabe,	দুর্গতসভাবে,	দুর্গোৎসবে,	
potochitrer,	পটচিত্রের,	পটচিত্রের,	
qeyboard,	কিবোর্ড,	কীবোর্ড,	
shucharita,	সুচারিত,	সুচরিতা,	
joubanboti,	যৌবনবতী,	যৌবনবতী,	
sloker,	স্লকের,	শ্লোকের,	
