futbolarra,	ফুটবলরারা,	ফুটবলাররা,	
chhatto,	ছত্ব,	ছোট্ট,	
foloshruti,	ফলস্রুতি,	ফলশ্রুতি,	
hajirhat,	হাজিরহাট,	হাজিরহাট,	
uindo,	উইন্ডো,	উইন্ডো,	
chutite,	চুটিতে,	ছুটিতে,	
karpeeta,	কর্পেট,	কার্পেট,	
avisongson,	অভিসংসন,	অভিশংসন,	
utkhater,	উৎখাতের,	উৎখাতের,	
tafaat,	তাফাত,	তফাৎ,	
ibhaner,	ইভানের,	ইভানের,	
dolu,	ডলু,	ডলু,	
toki,	টকি,	তকি,	
seekkhokbrindo,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
korusher,	ক্রুসের,	ক্রুশের,	
ebham,	ইভাম,	ইভিএম,	
creshcent,	ক্রেস্সেন্ট,	ক্রিসেন্ট,	
nothibhookteer,	নথিভুক্তির,	নথিভুক্তির,	
bipradas,	বিপ্রদাস,	বিপ্রদাস,	
silwar,	সিলভার,	সিলভার,	
taunashhipa,	তাউনশিপ,	টাউনশিপ,	
dhormi,	ধর্মী,	ধর্মী,	
chalachchitratike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
kodorer,	কদরের,	কদরের,	
songasthatike,	সংস্থাতিতে,	সংস্থাটিকে,	
madhobir,	মাধবীর,	মাধবীর,	
pujita,	পূঁজিত,	পূজিতা,	
satarka,	সাতার্ক,	সতর্ক,	
digreeke,	ডিগ্রীকে,	ডিগ্রিকে,	
manu,	মানু,	মনু,	
khelafotey,	খেলাফোতে,	খেলাফতে,	
koommatei,	কমাতেই,	কমাতেই,	
donata,	দোনটা,	ডোনাট,	
jomjomat,	জম্জমাত,	জমজমাট,	
stonehenje,	স্টনেেহেন্জে,	স্টোনহেঞ্জ,	
hitoishi,	হিটোইসি,	হিতৈষী,	
grotha,	গ্রথ,	গ্রোথ,	
noitikbhabe,	নৈতিকভাবে,	নৈতিকভাবে,	
sheekarder,	সিকার্ডের,	শিকারদের,	
bhangle,	ভাঙলে,	ভাঙলে,	
bhabotarini,	ভবতারীণী,	ভবতারিণী,	
obdi,	অব্দি,	অব্দি,	
neerbahe,	নির্বাহে,	নির্বাহে,	
taatey,	তাঁে,	তাতে,	
itastatah,	ইতাস্তত,	ইতস্ততঃ,	
idyi,	ইদ্দি,	আইডিই,	
vangchur,	ভাঙচুর,	ভাংচুর,	
parqim,	পার্কিং,	পার্কিং,	
saahocorrzo,	সাহরকযর্্,	সাহচর্য,	
udbhaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
sangosthaner,	সংস্থানের,	সংস্থানের,	
laaishensh,	লাইসেন্স,	লাইসেন্স,	
tusho,	তুষ,	তুসো,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
patochitrer,	পটচচিত্রের,	পটচিত্রের,	
oitijjher,	ঐতিহ্যের,	ঐতিহ্যের,	
adbhut,	অভীত,	অদ্ভুত,	
esoosiyetasa,	এসোসিয়েটস,	এসোসিয়েটস,	
uporitale,	উপর্টলল,	উপরিতলে,	
qloud,	ক্লাড,	ক্লাউড,	
karmasansthan,	কর্মসংস্থান,	কর্মসংস্থান,	
inamil,	ইনামিল,	এনামেল,	
dharabahikbhabe,	ধারাবিকভাবে,	ধারাবাহিকভাবে,	
shikkhartheerao,	শিক্ষার্থারীরা,	শিক্ষার্থীরাও,	
roshider,	রশীদের,	রশিদের,	
paikar,	পাইকার,	পাইকার,	
jameske,	জামেস্কে,	জেমসকে,	
biswashi,	বিশ্বাসী,	বিশ্বাসী,	
banduk,	বান্দুক,	বন্দুক,	
dhan,	ধন,	ধ্যান,	
dibi,	দিবী,	দিবি,	
ibhila,	এভিল,	ইভিল,	
rockibul,	রকিিব্যুল,	রকিবুল,	
uttor,	উত্তর,	উওর,	
mahindra,	মহহিন্দর,	মাহিন্দ্রা,	
sayid,	সাঈদ,	সাইদ,	
shekend,	সেকেন্ড,	সেকেণ্ড,	
boikalyo,	বৈকাল্য,	বৈকল্য,	
mausum,	মসুম,	মৌসুম,	
kooda,	কোদ,	কোড,	
balokarok,	বালকারক,	বলকারক,	
phoolkopi,	ফুলকোপি,	ফুলকপি,	
prachurjer,	প্রচুর্জের,	প্রাচুর্যের,	
sarbharer,	সারভারের,	সার্ভারের,	
fal,	ফল,	ফল,	
daebug,	দেবিয়,	ডিবাগ,	
hocker,	হককার,	হুকার,	
shakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
onnyorup,	অন্যরুপ,	অন্যরূপ,	
munshi,	মুনশী,	মুন্সী,	
ishton,	ইস্টন,	স্টোন,	
shilabhara,	সিলভার,	সিলভার,	
saajanor,	সাজানোর,	সাজানোর,	
kreedita,	ক্রিডিত,	ক্রেডিট,	
overveu,	ওভার্ভু,	ওভারভিউ,	
parikshateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
bikargrasta,	বিকরগ্রস্ত,	বিকারগ্রস্ত,	
sectore,	সেক্টরের,	সেক্টরে,	
sosharire,	সোশারীরে,	সশরীরে,	
beshorkarikarone,	বেসরকারীকরণ,	বেসরকারিকরণ,	
kanasarabhesana,	কনসারভেসন,	কনসারভেশন,	
bohoodin,	বহুদিন,	বহুদিন,	
koda,	কোদ,	কোড,	
mookhomaundoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
adhito,	অধিত,	অধীত,	
venus,	ভাইনাস,	ভেনাস,	
soros,	সরবস,	সরস,	
juktarashtreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
horeepur,	হরিপুর,	হরিপুর,	
sipa,	শিপ্,	শিপ,	
proshadhoni,	প্রসাধনী,	প্রসাধনী,	
setikey,	সেটিকে,	সেটিকে,	
dale,	ডলে,	ডালে,	
ragee,	রাগী,	রাগী,	
prakalpoguli,	প্রকল্পগুলো,	প্রকল্পগুলি,	
nirmaankaj,	নির্মাণকাজ,	নির্মাণকাজ,	
ganona,	গণনা,	গননা,	
karoo,	কারু,	কারো,	
benish,	বেনিশ,	ভেনিস,	
gabhaskar,	গভ্ষার,	গাভাস্কার,	
sompadon,	সম্পাদন,	সম্পাদন,	
potocheetro,	পটচচিত্র,	পটচিত্র,	
uinndo,	উইন্ডো,	উইন্ডো,	
nartakike,	নার্তাকীকে,	নর্তকীকে,	
chomsky,	চমস্কি,	চমস্কি,	
teentir,	তিনটির,	তিনটির,	
maudelke,	ম্যাডলেকে,	মডেলকে,	
bipajjanak,	বিপাজ্জনক,	বিপজ্জনক,	
vvejaano,	ভেজানো,	ভেজানো,	
bhalapuka,	ভালাপুকা,	ভোলাপুক,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
istoone,	ইস্টুন,	স্টোন,	
nickeel,	নিক্সেল,	নিকেল,	
asovarno,	অসবর্ন,	অসবর্ণ,	
udbodhane,	উদ্বধানে,	উদ্বোধনে,	
palbangser,	পালভাংশের,	পালবংশের,	
dala,	ডল,	দলা,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
nischitarupey,	নিশ্চিতররূপে,	নিশ্চিতরূপে,	
eshoshiyetasha,	এসোসিয়েস,	এসোসিয়েটস,	
phokser,	ফক্সের,	ফক্সের,	
gabeshonagar,	গবেষণাগার,	গবেষনাগার,	
ekoirakom,	একররকম,	একইরকম,	
durotaumo,	দুরতম,	দূরতম,	
krita,	কৃত,	ক্রীট,	
maheendra,	মহেন্দ্র,	মাহিন্দ্রা,	
pooloo,	পুলো,	পোলো,	
mukhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
orthat,	অর্থাত,	অর্থাৎ,	
sabche,	সবচে,	সবচে,	
probhritite,	প্রভূতিতে,	প্রভৃতিতে,	
thelyanda,	থেল্যান্ড,	থাইল্যান্ড,	
traytey,	ট্রেটে,	ট্রেতে,	
geza,	গেজ,	গেজ,	
eidhyaning,	এডেনিং,	ইদানীং,	
paikgachha,	পাইকগাছ,	পাইকগাছা,	
bedanta,	বেদান্ত,	বেদান্ত,	
jeesa,	জিস,	জেস,	
kamiz,	কমিজ,	কামিজ,	
torkareer,	তরকারির,	তরকারীর,	
nathivukteer,	নথিউভুক্তির,	নথিভুক্তির,	
windows,	উইন্ডোজ,	উইন্ডোস,	
duckten,	ডাক্েন,	ডাকতেন,	
salapheeta,	সালফিট,	সালফেট,	
agamanke,	আগামানকে,	আগমনকে,	
vatar,	ভাটার,	ভাতার,	
shahanara,	শাহানারা,	শাহানারা,	
shansthatikey,	সংস্থাতিকে,	সংস্থাটিকে,	
seniar,	সেনিয়ার,	সিনিয়র,	
ishtara,	ইস্টার,	ইস্টার,	
samashti,	সমসস্তি,	সমষ্টি,	
geeja,	গিজ,	গেজ,	
besooro,	বেসর,	বেসুর,	
rudrer,	রুদ্রের,	রুদ্রের,	
netions,	নিশায়ন্স,	নেশনস,	
nagnyo,	নগ্ন,	নগণ্য,	
vedanta,	বেদন্ত,	বেদান্ত,	
jonser,	জনসের,	জোন্সের,	
neemeette,	নিমিতে,	নিমিত্তে,	
potochitro,	পটচিত্র,	পটচিত্র,	
the,	থি,	থাই,	
suparichiti,	সুপারিচিতি,	সুপরিচিতি,	
vugol,	ভুগল,	ভূগোল,	
maroofer,	মারুফের,	মারুফের,	
drishyoke,	দৃশ্যকে,	দৃশ্যকে,	
iqbalke,	ইকবালকে,	ইকবালকে,	
hevy,	হেই,	হেভি,	
krus,	ক্রাশ,	ক্রুশ,	
hoj,	হজ,	হয,	
pratisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
si,	সি,	এসআই,	
lambatey,	লমবাতে,	লম্বাটে,	
tempaleta,	টেম্পলেট,	টেম্পলেট,	
loukikataa,	লৌকিকতা,	লৌকিকতা,	
bed,	বিড,	বেদ,	
sikkhakbrindo,	শিক্ষাকবৃন্দ,	শিক্ষকবৃন্দ,	
query,	ক্য়েরি,	কোয়েরি,	
veenish,	ভীনিশ,	ভেনিস,	
bedanter,	বেদান্তের,	বেদান্তের,	
sumeeta,	সুমিটা,	সুমিতা,	
neeshanasa,	নিষানাসা,	নেশনস,	
bojhe,	বোঝে,	বোঝে,	
townshhip,	তাউনশিপ,	টাউনশিপ,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
dokanei,	ডোকানেই,	দোকানেই,	
gorur,	গরুর,	গরুর,	
aajij,	আজিজ,	আজিজ,	
nodiitike,	নদীতিকে,	নদীটিকে,	
lyaandeeng,	ল্যান্ডেং,	ল্যান্ডিং,	
bisheshyer,	বিশেষের,	বিশেষ্যের,	
superheira,	সুপারহারেই,	সুপারহিরো,	
labonaktatar,	লবনাক্ততা,	লবণাক্ততার,	
subadey,	সুবাদে,	সুবাদে,	
maszid,	মসজিদ,	মসজিদ,	
spredasita,	স্প্রেডসিস,	স্প্রেডশীট,	
mishal,	মিশাল,	মিশাল,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
sarder,	সর্দার,	সরদার,	
proshtot,	প্রস্তত,	প্রস্ত্তত,	
nothibhukto,	নথিভুক্ত,	নথিভুক্ত,	
superheiroo,	সুপারেহরর,	সুপারহিরো,	
monu,	মোনু,	মনু,	
prochondo,	প্রচন্ড,	প্রচণ্ড,	
kantajir,	কান্তাজির,	কান্তজির,	
naaneer,	নানীর,	নানীর,	
ekpaase,	একপাশে,	একপাশে,	
nagarikata,	নগগরিকাটা,	নাগরিকতা,	
lagto,	লাগত,	লাগতো,	
silver,	সিলভার,	সিলভার,	
moshjid,	মসজিদ,	মসজিদ,	
mailkhanek,	মাইলখানেক,	মাইলখানেক,	
bu,	বু,	বু,	
artilery,	আর্টালারি,	আর্টিলারি,	
antorvuktimulok,	অন্ত্তর্ভূক্তমূলক,	অন্তর্ভুক্তিমূলক,	
ponthar,	পন্থার,	পন্থার,	
dighol,	দীঘল,	দীঘল,	
soomo,	সুম,	সুমো,	
neelkamal,	নিলকামাল,	নীলকমল,	
mulvitti,	মূলভীত্তি,	মূলভিত্তি,	
ghumachchila,	ঘুমাচ্ছিল,	ঘুমাচ্ছিল,	
shaarthe,	সার্থে,	স্বার্থে,	
prachando,	প্রচন্ড,	প্রচণ্ড,	
zubokshoho,	যুবকসহ,	যুবকসহ,	
murad,	মুরদ,	মুরাদ,	
songkoloner,	সংকলনের,	সংকলনের,	
nilabha,	নিলভা,	নীলাভ,	
emerjency,	এমার্জেন্সি,	এমার্জেন্সি,	
jubokder,	যুবকদের,	যুবকদের,	
deliver,	ডিলিভার,	ডেলিভার,	
pray,	প্রে,	প্রায়,	
rudrake,	রুদ্রাকে,	রুদ্রকে,	
bizepi,	বিজেপি,	বিজেপি,	
totokhhon,	ততক্ষণ,	ততক্ষন,	
nikote,	নিকটে,	নিকটে,	
otyacharito,	অত্যাচারিত,	অত্যাচারিত,	
sontoshe,	সন্তুসে,	সন্তোষে,	
kormosongsthan,	কর্মসংস্থান,	কর্মসংস্থান,	
phokshkon,	ফক্স্কন,	ফক্সকন,	
anektayi,	অনেকটেই,	অনেকটাই,	
hizriite,	হিজরিতে,	হিজরীতে,	
adhyatmik,	অধ্যাত্মিক,	আধ্যাত্মিক,	
mousumei,	মুসুমেই,	মৌসুমেই,	
eucalyptushh,	ইউক্লাটিসা,	ইউক্যালিপ্টাস,	
qonfliqt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
pratijogi,	প্রতিযোগী,	প্রতিযোগী,	
iukyaliptasha,	ইউক্লাপিল্স,	ইউক্যালিপ্টাস,	
graameroi,	গ্রামারেই,	গ্রামেরই,	
nilkamol,	নিলকামল,	নীলকমল,	
asovvo,	অসভভ,	অসভ্য,	
gelo,	গেল,	গেলো,	
sectar,	সেক্টর,	সেক্টর,	
hachchilo,	হাচ্ছিল,	হচ্ছিলো,	
onekerie,	অনেকারী,	অনেকেরই,	
shamijir,	স্বামীজীর,	স্বামীজীর,	
manushgulor,	মানুষগুলোর,	মানুষগুলোর,	
vaider,	বৈদেদের,	ভাইদের,	
laz,	ল্যাজ,	লাজ,	
ivam,	ইভাম,	ইভিএম,	
bbosben,	বসবেন,	বসবেন,	
oojbekistan,	উজবেকস্তান,	উজবেকিস্তান,	
lobbytey,	লবিতে,	লবিতে,	
woter,	ওয়াটার,	ভোটার,	
inapharameshhana,	ইনফরমেশন্সন,	ইনফরমেশন,	
basano,	বাসনো,	বসানো,	
seekkhokder,	শিক্ষকদের,	শিক্ষকদের,	
wool,	ভোল,	উল,	
brittakare,	বৃত্তকারে,	বৃত্তাকারে,	
tarbiner,	তরববিনের,	টারবাইনের,	
balbo,	বলবো,	বলবো,	
udvabani,	উদ্ভাবনী,	উদ্ভাবনী,	
prakalpatike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
qode,	কোড,	কোড,	
bhageri,	ভাগেরি,	ভাগেরই,	
swarthe,	স্বর্থে,	স্বার্থে,	
leaders,	লিডার্স,	লিডার্স,	
sushikkhar,	সুশিক্ষার,	সুশিক্ষার,	
jolatanko,	জলাতনক,	জলাতঙ্ক,	
gosthiti,	গোষ্ঠীতি,	গোষ্ঠীটি,	
maricha,	মেরিচা,	মরিচা,	
seating,	শ্যেটিং,	সিটিং,	
kisti,	কিষ্টি,	কিস্তি,	
prithbir,	পৃথ্বীর,	পৃথবীর,	
dhojovongo,	ধোবজঙ্গ,	ধ্বজভঙ্গ,	
ceema,	সাইমা,	সীমা,	
iyaka,	ইয়াক,	ইয়াক,	
kona,	কোন,	কণা,	
darjeeling,	ডার্জিলিং,	দার্জিলিং,	
dhache,	ঢাচে,	ধাঁচে,	
orthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
upobaaser,	উপবাসের,	উপবাসের,	
ghumachchilo,	ঘুমাচ্ছিল,	ঘুমাচ্ছিল,	
abarte,	আবর্তে,	আবর্তে,	
taresa,	তোরেস,	টেরেসা,	
beem,	বিম,	বিম,	
ashociatesh,	অ্যাসোসিটেস,	এসোসিয়েটস,	
manur,	মানুর,	মনুর,	
panctaar,	পাঁচ্তর,	পাঁচটার,	
pooshtee,	পুষ্টি,	পুষ্টি,	
prostutkarak,	প্রস্তুতকারক,	প্রস্তুতকারক,	
parishromi,	পরিশ্রমী,	পরিশ্রমী,	
teamothi,	তেমথথি,	টিমোথি,	
hyaloyin,	হ্যালোইন,	হ্যালোইন,	
deezni,	ডিজনি,	ডিজনী,	
prothake,	প্রথাকে,	প্রথাকে,	
bishwasho,	বিশ্বাসও,	বিশ্বাসও,	
omorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
bhaandar,	ভান্ডার,	ভাণ্ডার,	
fishing,	ফিশিং,	ফিসিং,	
bhorodwaj,	ভররাাজ,	ভরদ্বাজ,	
omarjeeto,	অমার্জিত,	অমার্জিত,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
fatakesto,	ফটকেস্ট,	ফাটাকেষ্ট,	
anchaltitey,	আঁচলতিতে,	অঞ্চলটিতে,	
coolin,	কুলিং,	কুলিং,	
dibeeta,	দিবীতা,	ডিবেট,	
khilafot,	খিলাফাত,	খিলাফত,	
japanira,	জাপানীরা,	জাপানিরা,	
braille,	ব্রেল,	ব্রেইল,	
phashtara,	ফাস্টার,	ফস্টার,	
vobotarini,	ভবতারীণী,	ভবতারিণী,	
dokan,	ডোকান,	দোকান,	
graambasir,	গ্রামবাসীর,	গ্রামবাসীর,	
aazeez,	আজিজ,	আজিজ,	
somrat,	সম্রাত,	সম্রাট,	
naabyota,	নব্যতা,	নাব্যতা,	
elakati,	এলাকাতি,	এলাকাটি,	
bibechya,	বিবেছ্য,	বিবেচ্য,	
shatokeo,	শতকেও,	শতকেও,	
robotic,	রোবটিক,	রোবোটিক,	
asthisandhi,	অস্থিনন্দ্বী,	অস্থিসন্ধি,	
sookumari,	সুকুমারি,	সুকুমারী,	
bajhyo,	বাঝ্য,	বাহ্য,	
nikataner,	নিকটনের,	নিকেতনের,	
sarolyo,	সরল্য,	সারল্য,	
crescenter,	ক্র্সেস্ন্টের,	ক্রিসেন্টের,	
nirgaman,	নির্জামান,	নির্গমন,	
kompeeto,	কম্পাইট,	কম্পিত,	
gronthei,	গ্রন্থেই,	গ্রন্থেই,	
definishhion,	ডেফিনিশন,	ডেফিনেশন,	
jivjontu,	জীবন্ত,	জীবজন্তু,	
musalmanke,	মুসলম্ঞানকে,	মুসলমানকে,	
longhoner,	লঙ্ঘনের,	লংঘনের,	
phulkapi,	ফুলকাপি,	ফুলকপি,	
veenis,	ভিনিশ,	ভেনিস,	
iash,	আয়স,	আইএএস,	
bhenama,	ভেনামা,	ভেনম,	
elakate,	এলাকাতে,	এলাকাতে,	
obhijojon,	অভিযোজন,	অভিযোজন,	
madrasi,	মাদরাসী,	মাদ্রাজি,	
vimsen,	ভিমসেন,	ভীমসেন,	
abodamoner,	অবদামনের,	অবদমনের,	
choudhureeke,	চৌধুরিকে,	চৌধুরীকে,	
landing,	লন্ডিং,	ল্যান্ডিং,	
azaadeer,	আজাদির,	আজাদীর,	
protisthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
ganosochetonota,	গণচসনেতনা,	গণসচেতনতা,	
foridi,	ফরীদি,	ফরিদী,	
anciint,	অ্যান্সন্ট,	এনসিয়েন্ট,	
udvaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
meg,	মেগ,	মেগ,	
istone,	ইস্টন,	স্টোন,	
musolmanderkey,	মুসলমন্দরনকে,	মুসলমানদেরকে,	
qaferderkey,	কাফেরদেরকে,	কাফেরদেরকে,	
mehnotti,	মেহনাট্টি,	মেহনতি,	
bujhechhila,	বুঝেছিল,	বুঝেছিল,	
otiiteo,	অতিতেও,	অতীতেও,	
ganaparibahaner,	গণপরিবাহনের,	গণপরিবহনের,	
vdp,	ডিডিপি,	ভিডিপি,	
firoze,	ফিরোজে,	ফিরোজ,	
coda,	কোড,	কোডা,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
nirbahey,	নির্বাহে,	নির্বাহে,	
besur,	বেসুর,	বেসুর,	
cinematographer,	সিনেমগগ্রাফের,	সিনেমাটোগ্রাফার,	
laiseensa,	লাইসেন্স,	লাইসেন্স,	
onchalti,	অঞচলতি,	অঞ্চলটি,	
reshidensha,	রেসিডেন্স,	রেসিডেন্স,	
karor,	কারর,	কারোর,	
allahabadey,	আলাহাবাদে,	এলাহাবাদে,	
shreechoitonyodeb,	শ্রীচৈণদদ্যদে,	শ্রীচৈতন্যদেব,	
anchalkey,	আঞ্চলকে,	অঞ্চলকে,	
chalachchitrai,	চলচ্চিত্রই,	চলচ্চিত্রই,	
inamila,	ইনামিল,	এনামেল,	
akkash,	এক্াশ,	আককাস,	
bruklin,	ব্রুকলিন,	ব্রুকলিন,	
teknokrat,	টেকনোক্রাট,	টেকনোক্র্যাট,	
jonopoth,	জনপথ,	জনপথ,	
batikromi,	বাতিক্রমী,	ব্যতিক্রমী,	
tauki,	তাউকি,	তকি,	
informeson,	ইনফর্মেশন,	ইনফরমেশন,	
shkolastic,	স্কলাস্টিক,	স্কলাস্টিক,	
maile,	মেলে,	মাইলি,	
pouchhute,	পৌঁছুতে,	পৌঁছুতে,	
ishpredshhit,	ইস্প্রেডসিস,	স্প্রেডশীট,	
queri,	কিউরি,	কোয়েরি,	
onkita,	অংকিত,	অঙ্কিতা,	
longghon,	লঙ্ঘন,	লংঘন,	
darji,	দার্জি,	দরজি,	
tukrote,	তুকরোতে,	টুকরোতে,	
ojuhat,	অজুহাট,	অজুহাত,	
teempaleeta,	টেম্পালট,	টেম্পলেট,	
boudhher,	বৌদ্ধের,	বৌদ্ধের,	
gandagol,	গণ্ডগোল,	গন্ডগোল,	
metroopoolitan,	মেট্রোপ্রিটান,	মেট্রোপলিটন,	
poripake,	পরিপাকে,	পরিপাকে,	
nama,	নামা,	নমো,	
shikshakder,	শিক্ষাকদের,	শিক্ষকদের,	
tophaat,	টফাত,	তফাৎ,	
shhikha,	শিখা,	শিখ,	
basuki,	বাুুকি,	বাসুকি,	
rajatwa,	রাজত্ব,	রাজত্ব,	
uthane,	উঠানে,	উঠানে,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
swostir,	স্বত্তির,	স্বস্তির,	
byaaran,	ব্যারন,	ব্যারন,	
bholapuqa,	ভোলাপুকা,	ভোলাপুক,	
kredit,	ক্রেডিট,	ক্রেডিট,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
tarunke,	তারুণকে,	তরুণকে,	
cakee,	কেক,	কেকে,	
gaichey,	গাইছে,	গাইছে,	
rokibul,	রকিবুল,	রকিবুল,	
aamontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
veenus,	ভিনাস,	ভেনাস,	
antarbhukta,	অন্ন্তভুক্ত,	অন্তর্ভুক্ত,	
saamaanyai,	সামান্যই,	সামান্যই,	
prapokke,	প্রাপককে,	প্রাপককে,	
dakteekite,	ডাক্তিকীতে,	ডাকটিকিটে,	
pitthey,	পিঠে,	পীঠে,	
methaner,	মেথানের,	মিথেনের,	
auttacharer,	অট্চাচরের,	অত্যাচারের,	
sabchey,	সবচে,	সবচে,	
besirvagei,	বেশীরভাগেই,	বেশিরভাগেই,	
eksapresana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
sachetanbhabe,	সচেতননতভাবে,	সচেতনভাবে,	
macho,	মাচ,	মাছও,	
bhogni,	ভগ্নী,	ভগ্নী,	
ghesei,	ঘেসেই,	ঘেঁষেই,	
heja,	হেজা,	হেজ,	
ostader,	অষ্টাদের,	ওস্তাদের,	
rijur,	রিজুর,	রিজুর,	
chinto,	চিন্ত,	চিনতো,	
cheelona,	ছিলনা,	ছিলনা,	
oitihya,	ঐতিহ্য,	ঐতিহ্য,	
shkolashtic,	স্কলাস্টিক,	স্কলাস্টিক,	
bi,	বি,	বি,	
ghatkey,	ঘটকে,	ঘাটকে,	
olpo,	ওল্প,	অল্প,	
townsip,	তাউন্পি,	টাউনশিপ,	
gronther,	গ্রন্থের,	গ্রন্থের,	
shcholastic,	স্কলাস্টিক,	স্কলাস্টিক,	
poddhotitei,	পদ্ধতিতেই,	পদ্ধতিতেই,	
karu,	কারু,	কারো,	
phartha,	ফোর্থ,	ফার্থ,	
uporital,	উপর্টাল,	উপরিতল,	
heenna,	হিন্না,	হেনা,	
reetesh,	রীটেস,	রিতেশ,	
nikate,	নিকাতে,	নিকটে,	
manab,	মানব,	মানব,	
benj,	বেঞ্জ,	বেঞ্জ,	
notikotar,	নতীকতার,	নৈতিকতার,	
eporjonto,	এপর্যন্ত,	এপর্যন্ত,	
drishyokey,	দৃষ্যকে,	দৃশ্যকে,	
dheke,	ঢেকে,	ঢেকে,	
vabnakey,	ভাবনাকে,	ভাবনাকে,	
eenasiyeenta,	ইনসাইন্টেন,	এনসিয়েন্ট,	
nirgomon,	নির্জমন,	নির্গমন,	
ajuhat,	অজুহাট,	অজুহাত,	
tatira,	তততিরা,	তাঁতিরা,	
mukhmondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
noveel,	নোভেল,	নভেল,	
upostheetir,	উপস্থিতির,	উপস্থিতির,	
ghesa,	ঘেসা,	ঘেঁষা,	
durgondher,	দুর্ঘন্ধের,	দুর্গন্ধের,	
sqora,	স্কোর,	স্কোর,	
gondogol,	গণ্ডগোল,	গন্ডগোল,	
maailkhanek,	মাইলখানেক,	মাইলখানেক,	
shoodhooi,	সুধুই,	শুধুই,	
babona,	বাবনা,	বাবনা,	
mehonoti,	মেহনতী,	মেহনতি,	
canservatian,	কনজারভেশেন,	কনসারভেশন,	
timothi,	তিমথি,	টিমোথি,	
janar,	জানার,	জানার,	
duncan,	ডান্কন,	ডানকান,	
orunima,	অরুনিমা,	অরুণিমা,	
protyokkhovabey,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
meghacchonno,	মেঘাচন্যনন,	মেঘাচ্ছন্ন,	
tenise,	ট্যানিসে,	টেনিসে,	
goore,	গুরে,	গোর,	
firoja,	ফিরজা,	ফিরোজা,	
benis,	বেনিশ,	ভেনিস,	
edmeeral,	এডিমেরাল,	এডমিরাল,	
fiksing,	ফিক্সিং,	ফিক্সিং,	
indr,	ইন্ড্র,	ইন্দ্র,	
neker,	নেকের,	নেকের,	
satarkatar,	সর্তকতার,	সতর্কতার,	
ongshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
goodamjato,	গুদামজাত,	গুদামজাত,	
barbaadoj,	বার্বাদোজ,	বার্বাডোজ,	
prakalpogulo,	প্রকল্লগুলো,	প্রকল্পগুলো,	
bandhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
sangosthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
ganonatto,	গণনাত্ত,	গণনাট্য,	
niurolaji,	নিউরোলাজি,	নিউরোলজি,	
diphinishion,	ডিফিনিশন,	ডেফিনেশন,	
avishangson,	অভিসংসন,	অভিশংসন,	
chhatogolper,	ছোটোগল্পের,	ছোটগল্পের,	
bopon,	বোপন,	বপন,	
siddhanter,	সিদ্ধান্তের,	সিদ্ধান্তের,	
wedanta,	বদদন্ত,	বেদান্ত,	
gejeted,	গেজেটেড,	গেজেটেড,	
oncoltike,	অনচলতিকে,	অঞ্চলটিকে,	
thailyanda,	থাইল্যান্ড,	থাইল্যান্ড,	
boudhheer,	বৌদ্ধীর,	বৌদ্ধের,	
plane,	প্ল্যানে,	প্লেন,	
chowdhurir,	চৌধুরির,	চৌধুরীর,	
padarthabid,	পদার্থবিদ,	পদার্থবিদ,	
sikhbe,	শিখভে,	শিখবে,	
udbodhone,	উদ্বোধনে,	উদ্বোধনে,	
prasadhani,	প্রসাধানী,	প্রসাধনী,	
residance,	রেসিডেন্স,	রেসিডেন্স,	
dajyo,	দাজ্য,	দাহ্য,	
