antarbhuttirmulok,	অন্তর্ভূত্ূমূলক,	অন্তর্ভুক্তিমূলক,	
carlos,	কার্লস,	কার্লোস,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
phareeksa,	ফরেক্স,	ফরেক্স,	
estoniya,	এস্টোনিয়া,	এস্তোনিয়া,	
orthonitike,	অর্থনীটিকে,	অর্থনীতিকে,	
aholar,	অহলার,	অহল্যার,	
laishenshim,	লাসেন্সিং,	লাইসেন্সিং,	
samajer,	সমাজের,	সমাজের,	
annarup,	অন্নরূপ,	অন্যরূপ,	
dharmantor,	ধর্মনন্তর,	ধর্মান্তর,	
fand,	ফাঁদ,	ফান্ড,	
shource,	সোর্সে,	সোর্স,	
dharabahiktite,	ধারাবিক্তিতে,	ধারাবাহিকটিতে,	
bibadey,	বিবাদে,	বিবাদে,	
istoone,	স্টাহুন,	স্টোন,	
dooburir,	দুবুরির,	ডুবুরির,	
milton,	মিল্টন,	মিলটন,	
homser,	হোমসের,	হোমসের,	
suhasini,	সুহাসিনী,	সুহাসিনী,	
helloin,	হেলেইন,	হ্যালোইন,	
neemeetto,	নিমেত্ত,	নিমিত্ত,	
recondition,	রেকন্ডেশন,	রিকন্ডিশন,	
bongshoke,	বংশকে,	বংশকে,	
kemone,	কেমনে,	কেমনে,	
nikot,	নিকট,	নিকট,	
shaajaano,	সাজানো,	সাজানো,	
sushikkhar,	সুশিক্ষার,	সুশিক্ষার,	
tiunar,	টিউনার,	টিউনার,	
braille,	ব্রেল,	ব্রেইল,	
tarbiner,	টার্বিনের,	টারবাইনের,	
said,	সেড,	সাইদ,	
onnkita,	অংকটিত,	অঙ্কিতা,	
pragress,	প্রগ্রেস,	প্রগ্রেস,	
jacksoner,	যক্ষণের,	জ্যাকসনের,	
armstrang,	অর্মস্ট্রিং,	আর্মস্ট্রং,	
saqara,	সককর,	সকার,	
pothnatok,	পথনাতক,	পথনাটক,	
nirmol,	নির্মল,	নির্মল,	
ghoomachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
santani,	সন্তানী,	সনাতনী,	
shkirt,	স্কার্ট,	স্কার্ট,	
rudrake,	রুদ্রাকে,	রুদ্রকে,	
bm,	বিএমএ,	বিএম,	
homeske,	হোমেসকে,	হোমসকে,	
kunty,	কান্টি,	কুন্তী,	
bisshonath,	বিষ্বনাথ,	বিশ্বনাথ,	
kamola,	কমলা,	কামলা,	
ishtara,	ইস্টার,	ইস্টার,	
pustir,	পুস্তির,	পুষ্টির,	
nabhela,	নাভেল,	নভেল,	
prodan,	প্রদান,	প্রদাণ,	
laaz,	লাজ,	লাজ,	
jyoistho,	জ্যুষ্ঠ,	জ্যৈষ্ঠ,	
chandrimaa,	চন্দ্রিমা,	চন্দ্রিমা,	
kormer,	কর্মের,	কর্মের,	
toronee,	তরণী,	তরণী,	
lettar,	লেটার,	লেটার,	
parikha,	পরীক্ষা,	পরিখার,	
alankaran,	অলংকরণ,	অলঙ্করণ,	
jamjomat,	জামজমত,	জমজমাট,	
dovaar,	দোভার,	ডোভার,	
rajbondi,	রাজবন্দী,	রাজবন্দী,	
baharamporer,	বহরামপুরের,	বহরমপুরের,	
jaank,	জাংক,	জাঁক,	
prokalpagulor,	প্রকল্যপুলোর,	প্রকল্পগুলোর,	
karadanda,	কারাদন্ড,	কারাদণ্ড,	
khele,	খেলে,	খেলে,	
akkaas,	একাশ,	আককাস,	
arasie,	আরসসী,	আরসিএ,	
zesa,	জেস,	জেস,	
sotorkokaree,	সরকরকাাী,	সতর্ককারী,	
faltu,	ফল্টু,	ফালতু,	
dosheeder,	দশীদের,	দোষীদের,	
nathivuktir,	নথিভূক্তির,	নথিভুক্তির,	
ponjeekaar,	পঞ্জিকার,	পঞ্জিকার,	
loha,	লোহ,	লোহা,	
amiretus,	অ্যামেরাস,	এমিরেটাস,	
elakatey,	এলাকাতে,	এলাকাতে,	
meetropolitan,	মেট্রোপলিটান,	মেট্রোপলিটন,	
veenicee,	ভেনিসে,	ভেনিস,	
poorohitra,	পুরোহিত্র,	পুরোহিতরা,	
shootar,	শূতার,	শ্যুটার,	
booth,	বুঠ,	বুথ,	
pachbar,	পাচবার,	পাঁচবার,	
puzita,	পূজিতা,	পূজিতা,	
nodiitike,	নদীতীকে,	নদীটিকে,	
teenisa,	টেনিসা,	টেনিস,	
teteyer,	তিতের,	টেটের,	
romjaner,	রমজানের,	রমযানের,	
janoganonar,	জনগণনার,	জনগণনার,	
buffar,	বাফার,	বাফার,	
danut,	দানাতু,	ডোনাট,	
sazanor,	সজানর,	সাজানোর,	
mohammadi,	মোহাম্মদী,	মুহাম্মদী,	
dinnar,	দিননার,	ডিনার,	
serverer,	সার্ভারের,	সার্ভারের,	
kule,	কূলে,	কুলে,	
udvabane,	উদ্ভবনে,	উদ্ভাবনে,	
chamsky,	চামসকি,	চমস্কি,	
bairey,	বেরে,	বাইরে,	
abhidhaneek,	অভিধানিক,	অভিধানিক,	
vogiroth,	ভোগীরথ,	ভগীরথ,	
marodeha,	মারোদেহ,	মরদেহ,	
mit,	মিত,	এমআইটি,	
anurbor,	অনুর্বর,	অনুর্বর,	
taivan,	টাইভান,	তাইওয়ান,	
koro,	কর,	করো,	
bholapuka,	ভোলপুকা,	ভোলাপুক,	
tuner,	টানের,	টিউনার,	
sherup,	শেরুপ,	সেরূপ,	
arekdal,	অরেকদাল,	আরেকদল,	
heeja,	হেজ,	হেজ,	
noren,	নরেন,	নরেন,	
dubate,	দুবাতে,	ডুবাতে,	
gemi,	জেমি,	জেমি,	
vedanta,	ভেদান্ত,	বেদান্ত,	
dakshinangsha,	দক্ষিণাংশ,	দক্ষিণাংশ,	
oitijjhey,	ঐতিজ্যে,	ঐতিহ্যে,	
podarthobid,	পদার্থবিদ,	পদার্থবিদ,	
andamana,	আন্দমমন,	আন্দামান,	
dadader,	দাদাদের,	দাদাদের,	
ajimpur,	আজিমপুর,	আজিমপুর,	
venus,	ভেনাস,	ভেনাস,	
soinyora,	সৈন্যরা,	সৈন্যরা,	
jerusalema,	জারুসালেম,	জেরুসালেম,	
sibiai,	সিবিয়ে,	সিবিআই,	
mitro,	মিত্র,	মিত্রও,	
nothibhookta,	নথিভূক্ত,	নথিভুক্ত,	
geans,	জেনস,	জিন্স,	
maudelgulo,	মুদেলগুলো,	মডেলগুলো,	
kottor,	কোটর,	কট্টর,	
stone,	স্তনে,	স্টোন,	
idipasha,	ইদিপাস,	ইডিপাস,	
aziz,	আজিজ,	আজিজ,	
jolatongko,	জলাতঙ্ক,	জলাতঙ্ক,	
norfolq,	নরফল্ক,	নরফোক,	
ganoporibahoner,	গণপরিবহনের,	গণপরিবহনের,	
kkhur,	ক্ষুর,	ক্ষুর,	
sadbi,	সবদী,	সাধ্বী,	
ispreedsheet,	ইস্পেরেসট,	স্প্রেডশীট,	
arthanitike,	অর্থনীটিকে,	অর্থনীতিকে,	
sawom,	সাম,	সাওম,	
chasee,	চাষী,	চেস,	
koilaash,	কৈলাশ,	কৈলাস,	
pustio,	পুস্তিও,	পুষ্টি,	
karadander,	কারাদন্ডের,	কারাদণ্ডের,	
bibhonno,	বিভন্ন,	বিভন্ন,	
kaloniir,	কালনীর,	কালনীর,	
rk,	ররকি,	আরকে,	
soochonakal,	সূচনাকাল,	সূচনাকাল,	
sucre,	সাচর,	সাকার,	
uparjoner,	উপারজনের,	উপার্জনের,	
grantho,	গ্রন্থ,	গ্রন্থ,	
badaghat,	বাদাঘাট,	বাদাঘাট,	
paikgachha,	পাইকগাছ,	পাইকগাছা,	
nitikatha,	নীতিকথা,	নীতিকথা,	
ebhara,	এভার,	এভার,	
grambaseeder,	গ্র্মাবাসীদের,	গ্রামবাসীদের,	
soshej,	সষেজ,	সসেজ,	
astheesandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
suri,	সুরি,	সুরি,	
indro,	ইন্দ্র,	ইন্দ্র,	
antarbhutto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
lotharan,	লাারণ,	লুথেরান,	
olimpiker,	অলিম্পিকের,	অলিম্পিকের,	
shpredshiit,	স্প্রদেশিত,	স্প্রেডশীট,	
sabche,	সবচে,	সবচে,	
mausumeo,	মৌসমিও,	মৌসুমেও,	
chyeta,	চ্যাট,	চ্যাট,	
jolorong,	জলরাং,	জলরঙ,	
jacksan,	যক্ষণ,	জ্যাকসন,	
opadan,	ওপাদান,	অপাদান,	
mononiitoder,	মনোনীতদের,	মনোনীতদের,	
difinision,	ডিফিনিশন,	ডেফিনেশন,	
promoshone,	প্রমোশনে,	প্রোমোশনে,	
basturyi,	বস্তুরি,	বস্তুরই,	
brittakarey,	বৃত্যকারে,	বৃত্তাকারে,	
lendl,	লেন্ড,	লেন্ডল,	
romantiqa,	রোমন্টিক,	রোমান্টিক,	
chani,	চানি,	ছানি,	
boponer,	বপনের,	বপনের,	
conphlikt,	কনফল্ক্ট,	কনফ্লিক্ট,	
tiger,	টিগের,	টাইগার,	
sooresh,	সুরেশ,	সুরেশ,	
chorban,	চর্বন,	চর্বন,	
alympic,	অলিম্পিক,	অলিম্পিক,	
mmadhobbir,	মাধবেরি,	মাধবীর,	
turkii,	তুর্কী,	তুর্কি,	
gajetted,	গেজেটেড,	গেজেটেড,	
bhenisha,	ভেনিস,	ভেনিস,	
jacker,	যাকের,	জ্যাকের,	
hatodaridra,	হটোডরদর্,	হতদরিদ্র,	
raagee,	রাগী,	রাগী,	
shiqara,	সিকার,	শিকার,	
puncho,	পুঁচ,	পুঞ্চ,	
deily,	দেইলি,	ডেইলি,	
militari,	মিলিটারী,	মিলিটারি,	
shasonkorta,	শাসনকর্তা,	শাসনকর্তা,	
ragei,	রাগেই,	রাগেই,	
kalki,	কল্কি,	কালকি,	
beekargrasta,	বিকর্গগ্রস্ট,	বিকারগ্রস্ত,	
venkotesh,	ভেক্কটেশ,	ভেঙ্কটেশ,	
goora,	গুর,	গোর,	
idyi,	এদি,	আইডিই,	
skolarseep,	স্কলারশিপ,	স্কলারশিপ,	
rajon,	রজন,	রাজন,	
dhojovongo,	ধজভঙ্য,	ধ্বজভঙ্গ,	
moshjidti,	মসিজদ্দি,	মসজিদটি,	
inamil,	ইনামিল,	এনামেল,	
ongkita,	অংকিতা,	অঙ্কিতা,	
damdor,	দমদদর,	দামদর,	
palashir,	পালসির,	পলাশীর,	
ojowno,	অযোন্য,	অযৌন,	
ayadabhanshada,	অ্যাদভনস,	অ্যাডভান্সড,	
madhukooree,	মাধুকরি,	মাধুকরী,	
kompekt,	কম্পেক্ট,	কমপ্যাক্ট,	
munim,	মুনিং,	মুনিম,	
ikbalke,	ইকবলকে,	ইকবালকে,	
oitijjer,	ঐতিজ্যের,	ঐতিহ্যের,	
minister,	মিনিস্টার,	মিনিস্টার,	
shrabastee,	শ্রবাসটি,	শ্রাবস্তী,	
gaddaphii,	গদ্ডফি,	গাদ্দাফী,	
gavashkar,	গভাষকার,	গাভাস্কার,	
aatto,	আট্ব,	আত্ম,	
udbodhoney,	উদ্বোধনে,	উদ্বোধনে,	
sikkhokke,	শিক্ষককে,	শিক্ষককে,	
khuni,	খুনী,	খুনি,	
ranangoney,	রণাঙ্গনে,	রণাঙ্গনে,	
naobihar,	নৌবিহার,	নৌবিহার,	
treta,	ট্রেট,	ত্রেতা,	
don,	ডন,	দোন,	
tamplate,	টাম্পলেট,	টেম্পলেট,	
saarbhaare,	সারভারে,	সার্ভারে,	
nirmankaaj,	নির্মাণকাজ,	নির্মাণকাজ,	
ajauno,	অযোন,	অযৌন,	
assoociates,	অ্যাসোসিয়েস,	এসোসিয়েটস,	
moreecha,	মরিচা,	মরিচা,	
korimpoor,	করিমপুর,	করিমপুর,	
growth,	গ্রথ,	গ্রোথ,	
firoj,	ফিরোজ,	ফিরোজ,	
moomtaj,	মুতমাজ,	মুমতাজ,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসই,	
manob,	মানব,	মানব,	
konar,	কোণার,	কণার,	
hitokor,	হিটককর,	হিতকর,	
antarctica,	অন্তর্কটিকা,	অ্যান্টার্কটিকা,	
banijyikvittey,	বানিজ্যিকভিতে,	বাণিজ্যিকভিত্তিতে,	
kyatagorir,	ক্যাটাগরির,	ক্যাটাগরির,	
palestinea,	পলেস্টিনে,	প্যালেস্টাইনে,	
hoteelti,	হটিলটি,	হোটেলটি,	
chondrimaa,	চন্দ্রিমা,	চন্দ্রিমা,	
sedikei,	সেদিকেই,	সেদিকেই,	
fridom,	ফ্রিডম,	ফ্রীডম,	
yatharthabhabe,	যথর্থভাবে,	যথার্থভাবে,	
ketechilo,	কেটেছিল,	কেটেছিল,	
samley,	সামলে,	সামলে,	
gosti,	গস্তী,	গোষ্ঠী,	
chalachchitroke,	চলচ্ছিত্রকে,	চলচ্চিত্রকে,	
hooq,	হোক,	হুক,	
armshtrong,	আরম্স্ট্রিং,	আর্মস্ট্রং,	
veenus,	ভিনাস,	ভেনাস,	
paadee,	পাদি,	পাড়ে,	
narider,	নারীদের,	নারীদের,	
melborrone,	মেলবররণে,	মেলবোর্নে,	
koyeeri,	কায়েরি,	কোয়েরি,	
natunatwa,	নতুনত্ব,	নতুনত্ব,	
felto,	ফেল্ট,	ফেলত,	
ancholsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
inasiyinta,	এনসসিইট্ট,	এনসিয়েন্ট,	
haluder,	হালুদের,	হলুদের,	
peterkey,	পিতারকে,	পিটারকে,	
samajeri,	সামেজিরি,	সমাজেরই,	
mooldoova,	মোল্ডভা,	মলদোভা,	
ayantarqatiqa,	অ্যান্টররকটিক,	অ্যান্টার্কটিকা,	
dooborira,	দুবরিরা,	ডুবুরিরা,	
narafoka,	নারফোক,	নরফোক,	
labonaktatar,	লবনাক্ততা,	লবণাক্ততার,	
iran,	আইরন,	ইরান,	
mitroyo,	মিত্রও,	মিত্রও,	
musalmanke,	মুসল্মণকে,	মুসলমানকে,	
utkhat,	উত্খাত,	উত্খাত,	
lokhindare,	লোক্িষ্ণদরে,	লখিন্দরের,	
foloshrutite,	ফলাস্টুটি,	ফলশ্রুতিতে,	
teto,	ততো,	তেতো,	
haran,	হরণ,	হারান,	
rajtontrey,	রাজতন্ত্রে,	রাজতন্ত্রে,	
labanaktotar,	লবনাক্ততা,	লবণাক্ততার,	
akram,	একরাম,	আকরাম,	
veenish,	ভিনিস,	ভেনিস,	
kyandi,	ক্যান্ডি,	ক্যান্ডি,	
goori,	গুরি,	গোরি,	
shomratder,	সমরতদের,	সম্রাটদের,	
qiuti,	কিউটি,	কিউটি,	
siit,	সীট,	শীত,	
sqolastic,	স্কলস্টিক,	স্কলাস্টিক,	
agradut,	আগ্রাদুত,	অগ্রদূত,	
durvagyo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
dweepkey,	দ্বীপকে,	দ্বীপকে,	
korim,	করিম,	করিম,	
techno,	টেকনো,	টেকনো,	
satarkobhabe,	সার্কাভাবে,	সতর্কভাবে,	
ganonatto,	গণণাট্য,	গণনাট্য,	
kutir,	কুটির,	কুটির,	
ajouno,	অযোনন,	অযৌন,	
sqora,	স্কোরা,	স্কোর,	
shoshar,	সোসার,	সকার,	
elaka,	এলাকা,	এলাকা,	
udbodhony,	উদ্বোধনে,	উদ্বোধনী,	
moofti,	মুফতী,	মুফতি,	
rohoshyor,	রহস্যর,	রহস্যর,	
loukikotaa,	লৌকিকতা,	লৌকিকতা,	
routiner,	রাউটিনের,	রুটিনের,	
nathivookto,	নথিভূক্ত,	নথিভুক্ত,	
bordhitangso,	বর্ধিতাংশ,	বর্ধিতাংশ,	
kiuti,	কিউটি,	কিউটি,	
krej,	ক্রেজ,	ক্রেজ,	
asaciates,	অসাসিয়েটস,	এসোসিয়েটস,	
sulfate,	সালফাতে,	সালফেট,	
daloo,	দালু,	ডালু,	
nondolal,	নন্দলাল,	নন্দলাল,	
dhyanastho,	ধ্যানস্থ,	ধ্যানস্থ,	
skora,	স্কোরা,	স্কোর,	
saseja,	সাষেজা,	সসেজ,	
stalin,	স্তালিন,	স্টালিন,	
sommoteete,	সম্মতিতে,	সম্মতিতে,	
vishnu,	ভিষ্ণু,	বিষ্ণু,	
ashshociatesh,	অ্যাসোসিয়েসি,	এসোসিয়েটস,	
samanwitavabe,	সামানিতভাবে,	সমন্বিতভাবে,	
qrita,	কৃত,	ক্রীট,	
heena,	হেন,	হেনা,	
aamude,	আমুদে,	আমুদে,	
eporjanta,	এপর্যান্ত,	এপর্যন্ত,	
cholesi,	চলেসি,	চলেছি,	
japanira,	জাপানীরা,	জাপানিরা,	
bikretader,	বিক্রেতাদের,	বিক্রেতাদের,	
khaaneker,	খানেকের,	খানেকের,	
kara,	কারা,	কারো,	
kabutorer,	কাবুটরের,	কবুতরের,	
palki,	পলকি,	পাল্কি,	
maunchostho,	মন্চস্থ,	মঞ্চস্থ,	
riphleeksa,	রাইফেল্স,	রিফ্লেক্স,	
muhu,	মুহু,	মুহু,	
parishromi,	পরিষ্রম,	পরিশ্রমী,	
aamudey,	আমুদে,	আমুদে,	
nadnodir,	নদনডির,	নদনদীর,	
bbiswasho,	বিশ্বাসও,	বিশ্বাসও,	
jathaartho,	যথার্থ,	যথার্থ,	
vabotarini,	ভভাতরিনী,	ভবতারিণী,	
fake,	ফাককে,	ফাকে,	
chalachchitreo,	চলচ্ছতির্যে,	চলচ্চিত্রেও,	
maley,	মালে,	মালে,	
pratishta,	প্রতিষ্ট,	প্রতিষ্টা,	
eling,	এলিং,	ইলিং,	
chaakaa,	চাকা,	চাকা,	
conshervation,	কনজ্রেভশন,	কনসারভেশন,	
keraam,	কেরাম,	কেরাম,	
petenter,	পেটেন্টের,	পেটেন্টের,	
mette,	মেটে,	ম্যাট,	
rubala,	রুবাল,	রুবল,	
satarkakaree,	সর্তককারী,	সতর্ককারী,	
dibet,	দিবেত,	ডিবেট,	
shoriph,	শরীফ,	শরিফ,	
troop,	ট্রুপ,	ট্রুপ,	
chamoski,	চামসকি,	চমস্কি,	
daaktikite,	দাক্তিকটি,	ডাকটিকিটে,	
kool,	কোল,	কুল,	
sahosikotar,	সহসিকতার,	সাহসিকতার,	
grambaseeo,	গ্রাম্বাসীও,	গ্রামবাসীও,	
somonwitobhabey,	সমানীতভাবে,	সমন্বিতভাবে,	
bidrup,	বিদ্রুপ,	বিদ্রূপ,	
aminool,	আমিনুল,	আমিনুল,	
roobi,	রুবি,	রুবি,	
monoputo,	মনোপত,	মনঃপুত,	
ghesei,	ঘেষেই,	ঘেঁষেই,	
taoonsheep,	তুনশীপ,	টাউনশিপ,	
abhidhaaner,	অভিধানের,	অভিধানের,	
gandhike,	গান্ধকি,	গান্ধীকে,	
statione,	স্টেশনে,	ষ্টেশনে,	
daaun,	ডাউন,	ডাউন,	
parqasa,	পার্কস,	পার্কস,	
coolin,	কুলিন,	কুলিং,	
hizriite,	হিজরিতে,	হিজরীতে,	
dwipgulo,	দ্বিপগুলো,	দ্বীপগুলো,	
sinematographar,	সিনেমোগ্রফরফ,	সিনেমাটোগ্রাফার,	
paramartha,	পরমার্থ,	পরমার্থ,	
ganoparibahan,	গণপরিবহন,	গণপরিবহন,	
aazeez,	আজিজ,	আজিজ,	
atitkaale,	অতিতকালে,	অতীতকালে,	
dormetory,	ডরমেটরি,	ডরমিটরি,	
ghotol,	ঘটল,	ঘটল,	
konagulo,	কোনগুলো,	কণাগুলো,	
shreemati,	শ্রীমতী,	শ্রীমতি,	
horinner,	হরিন্নের,	হরিণের,	
phood,	ফুড,	ফুড,	
prithibir,	পৃথিবীর,	পৃথবীর,	
vimsen,	ভিমসেন,	ভীমসেন,	
templete,	টেম্পলেট,	টেম্পলেট,	
gondho,	গন্ধ,	গন্ধ,	
gonohottake,	গণহত্তাকে,	গণহত্যাকে,	
armenian,	আরমেনিয়ান,	আর্মেনিয়ান,	
madhyekar,	মাধ্যকার,	মধ্যেকার,	
elaakati,	এলাকাটি,	এলাকাটি,	
aatmobishwasi,	আত্মবিবশাসী,	আত্মবিশ্বাসী,	
dhaloor,	ঢালুর,	ঢালুর,	
prachando,	প্রচন্ড,	প্রচণ্ড,	
laabonii,	লাবণী,	লাবনী,	
daily,	দৈলি,	ডেইলি,	
sourse,	সোর্সে,	সোর্স,	
olimpik,	অলিম্পিক,	অলিম্পিক,	
shansthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
bikargrasto,	বিকর্গাস্থ,	বিকারগ্রস্ত,	
vushi,	ভুষি,	ভুষি,	
bhittow,	ভিত্ত,	ভিত্তিও,	
urur,	উরুর,	উরুর,	
bike,	বিকে,	বাইক,	
kaanaai,	কানাই,	কানাই,	
shoti,	শটী,	শোটি,	
dristiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
fanse,	ফাঁসে,	ফাঁসে,	
longhan,	লঙ্ঘন,	লংঘন,	
chaudhurir,	চৌধুরির,	চৌধুরীর,	
fiksim,	ফিকসিম,	ফিক্সিং,	
karadande,	কারাদন্ডে,	কারাদণ্ডে,	
koyeri,	কায়েরি,	কোয়েরি,	
mukhomondoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
nathivukteer,	নথিভূক্তির,	নথিভুক্তির,	
alexandarkey,	আলেক্স্ান্ডারকে,	আলেকজান্ডারকে,	
hiushtoner,	হিউষ্টনের,	হিউস্টনের,	
daktikite,	দাক্তিকটি,	ডাকটিকিটে,	
sommotite,	সম্যটিতে,	সম্মতিতে,	
skirt,	স্কার্ট,	স্কার্ট,	
phikshim,	ফিকসিম,	ফিক্সিং,	
krusher,	ক্রাশের,	ক্রুশের,	
byaboharkarikey,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
thakeni,	থাকেনি,	থাকেনি,	
danakana,	ডানাকানা,	ডানকান,	
prostut,	প্রস্তুত,	প্রস্ত্তত,	
scholarship,	স্কলারশিপ,	স্কলারশিপ,	
baasake,	বাসাকে,	বাসাকে,	
ashociatesh,	অসোসিয়েসিস,	এসোসিয়েটস,	
haitasa,	হাইটস,	হাইটস,	
gonna,	গন্য,	গননা,	
uponishad,	উপনিষাদ,	উপনিষদ,	
ayantarketika,	অ্যান্টরকেটিক,	অ্যান্টার্কটিকা,	
anurbar,	অনুরবার,	অনুর্বর,	
pravura,	প্রভূর,	প্রভুরা,	
shekarone,	স্কেরোণে,	সেকারণে,	
bandra,	বন্দ্র,	বন্দীরা,	
paade,	পাদে,	পাড়ে,	
townshhip,	টান্সীপ,	টাউনশিপ,	
shooter,	শুটার,	শ্যুটার,	
itostatah,	ইতস্ততাথ,	ইতস্ততঃ,	
ghetu,	ঘেটু,	ঘেটু,	
black,	ব্লক,	ব্ল্যাক,	
akshor,	অক্ষর,	একশোর,	
qaferder,	কাফারদের,	কাফেরদের,	
kaleo,	কলেও,	কালেও,	
parka,	পার্ক,	পার্ক,	
joubanbotii,	যৌবন্তবী,	যৌবনবতী,	
hughkey,	হুঘকে,	হিউজকে,	
birishirite,	বিরিষিটিতে,	বিরিশিরিতে,	
roy,	রই,	রায়,	
taitela,	টাইটেল,	টাইটেল,	
hachchilo,	হচ্ছিল,	হচ্ছিলো,	
dhnoka,	ধোকা,	ধোঁকা,	
temontee,	টেমন্তি,	তেমনটি,	
maladoobha,	মালাদুভা,	মলদোভা,	
rajtantroke,	রাজনতন্ত্রকে,	রাজতন্ত্রকে,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
prodiper,	প্রদিপের,	প্রদীপের,	
tukroke,	তুক্রকে,	টুকরোকে,	
kanader,	কানাডের,	কণাদের,	
ekpaashe,	একপাশে,	একপাশে,	
saphallyar,	সাফল্যার,	সাফল্যের,	
durgandher,	দুর্গন্ধের,	দুর্গন্ধের,	
shotoker,	শতকের,	শতকের,	
tarbine,	টারবিনে,	টারবাইন,	
jaanalo,	জানালো,	জানালো,	
dokanei,	দোকানেই,	দোকানেই,	
chhutee,	ছুটি,	ছুটি,	
eenjil,	এঞ্জেল,	ইঞ্জিল,	
chiraharit,	চিরাহরিত,	চিরহরিৎ,	
juktorashtrosaha,	যুক্তরাস্ত্রহ,	যুক্তরাষ্ট্রসহ,	
shaddhi,	সাধি,	সাধ্বী,	
ghumachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
coda,	কোড,	কোডা,	
pretishta,	প্রেটিস্ট,	প্রতিষ্টা,	
baagica,	বাগিকা,	বাগিচা,	
abotar,	অবতার,	অবতার,	
chalchhe,	চলছে,	চলছে,	
tanteera,	তানতেরা,	তাঁতিরা,	
ganona,	গণনা,	গণনা,	
joubanbati,	যৌবন্তবী,	যৌবনবতী,	
rahee,	রাহি,	রাহী,	
dajjha,	দাজ,	দাহ্য,	
gor,	গর,	গোর,	
nilabha,	নিলভা,	নীলাভ,	
duncan,	ডানকান,	ডানকান,	
ancholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
pray,	প্রে,	প্রায়,	
korkat,	করকত,	কর্কট,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
mugdhota,	মুগ্ধতা,	মুগ্ধতা,	
shahab,	শাহাব,	সাহাব,	
aazaan,	আজান,	আজান,	
elaakaai,	এলাকাই,	এলাকাই,	
prokolpogulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
baek,	ব্যাক,	বাইক,	
apachesta,	অপচেষ্টা,	অপচেষ্টা,	
mojdoor,	মজদুর,	মজদুর,	
totokkhon,	ততক্ষণ,	ততক্ষন,	
zansa,	জনস,	জন্স,	
amar,	আমার,	আমর,	
kanda,	কান্ড,	কাণ্ড,	
tofaat,	তফাট,	তফাৎ,	
koordider,	কুর্দিদের,	কুর্দিদের,	
madhyastha,	মধ্যস্থ,	মধ্যস্থ,	
ewer,	ইভার,	এভার,	
eskol,	এসকল,	এসকল,	
beatleser,	বিটলিসের,	বিটলসের,	
the,	দি,	থাই,	
hiiragana,	হিরাগণ,	হিরাগানা,	
gazee,	গেজ,	গেজ,	
mausumti,	মৌসমটি,	মৌসুমটি,	
mohisho,	মহিশ,	মহিষ,	
domonmulok,	দমনমনলূলক,	দমনমূলক,	
bidghootey,	বিঘুঘতে,	বিদঘুটে,	
parinati,	পরিনতি,	পরিণতি,	
chutir,	ছুটির,	ছুটির,	
dai,	দাই,	ডে,	
ramdhonu,	রামধনু,	রামধনু,	
ragke,	রাগকে,	রাগকে,	
jyesthaa,	জ্যাস্থা,	জ্যেষ্ঠা,	
lokkheryo,	লক্ষেরও,	লক্ষেরও,	
pack,	প্ক,	প্ল্যাক,	
shefard,	সেফার্ড,	শেফার্ড,	
songbadmadhyomer,	সংবাদমাধ্যের,	সংবাদমাধ্যমের,	
somrat,	সমরত,	সম্রাট,	
prodiip,	প্রদীপ,	প্রদীপ,	
hepatetisa,	হাইটোটিস,	হেপাটাইটিস,	
durotamo,	দুরোতম,	দূরতম,	
ghotleo,	ঘটলেও,	ঘটলেও,	
chereche,	চেরেছে,	ছেড়েছে,	
karuna,	করুনা,	করুণা,	
stoona,	স্টোন,	স্টোন,	
bibek,	বিবেক,	বিবেক,	
ministara,	মিনিস্টার,	মিনিস্টার,	
ralf,	রাল্ফ,	রালফ,	
bhorpur,	ভোরপুর,	ভরপুর,	
naniir,	নানীর,	নানীর,	
jolaatonko,	জলাত্্ক,	জলাতঙ্ক,	
bhumijo,	ভূমিজ,	ভূমিজ,	
meshenger,	মেসেন্জের,	মেসেঞ্জার,	
masjidtikey,	মাজিজদিটি,	মসজিদটিকে,	
nirvachoker,	নির্বাচকের,	নির্বাচকের,	
sontoshe,	সন্ততেষে,	সন্তোষে,	
bites,	বিটেশ,	বাইটস,	
arop,	অরোপ,	আরোপ,	
kredita,	ক্রেডিত,	ক্রেডিট,	
ganonanatto,	গণণণাত্ত,	গণনাট্য,	
baharamapurer,	বহরামাপুরের,	বহরমপুরের,	
