dhonuker,	ধ্নুকের,	ধনুকের,	
korito,	করিত,	করিত,	
banaparte,	বনপর্তে,	বোনাপার্ট,	
raama,	রামা,	রামা,	
korunar,	করুনার,	করুণার,	
nowdaa,	নৌডা,	নওদা,	
satarkotamulok,	সতারকাতমূলক,	সতর্কতামূলক,	
donaald,	ডোনাল্ড,	ডোনাল্ড,	
encryption,	এনক্রিপশন,	এনক্রিপশন,	
murali,	মুরালি,	মুরালি,	
metthew,	মেঠেও,	ম্যাথু,	
leeafleet,	লেফলেট,	লিফলেট,	
kutire,	কুটিরে,	কুটিরে,	
dharabahikatar,	ধারাবাহিকতার,	ধারাবাহিকতার,	
aarakne,	আরক্ষে,	আরাকানে,	
bonjongol,	বনযোঙল,	বনজঙ্গলে,	
bouddhader,	বৌদ্ধদের,	বৌদ্ধদের,	
saleem,	সালিম,	সালিম,	
fuds,	ফাস,	ফুডস,	
chabiti,	ছবিটি,	চাবিটি,	
meghera,	মেঘেরা,	মেঘেরা,	
oporupa,	অপরূপা,	অপরূপা,	
khunjchila,	খুঁজছিল,	খুঁজছিল,	
shettee,	সেটি,	সেটি,	
pathalagy,	পাযাথলজি,	প্যাথলজি,	
prakalper,	প্রকল্পের,	প্রকল্পের,	
obhedda,	অভেদ্দ,	অভেদ্য,	
ganohatya,	গণহত্যা,	গণহত্যা,	
kapatatar,	কাাতাার,	কপটতার,	
elakaagulor,	এলাকাগুলোর,	এলাকাগুলোর,	
manhputo,	মানপুতু,	মনঃপূত,	
arizina,	অরিজিন,	অরিজিন,	
jeetee,	জেটি,	যেতে,	
pyoos,	পিউস,	পিউস,	
ghosety,	ঘোষেটি,	ঘসেটি,	
saarah,	সারাহ,	সারাহ,	
jonosonjoger,	জনসংযোগের,	জনসংযোগের,	
udbigna,	উদ্বিজ্না,	উদ্বিগ্ন,	
nurseryte,	নার্সারিতে,	নার্সারিতে,	
rashidke,	রাশিদকে,	রশিদকে,	
sachetanata,	সচেতনতা,	সচেতনতা,	
elaakatite,	এলাকাটিতে,	এলাকাটিতে,	
samotaler,	সমতলের,	সমতলের,	
bondhuder,	বন্ধুদের,	বন্ধুদের,	
matritwer,	মতত্ত্বের,	মাতৃত্বের,	
breqim,	ব্রেকিং,	ব্রেকিং,	
collegee,	কলেজ,	কলেজে,	
janashana,	জনসন,	জনসন,	
hoibar,	হৈবার,	হইবার,	
ptv,	পিটিভ,	পিটিভি,	
ksamatadhor,	ক্ষমতাধর,	ক্ষমতাধর,	
monzur,	মঞ্জুর,	মঞ্জুর,	
zonaal,	জোনাল,	জোনাল,	
bisshasti,	বিশ্বাস্তি,	বিশ্বাসটি,	
ashlil,	আসলিল,	অশ্লীল,	
kiirtike,	কীর্তিকে,	কীর্তিকে,	
bhorer,	ভোরের,	ভরের,	
revisian,	রেভিশন,	রিভিশন,	
qarlaila,	কারলাইল,	কার্লাইল,	
chalochchitraee,	চলচিত্র্যে,	চলচ্চিত্রে,	
talgacher,	তলগাছের,	তালগাছের,	
dolai,	দলাই,	দলাই,	
osthisondhir,	অস্থিসন্ধীর,	অস্থিসন্ধির,	
udhaao,	উধাও,	উধাও,	
sibdash,	শিব্দাস,	শিবদাস,	
birshreshtha,	বীর্ষষ্ঠেঠ,	বীরশ্রেষ্ঠ,	
michilke,	মিচিলকে,	মিছিলকে,	
pepshi,	পেপসি,	পেপসি,	
ciphar,	সিফার,	সাইফার,	
stobdho,	স্তব্ধ,	স্তব্ধ,	
bannerer,	ব্যানারের,	ব্যানারের,	
arkitekacharala,	আর্কিটেকচারাল,	আর্কিটেকচারাল,	
karlel,	কার্লেল,	কার্লাইল,	
biharer,	বিহারের,	বিহারের,	
matrahin,	মাত্রাহীন,	মাত্রাহীন,	
meil,	মেল,	মেইল,	
monohorer,	মনোহরের,	মনোহরের,	
notosh,	নোটস,	নোটস,	
shkeem,	স্কিম,	স্কিম,	
paatholojii,	পাঠলজীি,	প্যাথলজি,	
idena,	ইডেন,	ইডেন,	
oncholei,	অঞ্চলেই,	অঞ্চলই,	
monzeel,	মঞ্জিল,	মঞ্জিল,	
debasis,	দেবশসি,	দেবাশিস,	
tokke,	টোকে,	ত্বককে,	
chaityr,	চাইটির,	চৈতির,	
musok,	মূষক,	মূসক,	
parche,	পারছে,	পারছে,	
muzzohman,	মুজমা্ান,	মুহ্যমান,	
protipada,	প্রতিপাদা,	প্রতিপদ,	
simakey,	সিমাকে,	সীমাকে,	
uporjupori,	উপর্জপুরি,	উপর্যুপরি,	
bonaar,	বোনার,	বোনার,	
phebruyarii,	ফেব্রুয়ারি,	ফেব্রুয়ারী,	
roopar,	রূপার,	রুপার,	
torun,	তরুণ,	তরুণ,	
tahirke,	তাহিরকে,	তাহিরকে,	
bhaasaaro,	ভাষারও,	ভাষারও,	
akkhorer,	আক্ষরের,	অক্ষরের,	
prostutkarokra,	প্রস্তুতকরকরা,	প্রস্তুতকারকরা,	
rip,	রিপ,	রিপ,	
asochetonta,	অসচেতন্ত,	অসচেতনতা,	
treqball,	ট্রেকবল,	ট্র্যাকবল,	
abasthantar,	অবস্থান্তর,	অবস্থান্তর,	
chaadar,	চাদার,	চাদর,	
bhaio,	ভাওয়,	ভাইও,	
damm,	দাম,	ডাম,	
sangaskarone,	সংস্করণে,	সংস্করনে,	
antarbhutir,	অন্তর্ভূক্তির,	অন্তর্ভুক্তির,	
ribhishana,	রিভিশন,	রিভিশন,	
aastik,	আস্তিক,	আস্তিক,	
baarden,	বারদেন,	বার্ডেন,	
dnaer,	দানের,	ডিএনএর,	
joonala,	জোনাল,	জোনাল,	
rashid,	রশিদ,	রশিদ,	
neerbhorotaar,	নির্ভরতার,	নির্ভরতার,	
koneestha,	কনিষ্ঠা,	কনিষ্ঠা,	
purbanchal,	পূর্বাঞ্চল,	পূর্বাঞ্চল,	
gaur,	গৌর,	গৌর,	
alpha,	আলফা,	আলফা,	
deaubander,	ডিউবন্ডের,	দেওবন্দের,	
blagarder,	ব্লাগারদের,	ব্লগারদের,	
chorbhadrasan,	চর্ভাদ্রসণ,	চরভদ্রাসন,	
soolker,	সোল্কার,	শুল্কের,	
haraganga,	হরাগঙ্গ,	হরগঙ্গা,	
speach,	স্পিচ,	স্পিচ,	
sikkhammulok,	শিক্ষাম্ূলক,	শিক্ষামূলক,	
graduete,	গ্রেডোউট,	গ্রাজুয়েট,	
porissrome,	পরিশ্রমে,	পরিশ্রমে,	
cheerotar,	চিরতার,	চিরতার,	
prosheshor,	প্রশেসর,	প্রসেসর,	
parkke,	পার্ককে,	পার্ককে,	
dinvor,	দিনভোর,	দিনভর,	
dharmantorita,	ধর্মন্তরিত,	ধর্মান্তরিত,	
rajyosava,	রাজ্যসাভা,	রাজ্যসভা,	
janmodag,	জন্মদাগ,	জন্মদাগ,	
ganonar,	গণনার,	গণনার,	
paradee,	প্যারেড,	প্যারেড,	
badon,	বাদন,	বদন,	
bonnoprani,	বন্যপ্রাণী,	বন্যপ্রাণী,	
raaho,	রাহ,	রাহ,	
ptoleemy,	প্লোমি,	টলেমি,	
magneshium,	ম্যানিসিয়াম,	ম্যাগনেসিয়াম,	
jivjontur,	জীবনন্তুর,	জীবজন্তুর,	
akhandota,	আখন্দ্যতা,	অখন্ডতা,	
shoileekey,	শৈলিকে,	শৈলীকে,	
sadasidhe,	সদসিধে,	সাদাসিধে,	
alonkaroner,	অলংকরণের,	অলঙ্করণের,	
bayaqat,	বাযাকাট,	বয়কট,	
zointapur,	জৈন্তাপুর,	জৈন্তাপুর,	
ssumishto,	সুমিষ্ট,	সুমিষ্ট,	
otyabasyok,	অত্যাবস্যক,	অত্যাবশ্যক,	
bileter,	বিলেটের,	বিলেতের,	
yoni,	যনি,	যোনী,	
nehroor,	নেহরুর,	নেহরুর,	
hareecho,	হারিছ,	হারিছ,	
arakani,	আরাকানি,	আরাকানি,	
abosorbhaataa,	অবসরভাতা,	অবসরভাতা,	
bodhe,	বধে,	বোধে,	
monzeeler,	মঞ্জিলের,	মঞ্জিলের,	
radian,	রেডিয়ান,	রেডিয়ান,	
drake,	ড্রেক,	ড্রেক,	
swoplotar,	স্বোললতার,	স্বল্পতার,	
gosaai,	গোসাই,	গোসাই,	
kleenton,	ক্লেন্টন,	ক্লিনটন,	
bivrantikar,	বিভ্রান্তিকার,	বিভ্রান্তিকর,	
jalaronge,	জালারঙ্গে,	জলরঙে,	
soinyoti,	সৈন্যটি,	সৈন্যটি,	
holmar,	হোমার,	হোমার,	
jommur,	জম্মুর,	জম্মুর,	
destroaar,	দেশ্ত্রর,	ডেস্ট্রয়ার,	
shapholloke,	সাফলকে,	সাফল্যকে,	
jalronger,	জারাঙ্গের,	জলরঙের,	
swarthei,	স্বার্থ্যে,	স্বার্থেই,	
gitikobi,	গীতিকবি,	গীতিকবি,	
dhulikana,	ধূলিকানা,	ধূলিকণা,	
ayadaministreshana,	অ্যাডমেনিস্ট্রেন,	অ্যাডমিনিস্ট্রেশন,	
taaison,	টাইসন,	টাইসন,	
sosto,	সষ্ট,	ষষ্ট,	
mukhabandhey,	মুখান্ধে,	মুখবন্ধে,	
jalranger,	জারাঙ্গের,	জলরঙের,	
behrampur,	বেহরামপুর,	বহরমপুর,	
nepchun,	নেপছুন,	নেপচুন,	
samoshtir,	সমস্তির,	সমষ্টির,	
nekseta,	নেক্সট,	নেক্সট,	
shikkhaker,	শিক্ষকের,	শিক্ষকের,	
roktokharan,	রক্তকাষণ,	রক্তক্ষরণ,	
aahuto,	আহুত,	আহূত,	
marnim,	মার্নিং,	মর্নিং,	
ekjot,	একজত,	একজোট,	
blogger,	ব্লগ্যার,	ব্লগার,	
dahe,	দাহে,	দহে,	
saarahoke,	সারাহকে,	সারাহকে,	
ghantigula,	ঘানটিগুলো,	ঘাঁটিগুলো,	
icelandic,	ইসেল্যান্ডিক,	আইসল্যান্ডিক,	
alonkarone,	অলংকরণে,	অলঙ্করণে,	
bisheshagya,	বিশেষজ্ঞ,	বিষেশজ্ঞ,	
korme,	কর্মে,	কর্মে,	
rite,	রাইট,	রাইট,	
kamini,	কামিনি,	কামিনী,	
shomraatke,	সম্রাতকে,	সম্রাটকে,	
paek,	পাযাক,	পাইক,	
everest,	ইভরেস্ট,	এভারেস্ট,	
dwiptite,	দ্বিপটিতে,	দ্বীপটিতে,	
bishwaashshti,	বিশ্বাস্ি,	বিশ্বাসটি,	
aaeeseeser,	আইসিসের,	আইসিসের,	
aircrapht,	ইর্ক্রফ,	এয়ারক্রাফট,	
cipher,	সিফার,	সাইফার,	
melbourne,	মেলবার্ন,	মেলবোর্ন,	
sahakarider,	সহকারীদের,	সহকারীদের,	
atwovishvaser,	অত্মীশবাসাবের,	আত্মবিশ্বাসের,	
tisi,	টিসি,	তিসি,	
colingwood,	কলিন্ন,	কলিংউড,	
moushume,	মৌসুম,	মৌসুমে,	
palke,	পালকে,	পালকে,	
feesh,	ফেশ,	ফিস,	
acid,	এসিড,	অ্যাসিড,	
talaar,	তালার,	তালার,	
sansthagulir,	সংস্থাগুলির,	সংস্থাগুলির,	
pastim,	পোস্টিম,	পোস্টিং,	
kormira,	কর্মিরা,	কর্মীরা,	
jaruler,	জারুলের,	জারুলের,	
gronthotite,	গ্রন্থটিতে,	গ্রন্থটিতে,	
prashikkhano,	প্রশিক্ষণ,	প্রশিক্ষণও,	
janosangjoger,	জনসংযোগের,	জনসংযোগের,	
bbosonter,	বসন্তের,	বসন্তের,	
rohasye,	রহহ্যে,	রহস্যে,	
shikkhai,	শিক্ষাই,	শিক্ষাই,	
metar,	মেটার,	মিটার,	
debodebider,	দেববদেদীর,	দেবদেবীদের,	
rediyana,	রেডিয়ান,	রেডিয়ান,	
irani,	ইরানি,	ইরানী,	
prabhuke,	প্রভূকে,	প্রভুকে,	
denees,	ডেনিস,	ডেনিস,	
pratikar,	প্রতিকার,	প্রতিকার,	
laasith,	লাসিথ,	লাসিথ,	
prosen,	প্রসেন,	প্রসেন,	
touhidoor,	তৌহিদুর,	তৌহিদুর,	
tapur,	তাপুর,	তপুর,	
oitijhyoke,	ঐতিহ্যকে,	ঐতিহ্যকে,	
ahuto,	আহুত,	আহূত,	
ribhison,	রিভিশন,	রিভিশন,	
lashta,	লস্ট,	লাস্ট,	
ptolemi,	প্লোমি,	টলেমি,	
everester,	এভরেস্টের,	এভারেস্টের,	
atwavishvaser,	অত্মবিশ্বাসের,	আত্মবিশ্বাসের,	
upobas,	উপবাস,	উপবাস,	
deshtrayara,	ডেস্ট্রেযার,	ডেস্ট্রয়ার,	
porisodh,	পরিসদ,	পরিশোধ,	
antor,	অন্তর,	আন্তর,	
hashmi,	হাস্মি,	হাশমী,	
proshikkhoner,	প্রশিক্ষণের,	প্রশিক্ষণের,	
horidbarer,	হরিদবারের,	হরিদ্বারের,	
bishshito,	বিশ্বিত,	বিস্মিত,	
bustara,	বুস্তারা,	বুস্টার,	
neelfamaari,	নেলফেমারী,	নীলফামারী,	
saaphalye,	সাফলে,	সাফল্যে,	
fooder,	ফুদের,	ফুডের,	
manen,	মানেন,	মানেন,	
halude,	হালুদে,	হলুদে,	
shansthake,	সংস্থাকে,	সংস্থাকে,	
meghar,	মেঘার,	মেঘার,	
pathology,	পাথলগী,	প্যাথলজি,	
hoiben,	হৈবেন,	হইবেন,	
mailke,	মেলকে,	মেইলকে,	
bolechilo,	বলেছিল,	বলেছিল,	
farsi,	ফার্সি,	ফার্সী,	
aaislyaander,	আইল্যাযান্ডের,	আইসল্যান্ডের,	
puraton,	পুরাটন,	পুরাতন,	
torontote,	টরন্টোতে,	টরেন্টোতে,	
osaho,	ওসাহ,	অসহ,	
onnyorao,	অন্যরাও,	অন্যরাও,	
granthosamuher,	গ্রন্থসমূহের,	গ্রন্থসমূহের,	
destroyer,	ডেস্ট্রের,	ডেস্ট্রয়ার,	
breakin,	ব্রেকিং,	ব্রেকিং,	
rag,	রাগ,	রাগ,	
ekokbhaabe,	এককভাবে,	এককভাবে,	
sarkasa,	সার্কশা,	সার্কাস,	
sansthasamuher,	সংস্থাসমূহের,	সংস্থাসমূহের,	
irshad,	ঈর্ষাদ,	এরশাদ,	
bbilete,	বিলিটে,	বিলেতে,	
yousafzai,	ইউসফজাই,	ইউসুফজাই,	
chhotogalpo,	ছোটোগল্প,	ছোটগল্প,	
prochondovabe,	প্রচন্ডভাবে,	প্রচণ্ডভাবে,	
torooneraa,	তরুণেরা,	তরুণেরা,	
sklerasisa,	স্ক্লারশিস,	স্ক্লেরোসিস,	
pujya,	পুজ্জা,	পূজ্য,	
gronthokey,	গ্রন্থকে,	গ্রন্থকে,	
deaner,	ডিনের,	ডিনের,	
sardarer,	সর্দারের,	সরদারের,	
bouddhik,	বৌদ্ধিক,	বৌদ্ধিক,	
sarkase,	সরকাশে,	সার্কাসে,	
sekaranei,	সেকারণেই,	সেকারণেই,	
parjotako,	পর্যতক,	পর্যটকও,	
byaataa,	ব্যাতা,	বেটা,	
wahhab,	ওহাব,	ওহাব,	
ehoramer,	ওহারামের,	ইহরামের,	
chabi,	ছবি,	চাবি,	
thesis,	টেসিস,	থিসিস,	
uddyeshye,	উদ্যেশ্যে,	উদ্দ্যেশ্যে,	
samajikvabey,	সাম্যাজিকভাবে,	সামাজিকভাবে,	
aaphsaarii,	আফসারি,	আফসারী,	
ddhil,	ঢিলি,	ঢিল,	
peshta,	পেষ্ট,	পেস্ট,	
titler,	টিটলার,	টাইটেলের,	
shherver,	শের্ভের,	সার্ভার,	
uthechilo,	উঠেছিল,	উঠেছিলো,	
aaeeslyand,	আইল্লযান্ড,	আইসল্যান্ড,	
iranke,	ইরানকে,	ইরানকে,	
mashtarpiece,	মাস্টোর্পিস,	মাস্টারপিস,	
kuthhaar,	কুঠার,	কুঠার,	
alapha,	আলাফ,	আলফা,	
locq,	লোক,	লক,	
graambaasike,	গ্রামবাসীকে,	গ্রামবাসীকে,	
ghanisthajan,	ঘনিষ্ঠসন,	ঘনিষ্ঠজন,	
pipasha,	পিপস,	পিপাসা,	
prakalposamuho,	প্রকল্পসমূহ,	প্রকল্পসমূহ,	
bishonnota,	বিষণ্ণতা,	বিষণ্নতা,	
paribeshtita,	পরিবেশ্টিত,	পরিবেষ্টিত,	
moricher,	মরিচের,	মরিচের,	
chittakarshok,	চিত্মকর্ষক,	চিত্তাকর্ষক,	
obhiyojaner,	অভিযোজনের,	অভিযোজনের,	
romero,	রোমেরো,	রোমেরো,	
swarthoke,	স্বার্থকে,	স্বার্থকে,	
asthishondhite,	অস্থিসন্ধীতে,	অস্থিসন্ধিতে,	
volter,	ভললার,	ভল্টের,	
nataraj,	নাটারাজ,	নটরাজ,	
bhartukir,	ভর্তুকীর,	ভর্তুকির,	
saafeer,	সাফীর,	সাফির,	
grazuate,	গ্রাজাউট,	গ্রাজুয়েট,	
udorey,	উদরে,	উদরে,	
atwobishvash,	অত্মবিশ্বাস,	আত্মবিশ্বাস,	
shosieti,	শোষিযি,	সোসাইটি,	
monjoorer,	মঞ্জুরের,	মঞ্জুরের,	
hajar,	হাজার,	হাজার,	
bettaar,	বেতার,	বেটার,	
parkeow,	পার্কেও,	পার্কেও,	
bilete,	বিলেটে,	বিলেতে,	
paikaree,	পাইকারি,	পাইকারী,	
prakalpoke,	প্রকল্পকে,	প্রকল্পকে,	
ranakshetrey,	রণক্ষেত্রে,	রণক্ষেত্রে,	
dhhaaley,	ঢালে,	ঢালে,	
sarkaas,	সরকাশ,	সার্কাস,	
rumal,	রুমাল,	রুমাল,	
soshto,	ষষ্ট,	ষষ্ট,	
gueest,	গুজ্ট,	গেস্ট,	
haramooni,	হারামুনি,	হারমোনি,	
prodhanotomo,	প্রধানতম,	প্রধানতম,	
paayi,	পাই,	পাই,	
prokritivid,	প্রক্রিতিবিদ,	প্রকৃতিবিদ,	
vromon,	ভ্রমণ,	ভ্রমণ,	
bhyatikaan,	ভ্যাতিকান,	ভ্যাটিকান,	
shoonchalo,	সুঞ্চলল,	সূঁচালো,	
bahubrihi,	বহুবৃহী,	বহুব্রীহি,	
meechanical,	মেকানিক্যাল,	মেকানিকাল,	
ahangkaree,	অহঙকারী,	অহংকারী,	
maastarpiis,	মাস্টার্িস,	মাস্টারপিস,	
lisha,	লিস,	লিসা,	
twitare,	টুইটারে,	টুইটারে,	
moorel,	মুরেল,	মোরেল,	
kadarja,	কাদার্য,	কদর্য,	
chotku,	চটকু,	ছটকু,	
bishesagyo,	বিশেষজ্ঞ,	বিষেশজ্ঞ,	
dokaanke,	ডোকানকে,	দোকানকে,	
dwipti,	দ্বিপটি,	দ্বীপটি,	
laging,	ল্যাংিং,	লগিং,	
smarakti,	স্মরক্তি,	স্মারকটি,	
bargamool,	বর্গমুল,	বর্গমূল,	
sansthan,	সংস্থান,	সংস্থান,	
shripur,	শ্রীপুর,	শ্রীপুর,	
samatoley,	সমতলে,	সমতলে,	
manjil,	মঞ্জিল,	মঞ্জিল,	
piyanishta,	পিয়ান্স্ট,	পিয়ানিস্ট,	
cue,	কো,	কিউ,	
chhaanagulo,	ছানাগুলো,	ছানাগুলো,	
moneesha,	মনেসা,	মণীষা,	
bhasaari,	ভাষারি,	ভাষারই,	
maarbo,	মার্ব,	মারবো,	
duhate,	দুহাতে,	দুহাতে,	
guineetey,	গুণিতে,	গিনিতে,	
lasta,	লস্ট,	লাস্ট,	
aajju,	আজ্জু,	আজ্জু,	
sotkajer,	সৎকাজের,	সৎকাজের,	
notes,	নোটেস,	নোটস,	
karer,	কারের,	কারের,	
masakadja,	মাসকাজ্যা,	মাসাকাদজা,	
poribesteeto,	পরিবেশ্টিত,	পরিবেষ্টিত,	
bondiider,	বন্দিদের,	বন্দীদের,	
janohitokor,	জনহিতকর,	জনহিতকর,	
kakeena,	কাকিনা,	কাকিনা,	
sikkhabyabosthar,	শিক্ষাব্যবস্থার,	শিক্ষাব্যবস্থার,	
choudhoorira,	চৌধুরিরা,	চৌধুরীরা,	
tookke,	টুককে,	ত্বককে,	
shansthader,	সংস্থাদের,	সংস্থাদের,	
nirgomoner,	নির্গমনের,	নির্গমনের,	
raag,	রাগ,	রাগ,	
franciscor,	ফ্রান্সিসোকর,	ফ্রান্সিসকোর,	
dosi,	দশি,	দোষী,	
bafufe,	বাফুফে,	বাফুফে,	
vatao,	ভাটাও,	ভাতাও,	
andamaner,	আন্দোমনের,	আন্দামানে,	
buildinge,	বিল্লিঙ্গে,	বিল্ডিংএ,	
bhramaner,	ভ্রমণের,	ভ্রমনের,	
sephara,	সেফার,	সাইফার,	
aaislyaande,	আইল্যা্ন্ডে,	আইসল্যান্ডে,	
postim,	পোস্টিং,	পোস্টিং,	
gronthagulo,	গ্রন্থাগুলো,	গ্রন্থগুলো,	
dhanirai,	ধানীরাই,	ধনীরাই,	
jonshon,	জনসন,	জনসন,	
koondo,	কোন্ড,	কুন্ড,	
prothomangsho,	প্রথমাংস,	প্রথমাংশ,	
bilatey,	বিলাতে,	বিলাতে,	
sadasyagan,	সদস্যগণ,	সদস্যগন,	
manusher,	মনুসের,	মানুষের,	
bephore,	বেফরে,	বিফোর,	
mookhbaundhe,	মুখসুন্ধে,	মুখবন্ধে,	
moronpon,	মরনপন,	মরণপণ,	
bhasaar,	ভাষার,	ভাষার,	
aisootoopa,	এইসোটোপ,	আইসোটোপ,	
nadir,	নাদির,	নদীর,	
suipar,	সুইপার,	সুইপার,	
ektaanaa,	একটানা,	একটানা,	
buti,	বুটি,	বুটি,	
bibeker,	বিবেকের,	বিবেকের,	
meyile,	মেলে,	মেইলে,	
agomon,	আগমন,	আগমন,	
keibler,	কেবলের,	কিবলার,	
hatel,	হ্যাটেল,	হোটেল,	
bagdotta,	বা্দত্বা,	বাগদত্তা,	
pathacharir,	পাঠাচারীর,	পথচারীর,	
boikhani,	বৈখানী,	বইখানি,	
academe,	একাডেমে,	একাডেমিয়া,	
roopi,	রুপি,	রূপী,	
februari,	ফেব্ররয়ারি,	ফেব্রুয়ারী,	
bbosobasroto,	বসবাসরত,	বসবাসরত,	
choturdik,	চতুর্দিক,	চতুর্দিক,	
janale,	জানালে,	জানালে,	
taalgaachher,	তালগাচের,	তালগাছের,	
prakalpe,	প্রকল্পে,	প্রকল্পে,	
parad,	পারদ,	প্যারেড,	
jibjontur,	জীবনন্তুর,	জীবজন্তুর,	
lisar,	লিসার,	লিসার,	
koombho,	কম্ভ,	কুম্ভ,	
gem,	জেম,	জেম,	
eyarakrafata,	আযাররক্রাট,	এয়ারক্রাফট,	
ranjit,	রঞ্জিত,	রণজিৎ,	
granthatyr,	গ্রন্থটির,	গ্রন্থটির,	
aachhi,	আছি,	আছি,	
cookrii,	কুক্রি,	কুকরী,	
famina,	ফামিনা,	ফেমিনা,	
bonduker,	বন্ডুকের,	বন্দুকের,	
osleelotar,	অস্লিলতার,	অশ্লীলতার,	
charje,	চররজে,	চার্জ,	
provuke,	প্রভূকে,	প্রভুকে,	
ponchanon,	পঞ্চানন,	পঞ্চানন,	
moner,	মনের,	মনের,	
oyelasa,	ওয়েলস,	ওয়েলশ,	
bilate,	বিলাতে,	বিলাতে,	
tushtir,	টুশ্টির,	তুষ্টির,	
filippine,	ফিলিপিন,	ফিলিপাইন,	
shunch,	সাঁচ,	সূঁচ,	
cadore,	ক্যাডোরে,	চাদরে,	
parishodhaner,	পরিসোধনের,	পরিশোধনের,	
shomomona,	সমমোনা,	সমমনা,	
sorju,	সর্যু,	সরযূ,	
ghantite,	ঘানটিতে,	ঘাঁটিতে,	
prokalpakey,	প্রকল্পকে,	প্রকল্পকে,	
bonnyoprani,	বন্যপ্রাণী,	বন্যপ্রাণী,	
attachar,	অত্যাচার,	অত্যাচার,	
hooldinsa,	হুল্ডিংস,	হোল্ডিংস,	
porikha,	পরিখা,	পরিখা,	
herison,	হেরিসন,	হ্যারিসন,	
logging,	লগ্জিং,	লগিং,	
beerjobaan,	বীর্যবান,	বীর্যবান,	
ameeno,	অ্যামেনো,	অ্যামিনো,	
faarm,	ফার্ম,	ফর্ম,	
madrasati,	মদ্রশাটি,	মাদ্রাসাটি,	
bhandaaree,	ভান্ডারি,	ভাণ্ডারী,	
kadorjo,	কাদর্য,	কদর্য,	
abasaner,	আবাসনের,	অবসানের,	
prakalpasamuher,	প্রকল্পসমূহের,	প্রকল্পসমূহের,	
cotokdar,	কোকদার,	চটকদার,	
polythene,	পলেঠেন,	পলিথিন,	
sarod,	সরদ,	সরোদ,	
navojaan,	নভজান,	নভোযান,	
rogar,	রোগার,	রজার,	
chikitsaroto,	চিকিৎসারত,	চিকিৎসারত,	
chomok,	ছমক,	চমক,	
morela,	মোেলা,	মোরেল,	
ley,	লে,	লে,	
manashik,	মননসিক,	মানষিক,	
osochetona,	অসচেতনা,	অসচেতনতা,	
sachokito,	সচকিত,	সচকিত,	
illinois,	এলিয়ননস,	ইলিনয়ে,	
paanjorer,	পাঁজরের,	পাঁজরের,	
vibrator,	ভিব্রতর,	ভাইব্রেটর,	
panchomangsha,	পঞ্চমাংশা,	পঞ্চমাংশ,	
dins,	ডিনস,	ডিনস,	
dologuloke,	দলগুলোকে,	দলগুলোকে,	
vatican,	ভ্যাকিন,	ভ্যাটিকান,	
conversion,	কনভার্সন,	কনভার্সন,	
naseerer,	নাসিরের,	নাসিরের,	
saner,	সানের,	সানের,	
zonee,	জোনি,	যোনী,	
amuu,	অমু,	আমু,	
grinpise,	গ্রিন্সিস,	গ্রিনপিস,	
shikshaker,	শিক্ষকের,	শিক্ষকের,	
gest,	গেস্ট,	গেস্ট,	
shilbharer,	সিলভারের,	সিলভারের,	
otyabashyok,	অত্যাবস্যক,	অত্যাবশ্যক,	
olimpus,	অলিম্পসুস,	অলিম্পাস,	
kedarnath,	কেডারনথথ,	কেদারনাথ,	
edero,	এদেরও,	এদেরও,	
ohangkari,	অহঙকারি,	অহংকারী,	
ghosheti,	ঘষষটি,	ঘসেটি,	
zem,	জ্যাম,	জেম,	
somebar,	সোমেবার,	সোমবার,	
gramin,	গ্রামিন,	গ্রামীন,	
shapholle,	সাফলে,	সাফল্যে,	
madrasagulo,	মদ্রসাগুলো,	মাদ্রাসাগুলো,	
sangasthasamuher,	সংগ্ঠাসমূহের,	সংস্থাসমূহের,	
proteestha,	প্রতিষ্ঠা,	প্রতিষ্ঠা,	
nodir,	নদীর,	নদীর,	
deebita,	দেবিতা,	ডেবিট,	
havard,	হাওর়ার্ড,	হার্ভাড,	
sharvar,	শার্ভার,	সার্ভার,	
irsabodh,	ঈর্ষবোধ,	ঈর্ষাবোধ,	
susangbaddha,	সুসংবা্ধ,	সুসংবদ্ধ,	
prastutkarakra,	প্রস্তুতকরকরা,	প্রস্তুতকারকরা,	
santoser,	সন্তোষের,	সন্তোষের,	
raber,	রবের,	রবের,	
riform,	রিফর্ম,	রিফর্ম,	
probesh,	প্রবেশ,	প্রবেশ,	
piubik,	পিউবিক,	পিউবিক,	
udichir,	উদিচির,	উদীচীর,	
zuktorastro,	যুক্তরাস্ট্র,	যুক্তরাষ্ট্র,	
chalochchitrotir,	চলচ্চিত্রটির,	চলচ্চিত্রটির,	
madri,	মাদ্রী,	মাদ্রী,	
pooroheeter,	পুরোহিতের,	পুরোহিতের,	
tekshaash,	টেক্সাস,	টেক্সাস,	
forme,	ফরমে,	ফর্মে,	
soinyoderke,	সৈন্দদেরকে,	সৈন্যদেরকে,	
toroonasthi,	তরুনাস্থী,	তরুণাস্থি,	
erpurbey,	এরপূর্বে,	এরপূর্বে,	
barshabas,	বর্ষবাস,	বর্ষাবাস,	
saodagorer,	সৌদাগরের,	সওদাগরের,	
bivrantikor,	বিভ্রান্তিকর,	বিভ্রান্তিকর,	
sinaan,	সিনান,	সিনান,	
morterer,	মর্তারের,	মর্টারের,	
sourcer,	সার্কের,	সোর্সের,	
lakhindar,	লাখিন্দার,	লখিন্দর,	
