plato,	প্লট,	প্লেটো,	
meetropalitana,	মেট্রোপলিটন,	মেট্রোপলিটন,	
diiptii,	দীপ্তি,	ডেপুটি,	
transformerer,	ট্রান্সফোর্মের,	ট্রান্সফরমারের,	
chaudhurider,	চৌধুরিদের,	চৌধুরীদের,	
prety,	প্রেতি,	প্রিটি,	
machhsoho,	মাচসহ,	মাছসহ,	
vorkendra,	ওরক্কেন্দ্র,	ভরকেন্দ্র,	
sikara,	সিকার,	শিকার,	
chet,	চেট,	চ্যাট,	
soteciety,	সটেটিক্টি,	সোসাইটিতে,	
karuna,	করুনা,	করুণা,	
madhobikey,	মাধবীকে,	মাধবীকে,	
ganoparibahan,	গণপরিবন,	গণপরিবহন,	
beetloser,	বিটলসের,	বিটলসের,	
attar,	আত্মার,	আত্তার,	
samudrotatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
varson,	ভার্সন,	ভারশন,	
morathee,	মরাঠী,	মরাঠি,	
falkser,	ফ্লক্সের,	ফক্সের,	
thetcher,	ঠেচের,	থ্যাচার,	
dargah,	দরগা,	দরগাহ,	
qaferder,	কাফারদের,	কাফেরদের,	
emgee,	এজএ,	এমজি,	
mathieu,	মাথিও,	ম্যাথিউ,	
nathivukta,	নথিভূক্ত,	নথিভুক্ত,	
karmoke,	কর্মকে,	কর্মকে,	
iyanki,	ই্যাংকি,	ইয়াংকি,	
teoyana,	টেয়ান,	তাইওয়ান,	
bandi,	বন্দী,	বন্দী,	
onkita,	অংকিত,	অঙ্কিতা,	
deephineeshana,	ডেফিনেশন,	ডেফিনেশন,	
abasarer,	অবসরের,	অবসরের,	
noditei,	নদীতেই,	নদীতেই,	
kode,	কোদে,	কোডে,	
pare,	পারে,	পাড়ে,	
chamoski,	চামস্কি,	চমস্কি,	
phising,	ফিসিং,	ফিসিং,	
ispredseet,	স্প্রেসেটে,	স্প্রেডশীট,	
bisshasi,	বিশ্বাসী,	বিশ্বাসী,	
protizogiira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
phirtee,	ফিরটি,	ফিরতি,	
rajtontre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
barron,	ব্যারন,	ব্যারন,	
aalaa,	আলা,	আলা,	
turbine,	তুরবিনে,	টারবাইন,	
romjaner,	রমজানের,	রমযানের,	
sanaktakaraner,	সনক্তকরণের,	সনাক্তকরণের,	
bishwaashshoi,	বিশ্বাস্যই,	বিশ্বাসই,	
jaaygata,	জাযাগেটা,	জায়গাটা,	
harriser,	হ্যারিসের,	হ্যারিসের,	
shilver,	শিলভের,	সিলভার,	
pharn,	ফর্ন,	ফার্ন,	
granthoti,	গ্রন্থটি,	গ্রন্থটি,	
shaahaabiike,	সাহাবীকে,	সাহাবীকে,	
kulo,	কুলো,	কুলো,	
sangasthatir,	সংস্থাটির,	সংস্থাটির,	
dhani,	ধ্বানি,	ধানি,	
graambaasi,	গ্রামবাসী,	গ্রামবাসী,	
jonmat,	জন্মাত,	জন্মাত,	
jons,	জনস,	জোন্স,	
ogrodut,	অগ্রদুত,	অগ্রদূত,	
vumij,	ভূমিজ,	ভূমিজ,	
beetlaser,	বিটলসের,	বিটলসের,	
velcome,	ভেলকমে,	ওয়েলকাম,	
laiseens,	লাইসেন্স,	লাইসেন্স,	
platee,	প্লেট,	প্লেট,	
bhaabaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
alpoi,	আলপপি,	অল্পই,	
shoccar,	সককার,	সকার,	
kortaam,	কর্তম,	করতাম,	
bondi,	বন্ডি,	বন্দী,	
deejijer,	দিজিজের,	ডিজিজের,	
mesenjjar,	মেসেঞ্জার,	মেসেঞ্জার,	
gazipur,	গজিপুর,	গাজীপুর,	
enjineerinj,	এন্জেনিজেন্জ,	ইঞ্জিনিয়ারিং,	
recondition,	রেকন্ডিশন,	রিকন্ডিশন,	
qindama,	কিন্ডম,	কিংডম,	
dayraa,	দেরা,	ডেরা,	
sumi,	সুমি,	সুমি,	
sushukkhar,	সুস্খকরষ,	সুশিক্ষার,	
ba,	বা,	বু,	
turkameena,	তুর্কমেন,	তুর্কমেন,	
durgatsabe,	দুর্গাতশে,	দুর্গোৎসবে,	
samanyoi,	সামান্যই,	সামান্যই,	
homser,	হম্সের,	হোমসের,	
rubeta,	রুবেট,	রাবেতা,	
sorjur,	সর্জুর,	সরযূর,	
kommatei,	কমাতেই,	কমাতেই,	
rajpur,	রাজপুর,	রাজপুর,	
jemy,	জেমি,	জেমি,	
valobasen,	ভালবাসেন,	ভালোবাসেন,	
deembakreeti,	দিব্মকৃতি,	ডিম্বাকৃতি,	
mukhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
cheerontan,	চীরন্তন,	চিরন্তন,	
sangbadmadhyomgulote,	সংবাদমধযমূলতে,	সংবাদমাধ্যমগুলোতে,	
yanqee,	যাঁকি,	ইয়াংকি,	
score,	স্কোর,	স্কোর,	
vaskor,	ভাস্কর,	ভাস্কর,	
toubar,	তাউবার,	তওবার,	
se,	সে,	সে,	
sohingsotar,	সহিস্তার,	সহিংসতার,	
larshon,	লারসন,	লারসন,	
kormokarke,	কর্মকারকে,	কর্মকারকে,	
sheekare,	শিকারে,	শিকারে,	
phaltu,	ফল্টু,	ফালতু,	
angshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
torabgonj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
makhmale,	মাখমালে,	মখমলে,	
pathkromer,	পাঠক্রমের,	পাঠক্রমের,	
moddhyekar,	মধ্যেকার,	মধ্যেকার,	
ganosakkhorota,	গণস্বক্ষতা,	গণসাক্ষরতা,	
turkeyder,	তুর্কীদের,	তুর্কিদের,	
ishahak,	ইশহাক,	ইসাহাক,	
vorodwaj,	ভরর্বোজ,	ভরদ্বাজ,	
gujober,	গুজবের,	গুজবের,	
oncholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
mosharroph,	মোশারপ্র,	মশাররফ,	
chaudhoorir,	চৌধুরির,	চৌধুরীর,	
paadee,	পাদে,	পাড়ে,	
oxfordey,	অক্সফোর্ডে,	অক্সফোর্ডে,	
unsareer,	আনসারীর,	আনসারীর,	
turqi,	টার্কি,	তুর্কি,	
attaar,	আত্মার,	আত্তার,	
arthat,	অর্থাত,	অর্থাৎ,	
anchalkey,	আঞ্চলকে,	অঞ্চলকে,	
windo,	উইন্ডো,	উইন্ডো,	
maney,	মেনে,	মানে,	
saazano,	সাজানো,	সাজানো,	
poricchonnota,	পরিচ্ঞন্নতা,	পরিচ্ছন্নতা,	
teter,	তেঁের,	টেটের,	
codey,	কোডে,	কোডে,	
ekbakye,	একবাকে,	একবাক্যে,	
ajeemke,	আজিমকে,	আজিমকে,	
vishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
donate,	ডোনাতে,	ডোনাট,	
bissashe,	বিশ্বাসে,	বিশ্বাসে,	
jacksonke,	যাচসকমে,	জ্যাকসনকে,	
reshidence,	রেসিডেন্স,	রেসিডেন্স,	
pachbar,	পাঁচার,	পাঁচবার,	
laaiseensh,	লাইসেন্স,	লাইসেন্স,	
dankaan,	ডানকান,	ডানকান,	
zesa,	জেস,	জেস,	
muhammader,	মুহাম্মাদের,	মুহম্মদের,	
taorat,	ট্রাট,	তওরাত,	
bihare,	বিহরে,	বিহারে,	
noditi,	নদীতি,	নদীটি,	
omarjeeto,	অমার্জিত,	অমার্জিত,	
skalarasipa,	স্কলারশিপ,	স্কলারশিপ,	
angshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
saqara,	সাকার,	সকার,	
dharavahikbhabe,	ধারাভাহিকভাবে,	ধারাবাহিকভাবে,	
falokti,	ফালকটি,	ফলকটি,	
boother,	বুঠের,	বুথের,	
aborto,	আবর্ত,	আবর্ত,	
dola,	ডোলা,	দলা,	
salafeta,	সালফেট,	সালফেট,	
songasthatir,	সংস্থাটির,	সংস্থাটির,	
peerry,	পেরি,	পেরি,	
foloshruti,	ফলস্রুতি,	ফলশ্রুতি,	
ropto,	রপ্ত,	রপ্ত,	
dakteekit,	ডেক্তিকিট,	ডাকটিকিট,	
onodhikaar,	অন্ধিকার,	অনধিকার,	
daada,	দাদা,	দাদা,	
ralapha,	রালফ,	রালফ,	
parjataker,	পর্যটটকের,	পর্যটকের,	
raia,	রাই,	রায়,	
motion,	মতশন,	মোশন,	
stationer,	স্টেশনের,	ষ্টেশনের,	
adhit,	অধিত,	অধীত,	
siramikasa,	সিরামিকস,	সিরামিকস,	
parshe,	পার্সে,	পার্শ্বে,	
juktorashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
seatey,	সেটে,	সিটে,	
armstronj,	আর্মস্ট্রজ,	আর্মস্ট্রং,	
jonomukhee,	জনমুখী,	জনমুখী,	
dormetori,	ডরমেটরি,	ডরমিটরি,	
heza,	হেজ,	হেজ,	
koda,	কোড,	কোডা,	
dibaag,	দিবাগ,	ডিবাগ,	
ohalyar,	অহ্যালার,	অহল্যার,	
shanta,	শাঁতা,	সান্তা,	
wault,	ওভাট্ট,	ভল্ট,	
protizogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
janaar,	জানার,	জানার,	
noren,	নরেন,	নরেন,	
shefard,	সেফার্ড,	শেফার্ড,	
chanu,	চানু,	চানু,	
mulvitti,	মুলভিত্তি,	মূলভিত্তি,	
odoore,	অডোরে,	অদুরে,	
pari,	প্যারি,	পেরি,	
bm,	বিএমএ,	বিএম,	
janosonjog,	জনসঙ্জ,	জনসংযোগ,	
deeares,	ডিএরেস,	ডিআরএস,	
kachhakaachhi,	কাছাকাছি,	কাছাকাছি,	
akritakarja,	আকৃত্যার্য,	অকৃতকার্য,	
spreadsheet,	স্প্রেশদিট,	স্প্রেডশীট,	
ganosochetonota,	গণশ্চতাতনাতা,	গণসচেতনতা,	
gujab,	গুজব,	গুজব,	
messenger,	মেসেঞ্জের,	মেসেঞ্জার,	
shhow,	শাও,	শো,	
bossonto,	বসন্ত,	বসন্ত,	
prachurzer,	প্রচুর্জের,	প্রাচুর্যের,	
popke,	পপকে,	পোপকে,	
panchashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
ostad,	অষ্টাদ,	ওস্তাদ,	
ancholtitey,	অঞ্চলতিতে,	অঞ্চলটিতে,	
bouddha,	বৌদ্ধ,	বৌদ্ধ,	
saida,	সাইড,	সাইদা,	
sqora,	স্কোর,	স্কোর,	
gaddafii,	গাদ্ডাই,	গাদ্দাফী,	
stationey,	স্টেশনে,	ষ্টেশনে,	
benish,	বেনিশ,	ভেনিস,	
agradut,	আগ্রাদুত,	অগ্রদূত,	
khali,	খালী,	খালি,	
ganachin,	গানচিন,	গণচীন,	
shotokeo,	শটকেও,	শতকেও,	
cheerokoomari,	চিরাকুমারী,	চিরকুমারী,	
manhputa,	মানপুটা,	মনঃপুত,	
booponer,	বুপনের,	বপনের,	
sangkalaner,	সংকলনের,	সংকলনের,	
toufeek,	টফিক,	তৌফিক,	
ghumata,	ঘুমাতা,	ঘুমাতো,	
shasonkorta,	শাসনকর্তা,	শাসনকর্তা,	
kantajir,	কান্তজীর,	কান্তজির,	
karmajog,	কর্মযজ,	কর্মযোগ,	
shhikara,	স্বীকার,	শিকার,	
basate,	বসাতে,	বাসাতে,	
balaruma,	বলরুমা,	বলরুম,	
totokhhon,	ততক্ষণ,	ততক্ষন,	
mashtersh,	মাস্টার্স,	মাস্টার্স,	
talal,	তালা,	তালাল,	
obhaarbhiu,	অভারভু,	ওভারভিউ,	
sulfatee,	সালফাটে,	সালফেট,	
oncholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
dipke,	ডিপকে,	দ্বীপকে,	
kada,	কাদ,	কোডা,	
cholochchitroi,	চলচিচ্রে,	চলচ্চিত্রই,	
uporital,	উপরিতল,	উপরিতল,	
saajano,	সাজানো,	সাজানো,	
garnaar,	জার্নার,	গার্নার,	
volapuq,	ভলাপুক,	ভোলাপুক,	
nisad,	নিশাদ,	নিষাদ,	
lakkheryo,	লক্ষেরও,	লক্ষেরও,	
kabutarer,	কবুতারের,	কবুতরের,	
thailyanda,	থাইল্যান্ড,	থাইল্যান্ড,	
gaafiloti,	গাফিলটি,	গাফিলতি,	
byaboharkariderkey,	ব্যবহারকারিদকে,	ব্যবহারকারীদেরকে,	
mahasava,	মহাসভ,	মহাসভা,	
sikh,	শিখ,	শিখ,	
robe,	রবে,	রবে,	
eekbaler,	ইকবলের,	ইকবালের,	
bonshoke,	বংশকে,	বংশকে,	
konflict,	কনফলাইক্ট,	কনফ্লিক্ট,	
nogonyo,	নগন্য,	নগণ্য,	
basaake,	বসাকে,	বাসাকে,	
haipara,	হাইপার,	হাইপার,	
benj,	বেঞ্জ,	বেঞ্জ,	
lombate,	লম্বাতে,	লম্বাটে,	
bishwashke,	বিশ্বাসকে,	বিশ্বাসকে,	
okkhor,	অক্ষর,	অক্ষর,	
teenti,	তিনটি,	তিনটি,	
sointoder,	সৈন্তদের,	সৈন্যদের,	
abhisongson,	অভিষংসন,	অভিশংসন,	
doneta,	ডোনেট,	ডোনাট,	
priimoo,	প্রীম,	প্রিমো,	
parker,	পার্কের,	পার্কের,	
qings,	কিংস,	কিংস,	
karpeeta,	কারপেট,	কার্পেট,	
janake,	জানাকে,	জানাতে,	
lettar,	লেটার,	লেটার,	
sangkalanti,	সংকলানটি,	সংকলনটি,	
monjhostho,	মঞ্ঝস্থ,	মঞ্চস্থ,	
saarbhaare,	সার্ভারে,	সার্ভারে,	
ekpase,	একপাশে,	একপাশে,	
rajnaiteek,	রাজনৈতিক,	রাজনৈতীক,	
somoshtike,	সমস্তিকে,	সমষ্টিকে,	
ebham,	এভম,	ইভিএম,	
balbo,	বাব,	বলবো,	
probhu,	প্রভূ,	প্রভু,	
praapokke,	প্রাপকে,	প্রাপককে,	
probhur,	প্রভূর,	প্রভুর,	
votar,	ভোটার,	ভোটার,	
mozlis,	মজলিস,	মজলিশ,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
jubokshoho,	যুবক্ষ,	যুবকসহ,	
ghaghat,	ঘঘঘাত,	ঘাঘট,	
booth,	বুঠ,	বুথ,	
koilaash,	কৈলাশ,	কৈলাস,	
fridom,	ফ্রিডম,	ফ্রীডম,	
prithibir,	পৃথিবীর,	পৃথবীর,	
harysher,	হ্যারিসের,	হ্যারিসের,	
pala,	পাল,	পোলো,	
gasthi,	গাস্থী,	গোষ্ঠী,	
yukeliptas,	ইউকেলিপ্টাস,	ইউক্যালিপ্টাস,	
oteeteo,	অতিতেও,	অতীতেও,	
otyachari,	অত্যাচারী,	অত্যাচারী,	
kor,	কোর,	কর,	
nirmankaz,	নির্মাজক,	নির্মাণকাজ,	
ekghare,	একঘরে,	একঘরে,	
baireo,	বৈরেও,	বাইরেও,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
korkotkraanti,	কর্তক্রানটি,	কর্কটক্রান্তি,	
byaboharkari,	ব্যববারকারী,	ব্যবহারকারী,	
restaurant,	রেস্তুরেঁ,	রেষ্টুরেন্ট,	
elakatay,	এলাকাতে,	এলাকাতে,	
muhammod,	মুহাম্মদ,	মুহম্মদ,	
sangkulan,	সংকুলন,	সংকুলান,	
jacqsan,	জকশ্ন,	জ্যাকসন,	
songbadmadhyome,	সংবাদমধ্যমে,	সংবাদমাধ্যমে,	
mawdel,	মোডেল,	মডেল,	
baharampoorer,	বহরামপুরের,	বহরমপুরের,	
olympik,	অলিম্পিক,	অলিম্পিক,	
nadnodir,	নাদ্নবির,	নদনদীর,	
gonona,	গণনা,	গননা,	
bhejano,	ভেজানো,	ভেজানো,	
bechaa,	বেচা,	বেচা,	
manee,	মেন,	মানে,	
partha,	পার্থ,	পার্থ,	
jolaatonko,	জলাতকন,	জলাতঙ্ক,	
satarkobhabe,	সতার্কভাবে,	সতর্কভাবে,	
ekla,	একলা,	একলা,	
shahocharje,	শহচর্চে,	সাহচর্যে,	
bikaargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
shukranoo,	শুক্রাণু,	শুক্রানু,	
harza,	হার্জ,	হার্জ,	
rato,	রাটো,	রত,	
jesthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
treta,	ট্রেট,	ত্রেতা,	
dhwajbhango,	ধ্বজভঙ্গ,	ধ্বজভঙ্গ,	
shiropadhari,	শ্রীপরধধীরী,	শিরোপাধারী,	
enginearing,	ইঞ্জিনিরিং,	ইঞ্জিনিয়ারিং,	
dwibidha,	দ্বিবিধা,	দ্বিবিধ,	
shuperheiro,	সুপেরেহেরও,	সুপারহিরো,	
bosontoke,	বসন্তকে,	বসন্তকে,	
damdor,	দমমদর,	দামদর,	
totokson,	ততক্ষণ,	ততক্ষন,	
inasiyinta,	এনসিয়েন্ট,	এনসিয়েন্ট,	
shikhbey,	শিখবে,	শিখবে,	
prostut,	প্রস্তুত,	প্রস্ত্তত,	
somsher,	সমশের,	সমশের,	
niuroolaji,	নিউরোলজি,	নিউরোলজি,	
avatara,	অভতার,	অবতার,	
nanir,	নানীর,	নানীর,	
shikshakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
gandhir,	গান্ধীর,	গান্ধীর,	
qarqa,	কার্ক,	কার্ক,	
jak,	যাক,	জাঁক,	
elaka,	এলাকা,	এলাকা,	
deefinishion,	ডেফিনিশন,	ডেফিনেশন,	
reeno,	রেন,	রেনো,	
spashtatai,	স্পষ্টতাই,	স্পষ্টতই,	
sane,	সেন,	সনে,	
paikgacha,	পাইকগাছা,	পাইকগাছা,	
patthkromer,	পাঠ্যক্রমের,	পাঠক্রমের,	
graambaseeo,	গ্রামবাসেও,	গ্রামবাসীও,	
korkatkranti,	কর্তক্রান্তি,	কর্কটক্রান্তি,	
vasturyi,	বাস্তুরী,	বস্তুরই,	
jyoistho,	জ্যৈষ্ঠ,	জ্যৈষ্ঠ,	
caramics,	ক্যারামিক্স,	সিরামিকস,	
gotibegey,	গতিবেগে,	গতিবেগে,	
abhidhaneek,	অভিধানিক,	অভিধানিক,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
poste,	পোস্টে,	পোষ্টে,	
definition,	ডেফিনিশন,	ডেফিনেশন,	
victor,	ভিক্টোর,	ভিক্টর,	
tobey,	তবে,	টবে,	
karechi,	করেছি,	করেছি,	
sarbhaare,	সর্ভারে,	সার্ভারে,	
phutonto,	ফুটন্ত,	ফুটন্ত,	
jahra,	জহরর,	যাহরা,	
conphlict,	কনফলিক্ট,	কনফ্লিক্ট,	
antorvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
bojhaar,	বোঝার,	বোঝার,	
vagadada,	ভাগাদাদা,	বাগদাদ,	
shikarer,	শিকারের,	শিকারের,	
sthaponakay,	স্থপননাকে,	স্থাপনাকে,	
manu,	মনু,	মনু,	
khilafot,	খিলাফত,	খিলাফত,	
chitranattakar,	চিত্রনাত্যকার,	চিত্রনাট্যকার,	
paste,	পাস্টে,	পেষ্ট,	
adbhut,	অ্যাডভুট,	অদ্ভুত,	
armshtronj,	আর্স্ট্রোঞ্জ,	আর্মস্ট্রং,	
postac,	পোস্টক,	পোস্টকে,	
sovanetri,	সোভেনেত্রী,	সভানেত্রী,	
amorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
laat,	লাট,	লাট,	
aalkatraa,	আলককরতা,	আলকাতরা,	
potchitro,	পটচিত্র,	পটচিত্র,	
casper,	ক্যাপ্সের,	ক্যাসপার,	
paade,	পাদে,	পাড়ে,	
bolvodro,	বলবদ্র,	বলভদ্র,	
biswashi,	বিশ্বাসী,	বিশ্বাসী,	
sangasthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
dep,	ডেপ,	ডেপ,	
bajareo,	বাজারেও,	বাজারেও,	
hillse,	হিলসে,	হিলসে,	
messengar,	মেসেঙ্গার,	মেসেঞ্জার,	
gejetade,	গেজেটাদে,	গেজেটেড,	
bim,	বিম,	বিম,	
gandho,	গন্ধ,	গন্ধ,	
abheedhaanik,	অভিধানিক,	অভিধানিক,	
korkotkranti,	কর্তক্রান্তি,	কর্কটক্রান্তি,	
cheekitshar,	চিকিৎসার,	চিকিত্সার,	
pretishta,	প্রেটিস্ট,	প্রতিষ্টা,	
chaudhurir,	চৌধুরির,	চৌধুরীর,	
puzita,	পুজিত,	পূজিতা,	
samosher,	সমসের,	সমশের,	
hepetaitisa,	হেপটিটিস,	হেপাটাইটিস,	
tottorat,	তত্রাতা,	তওরাত,	
neeshanasa,	নেশাসা,	নেশনস,	
moshjid,	মস্ীদ,	মসজিদ,	
chhutee,	ছুটি,	ছুটি,	
deepon,	ডিপন,	দীপন,	
komti,	কমটি,	কমতি,	
dhila,	ঢিলা,	ঢিলা,	
eucalyptushh,	ইউক্যালিপ্টাস,	ইউক্যালিপ্টাস,	
dubureer,	ডুবুরির,	ডুবুরির,	
plainti,	প্লেনটি,	প্লেনটি,	
nothibhukto,	নথিভূক্ত,	নথিভুক্ত,	
ogradut,	অগ্রাদুত,	অগ্রদূত,	
venise,	ভেনিজে,	ভেনিসে,	
ponnee,	পন্যে,	পন্নী,	
garjon,	গর্জন,	গর্জন,	
asovvo,	অসভ্য,	অসভ্য,	
carzar,	কার্জার,	চার্জার,	
pchok,	পোচক,	পাচক,	
marodeho,	মারদেহ,	মরদেহ,	
khaambaa,	খাম্বা,	খাম্বা,	
kota,	কোট,	কোটা,	
shiropar,	শিরপর,	শিরোপার,	
plain,	প্লেন,	প্লেন,	
ooporoshtho,	উপরস্থ,	উপরস্থ,	
lambaate,	লম্বাতে,	লম্বাটে,	
johns,	জনস,	জন্স,	
graambaaseeo,	গ্রামবাসী,	গ্রামবাসীও,	
bizit,	বিজিৎ,	বিজিত,	
jeellul,	জিল্লু,	জিল্লুল,	
bujhleo,	বুঝলেও,	বুঝলেও,	
duckticket,	ডাক্তিকেট,	ডাকটিকিট,	
diznee,	ডিজনি,	ডিজনী,	
breakthraugh,	ব্রেক্ষরাঘ,	ব্রেকথ্রু,	
xpose,	ক্পসে,	এক্সপোজ,	
caramiks,	ক্যারামিক্স,	সিরামিকস,	
duburira,	দুবুরিরা,	ডুবুরিরা,	
niutrino,	নিউট্রিনো,	নিউট্রিনো,	
silwer,	সিলভার,	সিলভার,	
bizito,	বিজিত,	বিজিত,	
rightsh,	রাইফস,	রাইটস,	
arthoneeti,	অর্থনিতি,	অর্থনীতির,	
debaag,	দেবাাগ,	ডিবাগ,	
falashruti,	ফলাশ্রুতি,	ফলশ্রুতি,	
coolin,	কুলিন,	কুলিং,	
khaneker,	খানেকের,	খানেকের,	
rajatwa,	রাজত্ব,	রাজত্ব,	
seekkhokbrindo,	শিক্ষাক্ষবর্ণ,	শিক্ষকবৃন্দ,	
temontee,	টেমনটি,	তেমনটি,	
ralf,	রালফ,	রালফ,	
anisa,	অনিশা,	আনিস,	
maaktoome,	মাক্তমে,	মাকতুম,	
qloud,	ক্লাড,	ক্লাউড,	
fox,	ফক্স,	ফক্স,	
monjurul,	মঞ্জুরুল,	মনজুরুল,	
fase,	ফেস,	ফাঁসে,	
fastara,	ফস্্টার,	ফস্টার,	
grambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
brindo,	ব্রিন্ড,	বৃন্দ,	
gunjey,	গুঞ্জে,	গুঁজে,	
chomsky,	চম্স্কি,	চমস্কি,	
prokare,	প্রকারে,	প্রকারে,	
kormopontha,	কর্মপন্থা,	কর্মপন্থা,	
jekhan,	জেখান,	যেখান,	
sansthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
cyanide,	ক্যানিডে,	সায়ানাইড,	
planeti,	প্লনেটি,	প্লেনটি,	
mautke,	মাটকে,	মতকে,	
sadena,	সদেন,	সাডেন,	
korecha,	করেছা,	করেছ,	
michiler,	মিচিলের,	মিছিলের,	
batsmanyi,	বাৎসম্নি,	ব্যাটসম্যানই,	
bahal,	বহল,	বহাল,	
haipar,	হাইপার,	হাইপার,	
saccar,	সকার,	সকার,	
daqten,	ডাকতেন,	ডাকতেন,	
bongobondhu,	বঙ্ধবন্ধু,	বঙ্গবন্ধু,	
dharer,	ধারের,	ধরের,	
fern,	ফার্ন,	ফার্ন,	
reejur,	রিজুর,	রিজুর,	
bayshorkarikarone,	বেসরকারিকরণে,	বেসরকারিকরণ,	
kingdam,	কিং্ডম,	কিংডম,	
daktikite,	ডক্তিকেটে,	ডাকটিকিটে,	
moithili,	মৈঠিলী,	মৈথিলি,	
cannel,	ক্যানেল,	ক্যানেল,	
sharther,	স্বর্থের,	স্বার্থের,	
argho,	অর্ঘ,	অর্ঘ্য,	
post,	পোস্ট,	পোষ্ট,	
manzurul,	মাজুুরুল,	মনজুরুল,	
setike,	সেটিকে,	সেটিকে,	
porizoner,	পরিজনের,	পরিজনের,	
siddhantagulo,	সিদ্ধান্তগুলো,	সিদ্ধান্তগুলো,	
hugheke,	হুঘকে,	হিউজকে,	
bondii,	বন্ডি,	বন্দী,	
akmot,	একমত,	একমত,	
natnikey,	নতননীকে,	নাতনীকে,	
spredashiita,	স্প্রদশিত,	স্প্রেডশীট,	
sahopatheeke,	সহপাঠীকে,	সহপাঠীকে,	
tochnochh,	তছন্ছ,	তছনছ,	
napper,	নাপের,	ন্যাপের,	
fansi,	ফাঁসি,	ফাঁসী,	
manobsomajer,	মানবসমাজের,	মানবসমাজের,	
queery,	কুয়েরি,	কোয়েরি,	
qonfliqt,	কনফলিক্ট,	কনফ্লিক্ট,	
abosaney,	আবসনে,	অবসানে,	
nilfamarir,	নিলফামারির,	নীলফামারীর,	
vip,	ভিপ,	ভিআইপি,	
kemoney,	কেমনে,	কেমনে,	
solil,	সলীল,	সলিল,	
palbangser,	পালবাংশের,	পালবংশের,	
gotirodh,	গতিরোধ,	গতিরোধ,	
mausum,	মৌসুম,	মৌসুম,	
muphti,	মুফতি,	মুফতি,	
vabnake,	ভাবনাকে,	ভাবনাকে,	
oitijhyer,	ঐতিহ্যের,	ঐতিহ্যের,	
protijogiira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
ajeej,	আজেজ,	আজিজ,	
niutrina,	নিউট্রিন,	নিউট্রিনো,	
bhootara,	ভূটার,	ভোটার,	
fax,	ফ্যাক্স,	ফক্স,	
poripakey,	পরিপাকে,	পরিপাকে,	
bondiira,	বন্দিরা,	বন্দীরা,	
gezeted,	জেজেটেড,	গেজেটেড,	
ramjaner,	রাজমানের,	রমযানের,	
projanankal,	প্রজননক্কাল,	প্রজননকাল,	
nodiiti,	নদীতী,	নদীটি,	
parishkaran,	পরিষ্কারণ,	পরিষ্করণ,	
taurist,	টুরিস্ট,	টুরিস্ট,	
koyartara,	কোয়ার্টার,	কোয়ার্টার,	
deputii,	ডেপতি,	ডেপুটি,	
jaygata,	জাগত,	জায়গাটা,	
mailkhanek,	মৈলখানকে,	মাইলখানেক,	
khodeja,	খোদেজা,	খোদেজা,	
iura,	ইউরা,	ইউরো,	
karmosampadan,	কর্মসম্পদন,	কর্মসম্পাদন,	
boshoborty,	বসবর্তী,	বশবর্তী,	
noitikatavodh,	নৈতিকাভাধ,	নৈতিকতাবোধ,	
metroopoolitan,	মেট্রোপিলান,	মেট্রোপলিটন,	
byakhyatito,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
schedule,	স্কেডুল,	শিডিউল,	
nirapekkhotar,	নিরাপক্ষতার,	নিরপেক্ষতার,	
bulan,	বুলন,	বুলান,	
jatinkey,	জ্যাতিকে,	যতীনকে,	
jathartho,	যথার্থ,	যথার্থ,	
sikkhakke,	শিক্ষককে,	শিক্ষককে,	
orbit,	অর্বিত,	অরবিট,	
saarbharti,	সার্ভারটি,	সার্ভারটি,	
andaman,	আন্দমন,	আন্দামান,	
roja,	রোজা,	রোযা,	
dharati,	ধারতি,	ধারাটি,	
