taurat,	ট্যারাট,	তওরাত,	
wenom,	ভেনম,	ভেনম,	
suporichita,	সুপরিচিত,	সুপরিচিত,	
asammati,	অসমমিতি,	অসম্মতি,	
uporitale,	উপরিতালে,	উপরিতলে,	
patthkromer,	পাঠ্রকের,	পাঠক্রমের,	
cs,	সিসি,	সিএস,	
karleo,	করলেও,	করলেও,	
jwaluk,	জ্বালুক,	জ্বলুক,	
nake,	নাকে,	নেক,	
ragee,	রাজি,	রাগী,	
matthews,	ম্যাথেব,	ম্যাথিউস,	
dipti,	দীপ্তি,	ডেপুটি,	
diibug,	দিবুগ,	ডিবাগ,	
aarmstrong,	আর্মস্ট্রিং,	আর্মস্ট্রং,	
byapokotor,	ব্যাপকততর,	ব্যাপকতর,	
trend,	ট্রেন্ড,	ট্রেন্ড,	
bhorkendra,	ভর্কেন্দ্র,	ভরকেন্দ্র,	
ovarview,	ওভার্ভিভ,	ওভারভিউ,	
naniir,	নানীর,	নানীর,	
charzara,	চার্জার,	চার্জার,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
baikalyo,	বৈকাল্য,	বৈকল্য,	
madhobeer,	মাধবীর,	মাধবীর,	
deebug,	দিবুগ,	ডিবাগ,	
jakkher,	যক্ষের,	যক্ষের,	
kommatei,	কমাতেই,	কমাতেই,	
hunayn,	হানেন,	হুনাইন,	
tinej,	টিনেজ,	টিনেজ,	
bachchan,	বাচ্চন,	বচ্চন,	
suparheiro,	সুপারহীরা,	সুপারহিরো,	
patiganiter,	পাতিগণিতের,	পাটিগণিতের,	
potthon,	পঠ্যন,	পঠন,	
jacksonke,	যাকসংকে,	জ্যাকসনকে,	
ishton,	ইষ্টন,	স্টোন,	
treebhuj,	ত্রিভুজ,	ত্রিভূজ,	
ashe,	আশে,	আসে,	
probhu,	প্রভূ,	প্রভু,	
setan,	সেটন,	শয়তান,	
cholocchitrigulor,	চলচিত্রিগুলোর,	চলচ্চিত্রগুলোর,	
grantho,	গ্রান্থ,	গ্রন্থ,	
dormitory,	ডরমেটরি,	ডরমিটরি,	
melbourner,	মেলবার্নর,	মেলবোর্নের,	
qoyartara,	কোয়ার্টার,	কোয়ার্টার,	
korta,	কোর্ট,	করতা,	
toroonra,	তরুণার,	তরুণরা,	
gheshei,	ঘেসেই,	ঘেঁষেই,	
resorte,	রিসোর্টে,	রিসোর্টে,	
uinndos,	উইন্ডোস,	উইন্ডোস,	
jons,	জনস,	জোন্স,	
cholochchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
deares,	ডিরেস,	ডিআরএস,	
bahya,	বহ্য,	বাহ্য,	
manbey,	মানবে,	মানবে,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
moshzidke,	মস্জিদকে,	মসজিদকে,	
akla,	অক্লা,	একলা,	
marathi,	মারাঠি,	মরাঠি,	
poster,	পোস্টার,	পোস্টের,	
bhenis,	ভেনিস,	ভেনিস,	
grooth,	গ্রুথ,	গ্রোথ,	
jamaanor,	জামানোর,	জমানোর,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
qaro,	কারও,	কারো,	
sulke,	শুলকে,	শুল্কে,	
plane,	প্লেন,	প্লেন,	
karmosampadan,	কর্মসম্পন,	কর্মসম্পাদন,	
thake,	থাকে,	থাকে,	
doonata,	দুনাটা,	ডোনাট,	
konisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
vaphara,	ভাফার,	বাফার,	
hydra,	হেড্রা,	হাইড্রা,	
mukhomondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
machhder,	মাছদের,	মাছদের,	
bijit,	বিজিট,	বিজিত,	
olympicer,	অলিম্পিসের,	অলিম্পিকের,	
dorjee,	দর্জি,	দরজি,	
sobrakamer,	সব্রকার,	সবরকমের,	
phutanta,	ফুটন্ট,	ফুটন্ত,	
dhila,	ধিলা,	ঢিলা,	
basturoi,	বস্তুরই,	বস্তুরই,	
durgandher,	দুর্গান্ধের,	দুর্গন্ধের,	
jahra,	জাহরা,	যাহরা,	
timoothi,	তিমুঠি,	টিমোথি,	
gonohotyakey,	গণতহ্যাকে,	গণহত্যাকে,	
bangyer,	বঙ্গের,	ব্যাঙের,	
bishaashke,	বিশ্বাসকে,	বিশ্বাসকে,	
sompadonkaree,	সম্পাদনকারী,	সম্পাদনকারী,	
charjer,	চার্জের,	চার্জার,	
jhankaar,	ঝংকার,	ঝঙ্কার,	
brookolin,	ব্রোকলিন,	ব্রুকলিন,	
harir,	হ্যারির,	হরির,	
pravritite,	প্রভৃতিতে,	প্রভৃতিতে,	
naitikatabodh,	নৈতিতাকাবধ,	নৈতিকতাবোধ,	
deubande,	দিবন্দে,	দেওবন্দে,	
heeja,	হেজ,	হেজ,	
osamarik,	অসামারিক,	অসামরিক,	
steena,	স্টেন,	স্টেন,	
shaartho,	সার্থ,	স্বার্থ,	
cheerkoot,	চির্কুট,	চিরকুট,	
shikshakder,	শিক্ষাদকের,	শিক্ষকদের,	
erina,	এরিন,	এরিনা,	
moricha,	মরিচা,	মরিচা,	
blogarra,	ব্লগারা,	ব্লগাররা,	
jekhan,	যেখান,	যেখান,	
keu,	কিউ,	কেউ,	
haak,	হ্যাক,	হুক,	
ooeepoka,	উইপ্যাক,	উইপোকা,	
sayatana,	সায়টটান,	শয়তান,	
oncholti,	অঞ্চলটি,	অঞ্চলটি,	
avishangson,	অভিসংসন,	অভিশংসন,	
deebatee,	দেবাতি,	ডিবেট,	
bonshoke,	বংশকে,	বংশকে,	
kins,	কিন্স,	কিংস,	
siddhantoo,	সিদ্বান্তু,	সিদ্ধান্তও,	
veda,	ভেড,	বেদ,	
chase,	চাষে,	চেস,	
beshirbhaagi,	বেশীরভাগই,	বেশিরভাগই,	
tarasa,	তারাস,	টেরেসা,	
tuneta,	টুনেট,	টুনাইট,	
akramer,	একরামের,	আকরামের,	
joneetey,	যোনিতে,	যোনীতে,	
natneekey,	নাতনীকে,	নাতনীকে,	
babylon,	বেবিলন,	ব্যাবিলন,	
pro,	প্র,	প্রো,	
america,	এমেরিকা,	আমেরিকা,	
komaatei,	কমাতেই,	কমাতেই,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
bikretara,	বিক্রেতার,	বিক্রেতারা,	
parking,	পার্কিং,	পার্কিং,	
boother,	বুথার,	বুথের,	
torun,	তরুণ,	তরুন,	
aalaa,	আলা,	আলা,	
praima,	প্রাইম,	প্রাইম,	
cheerontan,	চিরন্টন,	চিরন্তন,	
gobeshona,	গবেষণা,	গবেষনা,	
shotoker,	শতকের,	শতকের,	
gazipore,	গাজীপুরে,	গাজীপুর,	
thatcher,	থাঁচের,	থ্যাচার,	
musolmanra,	মুসলাম্ারা,	মুসলমানরা,	
okritakarja,	অকৃতকরা,	অকৃতকার্য,	
anano,	অনযানো,	আনানো,	
heerani,	হিরাণী,	হিরানি,	
gananatya,	গণনোত্য,	গণনাট্য,	
durgandha,	দুর্গান্ধ,	দুর্গন্ধ,	
maheendra,	মহেন্দ্র,	মাহিন্দ্রা,	
palbongsher,	পল্বনশের,	পালবংশের,	
saajano,	সাজান,	সাজানো,	
rohosyor,	রহস্য্র,	রহস্যর,	
neker,	নেকের,	নেকের,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
aiiub,	আইএব,	আইইউবি,	
overveu,	ওভার্ভে,	ওভারভিউ,	
uchchotaro,	উচ্চতর,	উচ্চতর,	
meshenger,	মেসেঞ্জের,	মেসেঞ্জার,	
muhurtoti,	মুহূর্তটি,	মুহুর্তটি,	
quari,	কুয়ারি,	কোয়েরি,	
shector,	সেক্টর,	সেক্টর,	
upobasee,	উপবাসী,	উপবাসী,	
noiteekvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
turkameena,	টুরককমেন,	তুর্কমেন,	
shhow,	শাও,	শো,	
nafisa,	নফিস,	নাফিসা,	
vaider,	ওয়েডার,	ভাইদের,	
rubidiyam,	রুবিডিয়াম,	রুবিডিয়াম,	
natunatva,	নতুনত্ব,	নতুনত্ব,	
murrayir,	মুররের,	ম্যারির,	
kathhmandu,	কাঠমন্ডু,	কাঠমান্ডু,	
agamanke,	আগামানকে,	আগমনকে,	
gronthatike,	গ্রন্থাতিকে,	গ্রন্থটিকে,	
bhaandare,	ভান্ডারে,	ভাণ্ডারে,	
anucheder,	অনুচেদের,	অনুচ্ছেদের,	
ketechila,	কেটেছিল,	কেটেছিল,	
abarte,	আবর্তে,	আবর্তে,	
byboshthar,	ব্যবস্থার,	ব্যাবস্থার,	
dankan,	দাঁক,	ডানকান,	
vvimsenn,	ভিম্সেন,	ভীমসেন,	
utsaahe,	উত্সাহে,	উৎসাহে,	
yauth,	যউথ,	ইয়ুথ,	
uzbekistan,	উযবেবিস্তান,	উজবেকিস্তান,	
edhdaning,	এডোানিং,	ইদানিং,	
daktikit,	দা্তিকিট,	ডাকটিকিট,	
vagni,	ভাগ্নি,	ভগ্নী,	
nodiiteyi,	নদীতেই,	নদীতেই,	
rejidence,	রেজিজেন্স,	রেসিডেন্স,	
itastato,	ইটাস্ট,	ইতস্তত,	
nischoy,	নিশ্চই,	নিশ্চয়,	
sangosthaner,	সংস্থানের,	সংস্থানের,	
nirgoon,	নির্গুণ,	নির্গুণ,	
khilafat,	খিলাফাত,	খিলাফত,	
nathibhukto,	নথিভূক্ত,	নথিভুক্ত,	
modeley,	মোডেল,	মডেলে,	
vageroi,	ভাগেরই,	ভাগেরই,	
goteebege,	গতিবেগে,	গতিবেগে,	
kamola,	কমলা,	কামলা,	
shomsti,	সমস্টি,	সমষ্টি,	
pingna,	পিঙ্গ,	পিংনা,	
korkotkraantee,	কর্কটিক্রটি,	কর্কটক্রান্তি,	
drisser,	দৃশ্যের,	দৃশ্যের,	
jonosomaj,	জনসমাজ,	জনসমাজ,	
janomukhee,	জনমুখী,	জনমুখী,	
phake,	ফোক,	ফাকে,	
dhojobhongo,	ধোভঙঙ্গ,	ধ্বজভঙ্গ,	
shkirt,	স্কার্ট,	স্কার্ট,	
baharamporer,	বাহররমপুরের,	বহরমপুরের,	
carpet,	কার্টেট,	কার্পেট,	
transhform,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
mitroder,	মীত্রদের,	মিত্রদের,	
trivuj,	ত্রিভুজ,	ত্রিভূজ,	
janar,	যানর,	জানার,	
makhmoley,	মাখমোলে,	মখমলে,	
jerokom,	জেরকম,	যেরকম,	
aakaabaar,	আকাবার,	আকাবার,	
hud,	হুদ,	হুড,	
koilash,	কৈলাশ,	কৈলাস,	
daacktickete,	ডাক্কিটিকে,	ডাকটিকিটে,	
sporsher,	স্পোর্সের,	স্পর্শের,	
oporeeshodhito,	অপরিষধিত,	অপরিশোধিত,	
ghumato,	ঘুমত,	ঘুমাতো,	
hoolding,	হোল্ডিং,	হোল্ডিং,	
licensedhari,	লিসেন্সারী,	লাইসেন্সধারী,	
netherlande,	নেদারল্যান্ডে,	নেদারল্যান্ডে,	
daebug,	দেবুগ,	ডিবাগ,	
bongshoke,	বংশকে,	বংশকে,	
ganohotyake,	গণহত্যাকে,	গণহত্যাকে,	
protista,	প্রতিষ্টা,	প্রতিষ্টা,	
ancholsaha,	আঞ্চলস,	অঞ্চলসহ,	
machhe,	মাছে,	মাছে,	
sotorko,	সর্টক্,	সতর্ক,	
donate,	ডোনাতে,	ডোনাট,	
utsaha,	উত্সাহ,	উৎসাহ,	
bage,	বাযাজ,	বাগে,	
sangkoolan,	সংকলন,	সংকুলান,	
sucre,	সাকর,	সাকার,	
zyaka,	জ্যাক,	জ্যাক,	
ansareer,	আনসারির,	আনসারীর,	
gate,	গেটে,	গ্যেটে,	
nazi,	নাজি,	নাত্সি,	
chalaabi,	চালাবি,	চালাবে,	
prabhur,	প্রভূর,	প্রভুর,	
chirkut,	চির্কুট,	চিরকুট,	
ganoporibohoner,	গণপরিবহনের,	গণপরিবহনের,	
paddhatiteo,	পদ্ধতিতেও,	পদ্ধতিতেই,	
nirbahe,	নির্বাহে,	নির্বাহে,	
hyper,	হাইপের,	হাইপার,	
shuknaa,	শুকনা,	শুকনা,	
shcholastik,	স্লালাস্টিক,	স্কলাস্টিক,	
turishta,	ট্রিস্ট,	টুরিস্ট,	
satarkata,	সর্টক্া,	সতর্কতা,	
sithilota,	সিথিলতা,	শিথিলতা,	
nariiderke,	নারীদেরকে,	নারীদেরকে,	
canal,	কানাল,	ক্যানেল,	
karmakarer,	কর্মকারের,	কর্মকারের,	
bona,	বোন,	বোনা,	
bronze,	ব্রোঞ্জ,	ব্রোঞ্জ,	
anchalke,	আঞ্চলেকে,	অঞ্চলকে,	
letara,	লাইটার,	লেটার,	
norton,	নর্টন,	নর্টন,	
attorkite,	আত্মরিতে,	অতর্কিতে,	
cheelona,	ছিলনা,	ছিলনা,	
transform,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
mukhobandho,	মুখবন্ধ,	মুখবন্ধ,	
enimeted,	এনিমেটেড,	এনিমেটেড,	
paripakey,	পরিপাকে,	পরিপাকে,	
pirujalee,	পিরুজালি,	পিরুজালী,	
vittimul,	ভিত্তিমূল,	ভিত্তিমূল,	
superheiroo,	সুপারেিরা,	সুপারহিরো,	
bhabani,	ভবনী,	ভবানী,	
jatti,	জাটটি,	জাতটি,	
golakritir,	গোলাকৃতির,	গোলাকৃতির,	
boshoborty,	বসবোর্তী,	বশবর্তী,	
jomkalo,	জমকাল,	জমকালো,	
totenhaamer,	তোতেহ্াাের,	টটেনহামের,	
nodigulo,	নদীগুলো,	নদীগুলো,	
adhyattik,	আধ্যাতিক,	আধ্যাত্মিক,	
aashirbad,	আশীর্বাদ,	আশির্বাদ,	
totokshon,	ততক্ষণ,	ততক্ষন,	
daada,	ডাদ,	দাদা,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
agahir,	আগহীর,	অগভীর,	
tintike,	তিনটিকে,	তিনটিকে,	
janaalo,	জানালো,	জানালো,	
shommoteete,	সম্মতিতে,	সম্মতিতে,	
baffer,	বাফের,	বাফার,	
durotaumo,	দুরত্যম,	দূরতম,	
sip,	সিপ,	শিপ,	
naubom,	নবম,	নবম,	
prokalpao,	প্রকল্পাও,	প্রকল্পও,	
moushum,	মৌসম,	মৌসুম,	
potkaa,	পট্কা,	পটকা,	
hoteltee,	হটেটলি,	হোটেলটি,	
poscater,	পোসেটার,	পশ্চাতের,	
iunita,	ইউনিট,	ইউনিট,	
mukhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
ojouno,	অযৌন,	অযৌন,	
shukraanoo,	শুক্রাণু,	শুক্রানু,	
embi,	এমবিএ,	এমবি,	
dharmi,	ধর্মী,	ধর্মী,	
boney,	বোনে,	বনে,	
teuning,	টিউনিং,	টিউনিং,	
chilahaati,	চিলাহতি,	চিলাহাটি,	
sbaajan,	স্বজন,	স্বজন,	
pana,	পান,	পানা,	
nikote,	নিকোতে,	নিকটে,	
bade,	বেড,	বাদে,	
phokskon,	ফক্ষন,	ফক্সকন,	
dwip,	ড্বীপ,	দীপ,	
janapath,	জনপথ,	জনপথ,	
khodeja,	খোদেজা,	খোদেজা,	
beekaargrasto,	বিকারগার্ত্ত,	বিকারগ্রস্ত,	
bandra,	বান্দ্রা,	বন্দীরা,	
istara,	ইস্টার,	ইস্টার,	
chhatke,	ছাটকে,	ছাতকে,	
fimel,	ফিমেল,	ফিমেল,	
jeshh,	জেস,	জেস,	
qinsa,	কিন্স,	কিংস,	
grambaasee,	গ্রাম্বাসী,	গ্রামবাসী,	
bollov,	বললো,	বল্লভ,	
trivuz,	ত্রিভুজ,	ত্রিভূজ,	
ostheesandhi,	অস্থিসান্ধি,	অস্থিসন্ধি,	
swartho,	স্বর্থ,	স্বার্থ,	
torunke,	তরুণকে,	তরুণকে,	
chheelonaa,	ছিলনা,	ছিলনা,	
udbodhoney,	উদ্বোধনে,	উদ্বোধনে,	
ixprission,	এক্সপ্রেশন,	এক্সপ্রেশন,	
aaeerese,	আইরেসে,	আইরেসে,	
porijoner,	পরিজনের,	পরিজনের,	
baireo,	বৈরেও,	বাইরেও,	
chhathke,	ছাটকে,	ছাতকে,	
kranti,	ক্রন্টি,	ক্রান্তি,	
dolgulo,	দলগুলো,	দলগুলোও,	
carlos,	চার্লস,	কার্লোস,	
nesnos,	নেসন্স,	নেশনস,	
bibhonno,	বিভন্ন,	বিভন্ন,	
korkot,	কর্কট,	কর্কট,	
abarto,	আবর্ত,	আবর্ত,	
parbatmala,	পর্বত্বলা,	পর্বতমালা,	
papri,	পাপ্রী,	পাপরি,	
emarzensi,	এমরেজনে,	এমার্জেন্সি,	
besirbhagei,	বেশীরভাগেই,	বেশিরভাগেই,	
gafiloti,	গাফিলাটি,	গাফিলতি,	
vorkendro,	ওয়ের্কেন্দ্র,	ভরকেন্দ্র,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
alankaron,	অলংকরণ,	অলঙ্করণ,	
bashite,	বাসিতে,	বাঁশিতে,	
juktorastrosoho,	যুক্তরাস্তরসহ,	যুক্তরাষ্ট্রসহ,	
nogonno,	নগন্য,	নগণ্য,	
canton,	কন্টন,	ক্যান্টন,	
phaltu,	ফল্টু,	ফালতু,	
jemske,	জেমসকে,	জেমসকে,	
antarvuktimulak,	অন্তর্ভূতূমূকূলিক,	অন্তর্ভুক্তিমূলক,	
saleha,	সালেহ,	সালেহা,	
kaamla,	কামলা,	কামলা,	
damdor,	দামদর,	দামদর,	
suraropeeto,	সুরারপীত,	সুরারোপিত,	
temonti,	টেমন্ট্,	তেমনটি,	
bhardwaj,	ভার্ডাজ,	ভরদ্বাজ,	
gabhaskar,	গভাসকার,	গাভাস্কার,	
nilkuthir,	নিলুকুঠির,	নীলকুঠির,	
gaugee,	গৌগী,	গেজ,	
engineersh,	ইনিজার্স,	ইঞ্জিনিয়ার্স,	
hariken,	হারিকেন,	হ্যারিকেন,	
licensin,	লিসেন্সিং,	লাইসেন্সিং,	
flask,	ফ্ল্যাক্স,	ফ্লাস্ক,	
jathon,	যথন,	যথন,	
chashe,	চাষে,	চেস,	
fol,	ফল,	ফল,	
alsara,	আলসার,	আলসার,	
sangbadmadhyamer,	সংবাদমাধ্যমের,	সংবাদমাধ্যমের,	
qingdom,	কিনগ্ম,	কিংডম,	
jibonto,	জীবন্ত,	জীবন্ত,	
ghoomato,	ঘুমত,	ঘুমাতো,	
israiler,	ইসরাইলের,	ইসরাঈলের,	
lotharan,	লাটারন,	লুথেরান,	
moddhyoshtho,	মধ্যস্থ,	মধ্যস্থ,	
inapharameshhana,	ইনফর্মেশন,	ইনফরমেশন,	
vushi,	ভুষি,	ভুষি,	
alkatra,	আলক্ত্র,	আলকাতরা,	
paltechey,	পল্েতে,	পাল্টেছে,	
zzonite,	যোনিতে,	যোনীতে,	
adhuna,	আধুনা,	অধুনা,	
changee,	চেঙ্গি,	চেঞ্জ,	
jubokey,	যুবকে,	যুবকে,	
shikh,	শিখ,	শিখ,	
aidin,	আইডিন,	এইদিন,	
sikkhakbrindo,	শিক্ষাকৃবন্দ,	শিক্ষকবৃন্দ,	
hastantar,	হস্তান্তর,	হস্তান্তর,	
arthanitir,	অর্থনীতির,	অর্থনীতির,	
degreeke,	ডিগ্রিক,	ডিগ্রিকে,	
ragi,	রাজি,	রাগী,	
iub,	ইউব,	আইইউবি,	
toruner,	তরুণের,	তরুণের,	
rupantor,	রূপান্তর,	রুপান্তর,	
baarakpur,	বারাকপুর,	বারাকপুর,	
chowdhuryder,	চৌধুরিদের,	চৌধুরীদের,	
dobhar,	দোবর,	ডোভার,	
unitgulo,	উনিতিগুলো,	ইউনিটগুলো,	
pleta,	প্লট,	প্লেটো,	
honduras,	হন্ডারস,	হন্ডুরাস,	
drissotir,	দৃশ্যটির,	দৃশ্যটির,	
awatara,	অওতারা,	অবতার,	
shotokey,	শতকে,	শতকে,	
ankeeta,	অংকীত,	অঙ্কিতা,	
ahollar,	আহলার,	অহল্যার,	
smaroker,	স্মারকের,	স্মারকের,	
mohajot,	মহাজত,	মহাজোট,	
bongshi,	বংশী,	বংশী,	
laisensa,	লাইসেন্স,	লাইসেন্স,	
niranjon,	নিরাঞ্জন,	নিরঞ্জন,	
santa,	সন্ত,	স্যান্টা,	
marketey,	মার্কেটে,	মার্কেটে,	
doorotaumo,	দুরত্ম,	দূরতম,	
khargoser,	খারগোশের,	খরগোসের,	
bishasey,	বিশ্বাসে,	বিশ্বাসে,	
bane,	বান,	বনে,	
aasif,	আসিফ,	আসিফ,	
sollallhu,	সল্লাল্লু,	সল্লাল্লাহু,	
bethik,	ব্থিক,	বেঠিক,	
janatey,	জানাতে,	জানাতে,	
tala,	তোল,	তালা,	
aborto,	আবর্ত,	আবর্ত,	
bagdhara,	বাগধারা,	বাগধারা,	
bhabaponno,	ভবাপন্ন,	ভাবাপন্ন,	
byaran,	ব্যারন,	ব্যারন,	
decke,	ডেকি,	ডেকে,	
engrejer,	ইংরেজের,	ইংরেজের,	
garnar,	গর্্নার,	গার্নার,	
nutunotto,	নতুনত্ব,	নতুনত্ব,	
korkat,	কর্কট,	কর্কট,	
kantajir,	কান্তজীর,	কান্তজির,	
seekkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
sorting,	শর্টিং,	সর্টিং,	
charrjar,	চার্জার,	চার্জার,	
michilti,	মিশিলটি,	মিছিলটি,	
shiqar,	সিকড়,	শিকার,	
oncholtee,	অঞ্চলটি,	অঞ্চলটি,	
arthoneeti,	অর্থনীতি,	অর্থনীতির,	
bishwash,	বিশ্বাস,	বিশ্বাস,	
huqa,	হুক,	হুক,	
asiph,	আসিফ,	আসিফ,	
rubi,	রুবি,	রুবি,	
dooburir,	দুবূরির,	ডুবুরির,	
konflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
jibjontu,	জিবজন্তু,	জীবজন্তু,	
byepass,	ব্যাপস,	বাইপাস,	
horidwar,	হরিদ্বার,	হরিদ্বার,	
esiyatika,	এসিয়েটিক,	এশিয়াটিক,	
mandanda,	মানদন্ড,	মানদণ্ড,	
shomser,	শমসের,	সমশের,	
tofaat,	টফফ,	তফাৎ,	
breil,	ব্রেল,	ব্রেইল,	
iukyaliptasa,	ইউক্যালিপিস্ট,	ইউক্যালিপ্টাস,	
volapuk,	ভোলাপুক,	ভোলাপুক,	
samratder,	সমরদাের,	সম্রাটদের,	
taaler,	তালের,	তালের,	
meetar,	মেটার,	মিত্র,	
poorohitke,	পুরোহিতকে,	পুরোহিতকে,	
kinsha,	কিংস,	কিংস,	
minishtar,	মিনিস্টার,	মিনিস্টার,	
reesideencee,	রেসিডেন্সি,	রেসিডেন্স,	
daakteekiter,	দাক্তিকিতের,	ডাকটিকিটের,	
crecenter,	ক্রিসেন্টার,	ক্রিসেন্টের,	
deyl,	ডেল,	ডেইল,	
sayeed,	সাঈদ,	সাইদ,	
gajee,	গাজী,	গেজ,	
moshan,	মোষন,	মোশন,	
plack,	প্লেক,	প্ল্যাক,	
motar,	মোটর,	মুতার,	
shhooter,	শুটার,	শ্যুটার,	
gostii,	গোস্টি,	গোষ্ঠীই,	
bajhyo,	বাঝ্য,	বাহ্য,	
vabatarini,	ভববতরিণী,	ভবতারিণী,	
aalkaatra,	আলকাত্রা,	আলকাতরা,	
confliqt,	ফনফ্লিক্ট,	কনফ্লিক্ট,	
paste,	পোস্টে,	পেষ্ট,	
ralof,	রলফ,	রালফ,	
lambate,	লম্বাতে,	লম্বাটে,	
shaajaano,	সাজান,	সাজানো,	
golakriti,	গোলাকৃতি,	গোলাকৃতি,	
marmaara,	মারমারা,	মারমারা,	
akpaase,	একপাশে,	একপাশে,	
ancient,	অ্যান্টেন্ট,	এনসিয়েন্ট,	
dharavassyokar,	ধারাভাস্যকর,	ধারাভাষ্যকার,	
protishtan,	প্রতিষ্টান,	প্রতিষ্টান,	
degreeo,	ডিগ্রীয়,	ডিগ্রিও,	
vejjanno,	ভেজাজ্য,	ভেজানো,	
debate,	দেবাতে,	ডিবেট,	
shekende,	সেকেন্ডে,	সেকেন্ডে,	
pratisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
komaanndar,	কমান্ডার,	কমাণ্ডার,	
grambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
laat,	লুট,	লাট,	
maunchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
karadander,	কারাদন্ডের,	কারাদণ্ডের,	
atyacharer,	অত্যাচারের,	অত্যাচারের,	
gondho,	গন্ধ,	গন্ধে,	
food,	ফুদ,	ফুড,	
zeebonjapon,	জীবন্জনপ,	জীবনযাপন,	
sheepha,	সেফ,	শেফ,	
irish,	আইরিশ,	আইরিস,	
muhammada,	মুহাম্মা,	মুহাম্মদ,	
koyari,	কায়ারি,	কোয়েরি,	
saccar,	সক্চার,	সকার,	
phoolkopi,	ফুলকপি,	ফুলকপি,	
laatimer,	লাটিমের,	লাটিমের,	
vugoley,	ভুগলে,	ভূগোলে,	
sqolastic,	স্কোল্স্টিক,	স্কলাস্টিক,	
treend,	ট্রেন্ড,	ট্রেন্ড,	
noiteekota,	নৈতিকতা,	নৈতিকতা,	
gajetted,	গজেটেড,	গেজেটেড,	
engineerin,	ইনগাইনারিন,	ইঞ্জিনিয়ারিং,	
phareeksa,	ফরেক্স,	ফরেক্স,	
grambasio,	গ্রাম্বিসও,	গ্রামবাসীও,	
okkhor,	অক্ষর,	অক্ষর,	
uposhthit,	উপস্থিত,	উপস্থিত,	
palkee,	পালি,	পাল্কি,	
rajtantrake,	রাজনত্ত্রকে,	রাজতন্ত্রকে,	
timothi,	তিমথি,	টিমোথি,	
dhyaan,	ধ্যান,	ধ্যান,	
phokser,	ফক্সের,	ফক্সের,	
mohibur,	মহিবুর,	মহিবুর,	
code,	কোড,	কোড,	
teennis,	টিনিস,	টেনিস,	
protijogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
poorbancholer,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
ministerer,	মিনিস্টারের,	মিনিস্টারের,	
hizritey,	হিজরিতে,	হিজরীতে,	
gaafeeloti,	গাফেলটি,	গাফিলতি,	
nothibhookto,	নথিভূক্ত,	নথিভুক্ত,	
allahabadey,	আলাহাবাদে,	এলাহাবাদে,	
musalmanderke,	মুসলামন্দ্রে,	মুসলমানদেরকে,	
agradut,	অগ্রাদূত,	অগ্রদূত,	
onnyorup,	অন্যূরূপ,	অন্যরূপ,	
parqing,	পার্কিং,	পার্কিং,	
chaudhuriyo,	চৌধুরিও,	চৌধুরীও,	
oitijje,	ঐতিজাবে,	ঐতিহ্যে,	
anchalsamuha,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
zoojyota,	যুজ্যতা,	যোজ্যতা,	
oiteejyer,	ঐতিজের,	ঐতিহ্যের,	
shcholastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
tarbiner,	তারবিনের,	টারবাইনের,	
thishisher,	তিসিসের,	থিসিসের,	
phern,	ফের্ন,	ফার্ন,	
pooshteer,	পুষ্টির,	পুষ্টির,	
roomantika,	রোমান্টিক,	রোমান্টিক,	
bhaisaho,	ভাইসহ,	ভাইসহ,	
alaul,	অ্যালু,	আলাওল,	
beshirbhageyi,	বেশিরভাগেই,	বেশিরভাগেই,	
nirmankaz,	নির্মাণকাজ,	নির্মাণকাজ,	
emgee,	এমগী,	এমজি,	
otorkeitey,	অটর্কিতে,	অতর্কিতে,	
sanyal,	সন্যয়ল,	সান্যাল,	
sangasthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
fasi,	ফাঁসি,	ফাঁসী,	
carymb,	চারিম্ব,	করিম,	
jar,	যার,	জ্বর,	
anurbar,	অনুর্বর,	অনুর্বর,	
salim,	সালিম,	সেলিম,	
aazaadeer,	আজাদির,	আজাদীর,	
